Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
0,Rome-Lib/graficon12nodi/grafo970.12,12,18,0,19,18,55,56,0,0.004,0.0009,1,0.003
1,Rome-Lib/graficon13nodi/grafo2306.13,13,21,0,25,21,67,76,0,0.005,0.0016,1,0.004
2,Rome-Lib/graficon15nodi/grafo323.15,15,28,0,77,101,206,510,3,0.012,0.0115,1,0.015
3,Rome-Lib/graficon15nodi/grafo500.15,15,18,0,29,28,75,112,1,0.007,0.0027,1,0.004
4,Rome-Lib/graficon16nodi/grafo682.16,16,23,0,58,57,138,306,1,0.012,0.008,1,0.009
5,Rome-Lib/graficon19nodi/grafo1625.19,19,25,1,62,73,160,358,1,0.01,0.0077,1,0.012
6,Rome-Lib/graficon24nodi/grafo634.24,24,39,0,149,173,361,1082,2,0.038,0.0368,1,0.03
7,Rome-Lib/graficon26nodi/grafo2445.26,26,34,1,69,89,192,340,2,0.014,0.0094,1,0.011
8,Rome-Lib/graficon30nodi/grafo3011.30,30,76,1,314,350,740,2474,4,0.151,0.1719,1,0.067
9,Rome-Lib/graficon35nodi/grafo11573.35,35,55,0,146,172,373,930,4,0.02,0.0225,1,0.028
10,Rome-Lib/graficon35nodi/grafo2299.35,35,51,0,158,153,362,1030,3,0.04,0.0367,1,0.035
11,Rome-Lib/graficon35nodi/grafo5505.35,35,57,0,160,173,390,904,2,0.022,0.0229,1,0.032
12,Rome-Lib/graficon35nodi/grafo5574.35,35,43,0,75,74,192,300,1,0.017,0.0114,1,0.011
13,Rome-Lib/graficon36nodi/grafo11378.36,36,59,0,240,316,615,2004,15,0.173,0.2274,1,0.065
14,Rome-Lib/graficon38nodi/grafo5427.38,38,57,0,108,118,283,524,3,0.03,0.0241,1,0.019
15,Rome-Lib/graficon39nodi/grafo11165.39,39,81,0,359,439,879,2972,13,0.254,0.3744,1,0.092
16,Rome-Lib/graficon39nodi/grafo7253.39,39,84,0,401,455,940,3666,7,0.091,0.1168,1,0.113
17,Rome-Lib/graficon40nodi/grafo2566.40,40,83,0,347,431,861,3002,11,0.299,0.3629,1,0.092
18,Rome-Lib/graficon40nodi/grafo4081.40,40,56,0,285,371,712,2958,12,0.164,0.2193,1,0.079
19,Rome-Lib/graficon43nodi/grafo5216.43,43,87,0,343,421,851,2738,9,0.27,0.3562,1,0.09
20,Rome-Lib/graficon43nodi/grafo7598.43,43,82,0,389,496,967,3718,12,0.274,0.3776,1,0.102
21,Rome-Lib/graficon44nodi/grafo6229.44,44,107,0,426,489,1022,3214,6,0.244,0.402,1,0.101
22,Rome-Lib/graficon45nodi/grafo5617.45,45,76,0,303,338,717,2440,5,0.141,0.1918,1,0.078
23,Rome-Lib/graficon46nodi/grafo5753.46,46,93,0,465,536,1094,4622,10,0.379,0.7159,1,0.148
24,Rome-Lib/graficon54nodi/grafo3385.54,54,108,0,598,680,1386,6220,8,0.81,1.1784,1,0.218
25,Rome-Lib/graficon58nodi/grafo1566.58,58,80,0,337,327,744,2954,3,0.144,0.1716,1,0.097
26,Rome-Lib/graficon59nodi/grafo4445.59,59,157,1,894,1106,2157,9170,29,2.65,4.0204,1,0.322
27,Rome-Lib/graficon61nodi/grafo4990.61,61,124,0,773,947,1844,8436,13,0.76,1.2351,1,0.281
28,Rome-Lib/graficon74nodi/grafo8173.74,74,214,0,2222,2902,5338,41424,558,60.062,169.9051,1,1.834
29,Rome-Lib/graficon77nodi/grafo7895.77,77,141,0,1494,2082,3717,30270,178,60.06,170.0081,1,1.139
30,Rome-Lib/graficon79nodi/grafo9431.79,79,230,2,1629,1897,3756,19862,32,23.38,48.6057,1,0.792
31,Rome-Lib/graficon81nodi/grafo8158.81,81,192,0,2142,3005,5339,42728,620,60.033,168.9263,1,1.977
32,Rome-Lib/graficon82nodi/grafo8313.82,82,218,0,1816,2187,4221,27106,37,32.766,86.3782,1,1.108
33,Rome-Lib/graficon83nodi/grafo9434.83,83,215,0,1883,2490,4588,31294,386,60.065,164.7459,1,1.385
34,Rome-Lib/graficon86nodi/grafo8541.86,86,209,1,2222,3207,5638,42514,622,60.052,163.7152,1,1.957
35,DAGmar/graphs/4.6/uniform_n20_e92_i7.graphml,20,47,196,597,2832,3476,16958,886,60.061,119.1961,1,0.526
36,DAGmar/graphs/3.6/uniform_n20_e72_i4.graphml,20,56,15,587,1599,2242,11890,231,9.364,20.4216,1,0.346
37,DAGmar/graphs/2.6/uniform_n20_e52_i3.graphml,20,60,3,587,1214,1861,10786,130,18.09,28.4644,1,0.289
38,DAGmar/graphs/3.6/uniform_n20_e72_i8.graphml,20,74,7,1000,2298,3372,24288,563,60.016,163.2088,1,0.808
39,DAGmar/graphs/6.6/uniform_n20_e132_i3.graphml,20,84,311,1435,5550,7069,44806,1782,60.059,167.5011,1,1.684
40,north/g.11.16.graphml,11,136,0,1262,1661,3059,19194,78,58.508,181.4569,153,0.74
41,north/g.11.68.graphml,11,18,0,9,7,34,18,0,0.003,0.0003,1,0.002
42,north/g.17.41.graphml,17,53,0,93,109,255,404,3,0.025,0.0209,1,0.015
43,north/g.22.0.graphml,22,66,0,277,287,630,2084,0,0.05,0.0607,1,0.06
44,north/g.22.9.graphml,22,22,0,16,9,47,30,0,0.004,0.0007,1,0.002
45,north/g.27.1.graphml,27,35,0,97,80,212,512,0,0.015,0.013,1,0.016
46,north/g.36.9.graphml,36,53,0,190,111,354,1252,0,0.027,0.0309,1,0.036
47,north/g.38.5.graphml,38,58,0,283,309,650,3022,0,0.064,0.0836,1,0.079
48,north/g.48.9.graphml,48,150,1,1198,1024,2372,15274,16,1.289,1.8137,1,0.567
49,north/g.56.7.graphml,56,141,3,1135,1299,2575,14856,23,8.718,18.5615,1,0.543
