Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,15,18,0,0.011362075805664062,2,0,0.031
1,north/g.13.45.graphml,13,13,0,31,2,33,118,0,6.103515625e-05,2,0,0.004
2,Rome-Lib/graficon13nodi/grafo2518.13,13,20,0,22,22,44,66,0,0.004988193511962891,2,1,0.003
3,Rome-Lib/graficon16nodi/grafo894.16,16,26,1,85,120,205,650,9,0.02718496322631836,2,1,0.018
4,north/g.33.5.graphml,33,35,0,110,36,146,546,0,0.0030090808868408203,2,0,0.014
5,Rome-Lib/graficon22nodi/grafo2165.22,22,32,0,45,40,85,144,0,0.004091024398803711,2,1,0.004
6,north/g.27.3.graphml,27,41,0,62,40,102,198,0,0.009783029556274414,2,1,0.01
7,Rome-Lib/graficon33nodi/grafo9905.33,33,49,0,217,287,504,1848,12,0.1324901580810547,2,1,0.05
8,Rome-Lib/graficon32nodi/grafo11261.32,32,55,0,120,134,254,584,2,0.01549983024597168,2,1,0.015
9,Rome-Lib/graficon26nodi/grafo427.26,26,51,0,125,148,273,734,3,0.014741182327270508,2,1,0.018
10,Rome-Lib/graficon48nodi/grafo1669.48,48,62,4,371,493,864,4352,15,0.316162109375,2,1,0.121
11,Rome-Lib/graficon36nodi/grafo5809.36,36,63,0,242,288,530,1922,8,0.08219289779663086,2,1,0.051
12,Rome-Lib/graficon41nodi/grafo5414.41,41,70,0,162,163,325,792,1,0.016726016998291016,2,1,0.021
13,Rome-Lib/graficon39nodi/grafo6892.39,39,74,0,478,743,1221,6214,33,1.3705298900604248,2,1,0.22
14,Rome-Lib/graficon38nodi/grafo3421.38,38,89,0,473,614,1087,4480,21,0.7325010299682617,2,1,0.125
15,Rome-Lib/graficon42nodi/grafo3326.42,42,82,0,482,702,1184,5516,30,1.5285048484802246,2,1,0.165
16,Rome-Lib/graficon42nodi/grafo7485.42,42,99,0,474,578,1052,4220,15,0.5076110363006592,2,1,0.129
17,Rome-Lib/graficon58nodi/grafo4852.58,58,96,1,719,1009,1728,9494,42,1.845170021057129,2,1,0.315
18,Rome-Lib/graficon37nodi/grafo11295.37,37,101,0,305,336,641,1876,2,0.0359950065612793,2,1,0.053
19,Rome-Lib/graficon47nodi/grafo6344.47,47,100,0,569,688,1257,5878,11,0.37198710441589355,2,1,0.186
20,Rome-Lib/graficon62nodi/grafo9132.62,62,116,1,538,664,1202,5540,12,0.3558769226074219,2,1,0.17
21,Rome-Lib/graficon52nodi/grafo7115.52,52,113,0,568,656,1224,5740,7,0.26929688453674316,2,1,0.179
22,Rome-Lib/graficon62nodi/grafo4231.62,62,123,0,802,1034,1836,9400,31,220.0878939628601,2,5432,0.376
23,Rome-Lib/graficon68nodi/grafo9700.68,68,124,0,891,1184,2075,11528,30,5.197777986526489,2,1,0.433
24,north/g.92.4.graphml,92,131,0,1062,415,1477,18876,0,0.16139507293701172,2,1,0.733
25,Rome-Lib/graficon73nodi/grafo8613.73,73,131,0,878,1084,1962,10716,15,1.4896409511566162,2,1,0.424
26,Rome-Lib/graficon64nodi/grafo9178.64,64,141,0,922,1190,2112,10950,27,5.4072370529174805,2,1,0.356
27,Rome-Lib/graficon75nodi/grafo9736.75,75,147,0,709,841,1550,6664,18,0.8017401695251465,2,1,0.234
