Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0.0,random graphs/density_exp/d14/graph0.lgbin,50,50,0,225,299,574,598,7,0.14802789688110352,2,1,0.084
1.0,random graphs/density_exp/d14/graph1.lgbin,50,50,1,225,303,578,606,12,0.10930800437927246,2,1,0.023
2.0,random graphs/density_exp/d14/graph2.lgbin,50,50,2,225,307,582,614,10,0.1277918815612793,2,1,0.022
3.0,random graphs/density_exp/d14/graph3.lgbin,50,50,1,225,307,582,614,12,0.2227170467376709,2,1,0.022
4.0,random graphs/density_exp/d14/graph4.lgbin,50,50,1,225,312,587,624,8,0.16401982307434082,2,1,0.027
5.0,random graphs/density_exp/d14/graph5.lgbin,50,50,0,225,305,580,610,11,0.17890715599060059,2,1,0.023
6.0,random graphs/density_exp/d14/graph6.lgbin,50,50,1,225,296,571,592,8,0.07532596588134766,2,1,0.025
7.0,random graphs/density_exp/d14/graph7.lgbin,50,50,0,225,309,584,618,12,0.29184603691101074,2,23,0.024
8.0,random graphs/density_exp/d14/graph8.lgbin,50,50,1,225,295,570,590,9,0.12804293632507324,2,1,0.021
9.0,random graphs/density_exp/d14/graph9.lgbin,50,50,1,225,309,584,618,11,0.19173598289489746,2,1,0.023
10.0,random graphs/density_exp/d16/graph0.lgbin,50,50,1,225,396,671,792,23,0.46746110916137695,2,82,0.027
11.0,random graphs/density_exp/d16/graph1.lgbin,50,50,2,225,400,675,800,23,0.16537904739379883,2,1,0.077
12.0,random graphs/density_exp/d16/graph2.lgbin,50,50,2,225,400,675,800,24,0.9756379127502441,2,272,0.036
13.0,random graphs/density_exp/d16/graph3.lgbin,50,50,0,225,399,674,798,23,0.305711030960083,2,10,0.028
14.0,random graphs/density_exp/d16/graph4.lgbin,50,50,2,225,401,676,802,28,0.7035520076751709,2,7,0.03
15.0,random graphs/density_exp/d16/graph5.lgbin,50,50,2,225,406,681,812,28,0.5333330631256104,2,1,0.029
16.0,random graphs/density_exp/d16/graph6.lgbin,50,50,0,225,414,689,828,22,0.3631460666656494,2,1,0.032
17.0,random graphs/density_exp/d16/graph7.lgbin,50,50,1,225,406,681,812,29,0.9151010513305664,2,168,0.03
18.0,random graphs/density_exp/d16/graph8.lgbin,50,50,1,225,400,675,800,27,0.800915002822876,2,41,0.031
19.0,random graphs/density_exp/d16/graph9.lgbin,50,50,2,225,410,685,820,28,0.41555213928222656,2,1,0.032
20.0,random graphs/density_exp/d18/graph0.lgbin,50,50,4,225,488,763,976,50,0.8464200496673584,2,77,0.042
21.0,random graphs/density_exp/d18/graph1.lgbin,50,50,5,225,500,775,1000,43,2.4252779483795166,2,353,0.041
23.0,random graphs/density_exp/d18/graph3.lgbin,50,50,4,225,510,785,1020,46,0.9520108699798584,2,1,0.048
