Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
0,Rome-Lib/graficon12nodi/grafo970.12,12,18,0,38,36,92,109,0,0.002,0.0014,0,0.004
1,Rome-Lib/graficon13nodi/grafo2306.13,13,21,0,50,42,113,130,0,0.005,0.0021,1,0.003
2,Rome-Lib/graficon15nodi/grafo323.15,15,28,0,154,202,384,582,3,0.022,0.0173,1,0.041
3,Rome-Lib/graficon15nodi/grafo500.15,15,18,0,58,56,132,169,1,0.008,0.0035,1,0.004
4,Rome-Lib/graficon16nodi/grafo682.16,16,23,0,116,114,253,343,1,0.014,0.0087,1,0.008
5,Rome-Lib/graficon19nodi/grafo1625.19,19,25,1,124,146,295,419,2,0.009,0.0067,1,0.008
6,Rome-Lib/graficon24nodi/grafo634.24,24,39,0,298,346,683,1014,2,0.05,0.0417,1,0.02
7,Rome-Lib/graficon26nodi/grafo2445.26,26,34,1,138,178,350,506,3,0.021,0.0138,1,0.012
8,Rome-Lib/graficon30nodi/grafo3011.30,30,76,1,628,700,1404,2056,5,0.133,0.1496,1,0.048
9,Rome-Lib/graficon35nodi/grafo11573.35,35,55,0,292,344,691,1006,4,0.041,0.0354,1,0.023
10,Rome-Lib/graficon35nodi/grafo2299.35,35,51,0,316,306,673,923,3,0.054,0.043,1,0.019
11,Rome-Lib/graficon35nodi/grafo5505.35,35,57,0,320,346,723,1025,2,0.049,0.0447,1,0.021
12,Rome-Lib/graficon35nodi/grafo5574.35,35,43,0,150,148,341,445,1,0.02,0.0126,1,0.01
13,Rome-Lib/graficon36nodi/grafo11378.36,36,59,0,480,632,1171,1820,15,0.191,0.1714,1,0.034
14,Rome-Lib/graficon38nodi/grafo5427.38,38,57,0,216,236,509,698,3,0.032,0.0238,1,0.016
15,Rome-Lib/graficon39nodi/grafo11165.39,39,81,0,718,878,1677,2554,13,0.23,0.235,1,0.084
16,Rome-Lib/graficon39nodi/grafo7253.39,39,84,0,802,910,1796,2676,7,0.14,0.1481,1,0.051
17,Rome-Lib/graficon40nodi/grafo2566.40,40,83,0,694,862,1639,2502,11,0.331,0.2931,1,0.058
18,Rome-Lib/graficon40nodi/grafo4081.40,40,56,0,570,742,1368,2140,12,0.273,0.2322,1,0.04
19,Rome-Lib/graficon43nodi/grafo5216.43,43,87,0,686,842,1615,2448,9,0.276,0.273,1,0.047
20,Rome-Lib/graficon43nodi/grafo7598.43,43,82,0,778,992,1852,2869,12,0.191,0.2036,1,0.059
21,Rome-Lib/graficon44nodi/grafo6229.44,44,107,0,852,978,1937,2871,6,0.202,0.2336,1,0.063
22,Rome-Lib/graficon45nodi/grafo5617.45,45,76,0,606,676,1358,1993,5,0.134,0.1316,1,0.038
23,Rome-Lib/graficon46nodi/grafo5753.46,46,93,0,930,1072,2095,3145,10,0.253,0.2884,1,0.065
24,Rome-Lib/graficon54nodi/grafo3385.54,54,108,0,1196,1360,2664,3998,8,0.648,0.6843,1,0.089
25,Rome-Lib/graficon58nodi/grafo1566.58,58,80,0,674,654,1408,1972,3,0.126,0.1201,1,0.042
26,Rome-Lib/graficon59nodi/grafo4445.59,59,157,1,1788,2212,4157,6416,30,3.661,3.8623,1,0.156
27,Rome-Lib/graficon61nodi/grafo4990.61,61,124,0,1546,1894,3564,5508,13,0.596,0.6624,1,0.142
28,Rome-Lib/graficon74nodi/grafo8173.74,74,214,0,4444,5804,10462,16732,209,60.059,56.0596,1,0.339
29,Rome-Lib/graficon77nodi/grafo7895.77,77,141,0,2988,4164,7293,11904,68,60.007,105.6922,247,0.231
30,Rome-Lib/graficon79nodi/grafo9431.79,79,230,2,3258,3794,7282,11098,34,60.055,124.8861,1285,0.245
31,Rome-Lib/graficon81nodi/grafo8158.81,81,192,0,4284,6010,10486,17167,218,60.077,58.555,1,0.362
32,Rome-Lib/graficon82nodi/grafo8313.82,82,218,0,3632,4374,8224,12751,37,60.033,133.0286,994,0.283
33,Rome-Lib/graficon83nodi/grafo9434.83,83,215,0,3766,4980,8961,14333,132,60.054,58.1754,1,0.288
34,Rome-Lib/graficon86nodi/grafo8541.86,86,209,1,4444,6414,11067,18249,262,60.067,56.8405,1,0.365
35,DAGmar/graphs/4.6/uniform_n20_e92_i7.graphml,20,47,196,1194,5664,6905,13189,941,60.012,69.2172,1,0.286
36,DAGmar/graphs/3.6/uniform_n20_e72_i4.graphml,20,56,15,1174,3198,4428,8462,246,4.376,6.0493,1,0.138
37,DAGmar/graphs/2.6/uniform_n20_e52_i3.graphml,20,60,3,1174,2428,3662,6633,133,9.803,10.8496,1,0.109
38,DAGmar/graphs/3.6/uniform_n20_e72_i8.graphml,20,74,7,2000,4596,6670,12434,355,60.035,60.9643,1,0.232
39,DAGmar/graphs/6.6/uniform_n20_e132_i3.graphml,20,84,311,2870,11100,14054,26697,2469,60.052,86.7779,1,0.654
40,north/g.11.16.graphml,11,136,0,2524,3322,5982,9567,81,60.004,103.6374,93,0.184
41,north/g.11.68.graphml,11,18,0,18,14,50,44,0,0.002,0.0006,0,0.001
42,north/g.17.41.graphml,17,53,0,186,218,457,638,3,0.026,0.0215,1,0.014
43,north/g.22.0.graphml,22,66,0,554,574,1194,1712,0,0.048,0.0473,1,0.04
44,north/g.22.9.graphml,22,22,0,32,18,72,61,0,0.003,0.001,0,0.002
45,north/g.27.1.graphml,27,35,0,194,160,389,497,0,0.01,0.0086,0,0.013
46,north/g.36.9.graphml,36,53,0,380,222,655,745,0,0.023,0.0226,1,0.02
47,north/g.38.5.graphml,38,58,0,566,618,1242,1828,0,0.05,0.0499,1,0.035
48,north/g.48.9.graphml,48,150,1,2396,2048,4594,6310,17,0.858,0.9997,1,0.143
49,north/g.56.7.graphml,56,141,3,2270,2598,5009,7606,26,16.257,38.5596,936,0.164
