Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,27,14,0,0.0037369728088378906,2,1,0.004
1,north/g.13.45.graphml,13,13,0,31,2,46,4,0,0.0021910667419433594,2,0,0.001
2,Rome-Lib/graficon13nodi/grafo2518.13,13,20,0,22,22,64,44,0,0.0026679039001464844,2,0,0.003
3,Rome-Lib/graficon16nodi/grafo894.16,16,26,1,85,120,231,240,9,0.02077198028564453,2,1,0.012
4,north/g.33.5.graphml,33,35,0,110,36,181,72,0,0.005950927734375,2,0,0.006
5,Rome-Lib/graficon22nodi/grafo2165.22,22,32,0,45,40,117,80,0,0.003113985061645508,2,0,0.004
6,north/g.27.3.graphml,27,41,0,62,40,143,80,0,0.004649162292480469,2,1,0.005
7,Rome-Lib/graficon33nodi/grafo9905.33,33,49,0,217,287,553,574,12,0.09093713760375977,2,1,0.024
8,Rome-Lib/graficon32nodi/grafo11261.32,32,55,0,120,134,309,268,2,0.012393951416015625,2,1,0.014
9,Rome-Lib/graficon26nodi/grafo427.26,26,51,0,125,148,324,296,3,0.012250185012817383,2,1,0.014
10,Rome-Lib/graficon48nodi/grafo1669.48,48,62,4,371,493,926,986,15,0.2012319564819336,2,1,0.043
11,Rome-Lib/graficon36nodi/grafo5809.36,36,63,0,242,288,593,576,8,0.07927489280700684,2,1,0.026
12,Rome-Lib/graficon41nodi/grafo5414.41,41,70,0,162,163,395,326,1,0.014052867889404297,2,1,0.016
13,Rome-Lib/graficon39nodi/grafo6892.39,39,74,0,478,743,1295,1486,33,0.6258611679077148,2,1,0.061
14,Rome-Lib/graficon38nodi/grafo3421.38,38,89,0,473,614,1176,1228,21,0.9661791324615479,2,1,0.053
15,Rome-Lib/graficon42nodi/grafo3326.42,42,82,0,482,702,1266,1404,30,0.7222621440887451,2,1,0.059
16,Rome-Lib/graficon42nodi/grafo7485.42,42,99,0,474,578,1151,1156,15,0.34533095359802246,2,1,0.052
17,Rome-Lib/graficon58nodi/grafo4852.58,58,96,1,719,1009,1824,2018,42,0.7643499374389648,2,1,0.085
18,Rome-Lib/graficon37nodi/grafo11295.37,37,101,0,305,336,742,672,2,0.037696123123168945,2,1,0.03
19,Rome-Lib/graficon47nodi/grafo6344.47,47,100,0,569,688,1357,1376,11,0.29671597480773926,2,1,0.06
20,Rome-Lib/graficon62nodi/grafo9132.62,62,116,1,538,664,1318,1328,12,0.5195369720458984,2,1,0.057
21,Rome-Lib/graficon52nodi/grafo7115.52,52,113,0,568,656,1337,1312,7,0.18092584609985352,2,1,0.056
22,Rome-Lib/graficon62nodi/grafo4231.62,62,123,0,802,1034,1959,2068,31,2.835587978363037,2,1,0.087
23,Rome-Lib/graficon68nodi/grafo9700.68,68,124,0,891,1184,2199,2368,30,2.7087810039520264,2,1,0.093
24,north/g.92.4.graphml,92,131,0,1062,415,1608,830,0,0.11377811431884766,2,1,0.057
25,Rome-Lib/graficon73nodi/grafo8613.73,73,131,0,878,1084,2093,2168,15,0.9795629978179932,2,1,0.091
26,Rome-Lib/graficon64nodi/grafo9178.64,64,141,0,922,1190,2253,2380,27,2.4773969650268555,2,1,0.142
27,Rome-Lib/graficon75nodi/grafo9736.75,75,147,0,709,841,1697,1682,18,0.3003880977630615,2,1,0.069
28,Rome-Lib/graficon67nodi/grafo4841.67,67,158,0,1252,1571,2981,3142,39,9.877007007598877,2,112,0.126
29,Rome-Lib/graficon46nodi/grafo6212.46,46,159,0,1200,1427,2786,2854,37,1.3007259368896484,2,1,0.112
30,Rome-Lib/graficon84nodi/grafo7949.84,84,160,1,1575,2062,3797,4124,47,10.303777933120728,2,1,0.16
31,Rome-Lib/graficon63nodi/grafo9547.63,63,165,0,1299,1649,3113,3298,56,15.525535821914673,2,1,0.128
32,Rome-Lib/graficon80nodi/grafo9343.80,80,178,0,1773,2194,4145,4388,48,7.80743408203125,2,1,0.22
33,Rome-Lib/graficon77nodi/grafo8068.77,77,174,0,1151,1512,2837,3024,40,4.977013111114502,2,1,0.121
34,Rome-Lib/graficon71nodi/grafo9458.71,71,185,0,1275,1491,2951,2982,22,0.6913690567016602,2,1,0.123
35,Rome-Lib/graficon92nodi/grafo11144.92,92,183,0,2529,3735,6447,7470,137,300.01618695259094,9,306,0.293
