GraphSize,CVcalc,AvgOptsPerMin
r1.5k12n8,1569,423.85196828125464
r1.5k18n12,1418,253.43731874045466
r1.5k12n8,2650,351.2069966679925
r1.5k18n12,2363,86.67038992141612
r1.5k12n8,1503,475.9862941364301
r1.5k24n16,2787,9.81786406626073
r1.5k18n12,1653,191.43016400539648
r1.5k12n8,3975,347.72612702844197
r1.5k24n16,2082,59.51147962120765
r1.5k30n20,2877,9.981937710885974
r1.5k18n12,3544,43.543549251608276
r1.5k12n8,7287,338.9986210656822
r1.5k24n16,1598,151.12971573674935
r1.5k12n8,14243,344.2935751217043
r1.5k18n12,6498,19.11138002226387
r1.5k30n20,2672,14.208737123182507
r1.5k24n16,2434,32.43638589486475
r1.5k12n8,10930,355.5014724067384
r1.5k12n8,28321,358.28468119293245
r1.5k18n12,12701,19.085266081653945
r1.5k30n20,1477,110.49802576737099
r1.5k24n16,2610,20.76198757791195
r1.5k12n8,20039,354.89858531749894
r1.5k36n24,2392,32.002954903646355
r1.5k12n8,56560,353.5145095900576
r1.5k18n12,25254,17.939075118465745
r1.5k24n16,2698,16.791802301934684
r1.5k12n8,39167,333.75708433918527
r1.5k18n12,2953,51.519844634640705
r1.5k30n20,2774,13.49672228967853
r1.5k12n8,113080,377.2277446383521
r1.5k18n12,50435,18.798288616663815
r1.5k24n16,2258,39.93042415863635
r1.5k12n8,77879,357.67832695490034
r1.5k24n16,2742,11.431855592727523
r1.5k18n12,3248,44.5673337869053
r1.5k12n8,226140,367.4498082344476
r1.5k30n20,2074,56.950116629881975
r1.5k18n12,100833,18.23393800670656
r1.5k24n16,2170,51.16330905731725
r1.5k30n20,2825,7.094230612457511
r1.5k36n24,2331,35.203819168172586
r1.5k12n8,155531,341.96551065869386
r1.5k24n16,2764,11.13098952269685
r1.5k12n8,452270,363.45529797831017
r1.5k18n12,3100,47.85663549172571
r1.5k18n12,201648,16.87704320492464
r1.5k24n16,2214,47.30822238092904
r1.5k30n20,2373,32.29009486761197
r1.5k12n8,310949,360.1326631633377
r1.5k30n20,2799,13.292215590131118
r1.5k24n16,2775,11.953584177996536
r1.5k12n8,904535,369.97267305266166
r1.5k18n12,3026,51.4038968261392
r1.5k18n12,403288,19.751589158092642
r1.5k24n16,2192,42.97456356448919
r1.5k12n8,621842,355.8039758759896
r1.5k30n20,2223,41.293346471913125
r1.5k24n16,2781,9.857653113093853
r1.5k18n12,3063,47.94523198675996
r1.5k18n12,806572,17.147453758231954
r1.5k30n20,2812,11.307928126820038
r1.5k36n24,1865,46.2334103187226
r1.5k12n8,1243657,350.2275837456197
r1.5k24n16,2181,51.62752595966538
r1.5k18n12,3044,50.534124513740814
r1.5k24n16,2778,12.687425988381825
r1.5k12n8,1356802,345.6069198009143
r1.5k18n12,2008,109.77810550687227
r1.5k30n20,2148,54.77111999563881
r1.5k36n24,1659,53.28612797536384
r1.5k12n8,2487300,351.9376246854074
r1.5k24n16,2186,55.64224707957624
r1.5k30n20,2818,9.30518141534445
r1.5k24n16,1840,102.39147012754579
r1.5k18n12,3053,46.79001784585212
r1.5k12n8,2487471,342.5596028758454
r1.5k24n16,2779,12.081908674432132
r1.5k18n12,2185,88.25684872629893
r1.5k30n20,2185,51.61277560392209
r1.5k24n16,2189,48.72372274736703
r1.5k18n12,3048,48.50434753458951
r1.5k24n16,1961,79.97289895087845
r1.5k12n8,4861875,347.73871758027633
r1.5k36n24,3588,6.713743407590888
r1.5k30n20,2815,10.99973557233092
r1.5k30n20,1775,87.05287361111195
r1.5k18n12,2096,99.81445297855518
r1.5k24n16,2187,49.33102671504875
r1.5k12n8,9667217,344.95817295231296
r1.5k24n16,1900,83.74655384897554
r1.5k36n24,1762,50.690527638353025
r1.5k30n20,2204,51.1594064064126
r1.5k18n12,2052,105.12839117270035
r1.5k30n20,2816,12.393735002375276
r1.5k30n20,1626,101.20477511637787
r1.5k24n16,2186,48.61840950080493
r1.5k24n16,1870,100.52650252492802
r1.5k18n12,2074,101.68171332604128
r1.5k36n24,829,73.46110748443769
r1.5k30n20,2213,40.77216788235257
r1.5k36n24,2990,12.266496672290467
r1.5k30n20,2817,11.028186095285736
r1.5k30n20,1700,97.57573599095153
r1.5k24n16,1885,97.8683527795394
r1.5k36n24,1813,51.55462877917772
r1.5k30n20,2208,33.89495614491749
r1.5k30n20,2817,8.331460916624598
r1.5k30n20,1663,97.77914887999918
r1.5k36n24,414,74.7167145872363
r1.5k36n24,3289,9.921777429897878
r1.5k30n20,2206,33.03010107422075
r1.5k30n20,1644,111.93920042105601
r1.5k36n24,1839,50.93019063521211
r1.5k30n20,1653,111.11841397018284
r1.5k36n24,207,70.96680386438166
r1.5k36n24,3139,8.247810224958217
r1.5k36n24,1852,53.87152725260196
r1.5k36n24,103,76.52084124462843
r1.5k36n24,3064,13.15560548669807
r1.5k36n24,1858,53.90233115171029
r1.5k36n24,51,91.43750464143388
r1.5k36n24,3101,10.09263727809106
r1.5k36n24,1861,52.45651993531449
r1.5k36n24,25,95.61879915708651
r1.5k36n24,3120,10.482080754220986
r1.5k36n24,1863,48.01265848163764
r1.5k36n24,12,95.1680332989516
r1.5k36n24,3129,9.347964259882461
r1.5k36n24,1862,50.25895797730898
r1.5k36n24,6,94.0968209998634
r1.5k36n24,3124,10.27317250184036
r1.5k36n24,1862,53.16782225482799
r1.5k36n24,3,103.37832746773033
