GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k12n8,2228,306.714004410028,10
r1.5k18n12,2661,99.76506150484491,10
r1.5k24n16,2200,38.33194319396405,10
r1.5k12n8,2356,298.58287798126605,10
r1.5k18n12,2140,138.33130666478093,10
r1.5k30n20,2833,12.870183084601573,10
r1.5k24n16,2643,15.234461912648033,10
r1.5k36n24,1466,50.66963498737745,10
r1.5k12n8,1468,541.7619872829644,10
r1.5k18n12,1417,264.04854226981877,10
r1.5k30n20,1289,158.5895442139059,10
r1.5k24n16,2831,8.481582919422841,10
r1.5k12n8,3534,295.1920711922843,10
r1.5k18n12,3991,45.22710065654077,10
r1.5k36n24,2778,15.567148493413303,10
r1.5k30n20,2001,78.97558046657905,10
r1.5k24n16,2737,10.271823230017382,10
r1.5k12n8,6479,297.00063186008344,10
r1.5k18n12,7317,18.22171875522732,10
r1.5k36n24,1497,43.77651398709812,10
r1.5k30n20,4249,1.1643369187839667,10
r1.5k24n16,2784,8.901687866027746,10
r1.5k12n8,12663,307.30612620429184,10
r1.5k18n12,14302,19.035926759289584,10
r1.5k24n16,2760,10.748698047763252,10
r1.5k30n20,3541,6.166708341946416,10
r1.5k36n24,4167,0.8848184323735098,10
r1.5k12n8,25179,311.0692881035635,10
r1.5k18n12,28439,20.979449832309285,10
r1.5k24n16,2772,9.483806054841917,10
r1.5k30n20,3187,7.34313395532043,10
r1.5k12n8,50285,324.39882552218324,10
r1.5k18n12,56795,19.91083523728724,10
r1.5k36n24,3472,5.261179798447337,10
r1.5k24n16,2766,11.359041158163233,10
r1.5k30n20,3010,12.997853463130264,10
r1.5k12n8,100534,307.10797653994933,10
r1.5k18n12,113549,17.006793858867265,10
r1.5k36n24,3125,9.437818503083209,10
r1.5k24n16,2769,11.183149585736192,10
r1.5k30n20,3098,10.695127727873016,10
r1.5k12n8,201051,314.64819053217497,10
r1.5k18n12,227078,20.726323450699102,10
r1.5k24n16,2770,11.375982068754658,10
r1.5k36n24,2951,9.55483608291811,10
r1.5k12n8,402093,305.558602978452,10
r1.5k30n20,3142,8.396635029035366,10
r1.5k18n12,454147,20.351377245446134,10
r1.5k24n16,2771,12.125063809284066,10
r1.5k12n8,804182,306.690759538826,10
r1.5k18n12,908289,18.245065683101508,10
r1.5k30n20,3120,11.068938089594571,10
r1.5k36n24,2864,14.808118319747596,10
r1.5k24n16,2771,11.621800994762848,10
r1.5k30n20,3131,8.426568110493418,10
r1.5k36n24,2907,12.302253190983652,10
r1.5k30n20,3125,9.9328983355353,10
r1.5k36n24,2929,14.04437760857537,10
r1.5k12n8,1352,602.002529305415,50
r1.5k18n12,1720,213.25062732867227,50
r1.5k24n16,2628,14.7369413570438,50
r1.5k36n24,2940,16.08907537554727,10
r1.5k30n20,1971,71.62664799228223,50
r1.5k12n8,2384,301.04626142649806,50
r1.5k18n12,1422,281.70369288444414,50
r1.5k24n16,2518,21.091096197227692,50
r1.5k36n24,2655,31.29664537789288,50
r1.5k30n20,2212,47.16498208619258,50
r1.5k12n8,2548,298.1553309866902,50
r1.5k36n24,2945,15.857107175326709,10
r1.5k18n12,2977,76.14378545314689,50
