GraphSize,CVcalc,AvgOptsPerMin
r1.5k18n12,1131,286.62026570008356
r1.5k24n16,2797,4.367549165126951
r1.5k18n12,1279,182.2156821072671
r1.5k24n16,2067,42.7276127883247
r1.5k30n20,2167,72.34859147418263
r1.5k30n20,2366,41.18334376414166
r1.5k36n24,1135,177.30201333170405
r1.5k36n24,2769,26.21861566497197
r1.5k42n28,1605,91.44172015577843
r1.5k18n12,1075,341.56068968146326
r1.5k42n28,1538,101.12705832049305
r1.5k18n12,1455,108.0178581505663
r1.5k24n16,2568,7.749307690937784
r1.5k24n16,1831,103.26183158403707
r1.5k30n20,2621,19.052834452531577
r1.5k30n20,1350,296.37442359955327
r1.5k36n24,1944,118.38232986337586
r1.5k36n24,1550,156.60138025668678
r1.5k18n12,1918,31.43955704646796
r1.5k18n12,2182,15.020732456045868
r1.5k24n16,2317,16.85687607587083
r1.5k24n16,1949,61.72789553260863
r1.5k30n20,3931,2.026285109891867
r1.5k30n20,2266,59.269239369007366
r1.5k42n28,1493,93.31655847811602
r1.5k42n28,1157,111.34555958131287
r1.5k18n12,3517,1.7791802384522961
r1.5k36n24,4153,2.6214187142409107
r1.5k18n12,1818,41.0927198920015
r1.5k24n16,2442,10.829202639956108
r1.5k36n24,2356,64.03619881759477
r1.5k24n16,2008,53.613948040966555
r1.5k30n20,3276,4.180612072651528
r1.5k30n20,2316,46.575001466902265
r1.5k18n12,2717,4.569256352257679
r1.5k18n12,1636,69.66721198415985
r1.5k24n16,2505,8.079651872348215
r1.5k24n16,2037,43.939626083405884
r1.5k36n24,3461,7.442653138496183
r1.5k36n24,2562,41.87170148604583
r1.5k30n20,2948,6.355547977964693
r1.5k30n20,2291,48.70798009594527
r1.5k42n28,2407,61.99750298898525
r1.5k42n28,2407,68.23356056428356
r1.5k18n12,2317,11.928230943035391
r1.5k18n12,1727,50.19138081613946
r1.5k24n16,2473,10.578592977296516
r1.5k24n16,2022,53.18119417483174
r1.5k30n20,2784,11.204090640022866
r1.5k36n24,3115,12.647699149244055
r1.5k30n20,2278,56.25670960375292
r1.5k36n24,2459,54.36354307214805
r1.5k18n12,2517,7.228981433465057
r1.5k18n12,1772,42.488500333032206
r1.5k24n16,2489,9.154269311248918
r1.5k24n16,2029,48.64491909585285
r1.5k42n28,4413,4.07779786763316
r1.5k42n28,4413,3.4348500200667673
r1.5k30n20,2866,8.673870955343169
r1.5k30n20,2284,46.48274133095376
r1.5k18n12,2417,9.73678620579833
r1.5k18n12,1749,48.039916398923026
r1.5k36n24,3288,9.65844422549352
r1.5k36n24,2510,51.60841493085776
r1.5k24n16,2481,8.445663305931003
r1.5k24n16,2025,50.240932229108594
r1.5k30n20,2825,9.850358185206538
r1.5k30n20,2281,60.00232134023447
r1.5k18n12,2367,9.33287149080509
r1.5k18n12,1738,46.41687080299796
r1.5k24n16,2477,8.40305332563973
r1.5k24n16,2027,47.81159152703328
r1.5k36n24,3201,10.856244367237885
r1.5k36n24,2536,49.277921480348866
r1.5k42n28,3410,19.04621018908785
r1.5k42n28,3410,14.71111436378168
r1.5k18n12,2342,11.182151541017252
r1.5k30n20,2804,10.996937399544947
r1.5k18n12,1732,50.26734551704387
r1.5k30n20,2282,54.4662942021144
r1.5k24n16,2475,8.906240420799987
r1.5k24n16,2026,46.66888644912085
r1.5k36n24,3244,11.015357216386542
r1.5k36n24,2523,44.63496732082785
r1.5k18n12,2354,9.975636153512754
r1.5k18n12,1735,50.05356376795986
r1.5k30n20,2814,9.006033345676059
r1.5k30n20,2283,52.2267063700571
r1.5k24n16,2474,10.525599343673413
r1.5k24n16,2025,48.163060880264624
r1.5k42n28,2908,41.78765741198038
r1.5k42n28,3911,6.980283982314181
r1.5k18n12,1545,82.92278918364697
r1.5k24n16,1890,87.58509779089438
r1.5k36n24,3266,8.985950505023625
r1.5k36n24,2516,49.80874512079877
r1.5k30n20,2809,11.094207330831658
r1.5k30n20,2283,55.09014931122817
r1.5k30n20,1758,166.63124894273204
r1.5k36n24,2150,80.42802840540028
r1.5k18n12,1500,95.26405218059496
r1.5k24n16,1860,88.6744587724344
r1.5k36n24,3255,11.488120346852845
r1.5k42n28,2657,55.72247193314584
r1.5k30n20,1962,114.2394657383582
r1.5k36n24,2513,52.42196607146263
r1.5k42n28,3660,10.911760536929698
r1.5k18n12,1477,104.70243462324146
r1.5k36n24,2047,96.58554742445786
r1.5k24n16,1845,97.61036893968542
r1.5k42n28,1515,93.5599636789131
r1.5k30n20,2064,90.84013886956858
r1.5k36n24,3260,9.93646939852355
r1.5k36n24,2514,53.66031249599644
r1.5k24n16,1838,98.21326986931366
r1.5k42n28,2782,46.59445748386539
r1.5k36n24,1995,105.7365662297399
r1.5k42n28,3785,9.506508621519302
r1.5k30n20,2013,106.6673495038608
r1.5k42n28,1526,101.44780624881902
r1.5k36n24,2021,106.7009404131837
r1.5k42n28,2719,56.69985341336503
r1.5k42n28,3722,10.495785979682546
r1.5k42n28,1520,99.5391692858453
r1.5k36n24,2034,105.13722256187135
r1.5k42n28,2750,50.01112426520248
r1.5k42n28,3753,11.718579859047438
r1.5k42n28,1523,111.67773910945529
r1.5k42n28,2766,47.97049847595352
r1.5k42n28,3769,11.819332097657417
r1.5k42n28,1521,115.84217184108023
r1.5k42n28,1520,111.63303369274223
