GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k18n12,2219,19.798287751892712,10
r1.5k24n16,2227,57.51227517906854,10
r1.5k18n12,2397,8.930175673369929,50
r1.5k24n16,1622,186.8009496821245,50
r1.5k30n20,1185,363.8020345116989,10
r1.5k30n20,2246,131.88019082225156,50
r1.5k36n24,1390,194.93625285917562,10
r1.5k36n24,2735,87.10473573841618,50
r1.5k42n28,1475,100.41444966313932,50
r1.5k42n28,2034,79.04704458826384,10
r1.5k18n12,2560,6.986631716989541,10
r1.5k18n12,2623,6.060531398833044,50
r1.5k24n16,1131,545.8634101830442,10
r1.5k24n16,1288,404.20443813725393,50
r1.5k30n20,2562,70.06934667699291,10
r1.5k30n20,1342,328.3974131487836,50
r1.5k36n24,2546,108.96175726239706,10
r1.5k36n24,2946,66.47393575329119,50
r1.5k42n28,1856,93.49352306152878,50
r1.5k42n28,2401,61.069763801458365,10
r1.5k18n12,2413,10.01486843678036,10
r1.5k18n12,2498,7.5128032096201975,50
r1.5k24n16,1396,357.2261888921984,10
r1.5k24n16,2514,18.49833065418806,50
r1.5k30n20,2604,59.21227837395738,10
r1.5k30n20,1316,327.2227285991775,50
r1.5k36n24,2281,134.14019881115013,50
r1.5k36n24,1174,191.22838207607782,10
r1.5k42n28,2092,87.81761959764569,50
r1.5k42n28,2229,74.76284211234933,10
r1.5k18n12,2486,6.255984262993691,10
r1.5k18n12,1198,249.0379700898483,50
r1.5k24n16,3340,1.7636481634863546,10
r1.5k24n16,2068,70.44745044676556,50
r1.5k30n20,3906,0.841300833511022,10
r1.5k30n20,3369,9.084540383529239,50
r1.5k36n24,4419,1.0452812114155707,50
r1.5k36n24,3819,6.262887029572053,10
r1.5k42n28,3138,43.15574332281771,50
r1.5k42n28,3601,18.713602116254954,10
r1.5k18n12,2449,8.598301788095462,10
r1.5k18n12,1797,54.93574268969837,50
r1.5k24n16,2783,9.2062311790115,10
r1.5k24n16,2291,38.24283603884068,50
r1.5k30n20,3255,12.838928125811213,10
r1.5k30n20,2807,31.68596149509613,50
r1.5k36n24,3682,7.92795927554601,50
r1.5k36n24,3182,45.26734002814182,10
r1.5k42n28,2615,75.64443195080915,50
r1.5k42n28,6602,0.23989769430035598,10
r1.5k18n12,2431,8.35970025551139,10
r1.5k18n12,2097,24.163046796381373,50
r1.5k24n16,2505,23.676620804439832,10
r1.5k24n16,2179,53.7086069160001,50
r1.5k30n20,3580,4.031420886170692,10
r1.5k30n20,2526,73.27730032224412,50
r1.5k36n24,3314,25.139615310622798,50
r1.5k36n24,3500,19.074518858395685,10
r1.5k18n12,2422,10.135231700165802,10
r1.5k18n12,1947,41.15999383263831,50
r1.5k24n16,2644,12.839460684226037,10
r1.5k24n16,2235,43.47174300425417,50
r1.5k42n28,2876,64.15780581367325,50
r1.5k30n20,3417,9.33532344024422,10
r1.5k30n20,2666,54.462997344859616,50
r1.5k42n28,5101,0.6020961351574743,10
r1.5k36n24,3130,49.493863774341285,50
r1.5k36n24,3659,11.88229079874866,10
r1.5k18n12,2426,9.042481351266224,10
r1.5k18n12,1872,50.11147466640924,50
r1.5k24n16,2713,11.307056945495598,10
r1.5k24n16,2207,53.85569851351956,50
r1.5k30n20,3336,9.037675959612098,10
r1.5k30n20,2736,38.58702841321673,50
r1.5k42n28,3007,54.22574938635729,50
r1.5k42n28,4351,3.4008412871263602,10
r1.5k36n24,3038,47.65756318097903,50
r1.5k36n24,3739,6.088002246284748,10
r1.5k18n12,2424,9.974796960351895,10
r1.5k18n12,1909,42.06959256333881,50
r1.5k24n16,2748,10.912452824767424,10
r1.5k24n16,2221,47.649505641532215,50
r1.5k30n20,3295,8.26188402875638,10
r1.5k30n20,2701,46.16332779890733,50
r1.5k42n28,3072,53.69632616377551,50
r1.5k42n28,3976,6.253615994307537,10
r1.5k36n24,2992,61.16315969611278,50
r1.5k36n24,3699,9.054934865589946,10
r1.5k18n12,2423,8.966127443117614,10
r1.5k18n12,1890,46.61777257129718,50
r1.5k24n16,2765,8.572325241797895,10
r1.5k24n16,2214,56.8718834812171,50
r1.5k30n20,3275,14.621086785862143,10
r1.5k30n20,2683,52.11680779154856,50
r1.5k42n28,3105,54.4594148281441,50
r1.5k36n24,3015,55.53303628111753,50
r1.5k36n24,3679,12.652073226775695,10
r1.5k42n28,3788,17.663726511088818,10
r1.5k18n12,2422,8.396384739654874,10
r1.5k18n12,1881,44.576327046145295,50
r1.5k24n16,2756,7.178401556733496,10
r1.5k24n16,2217,43.0993980366071,50
r1.5k30n20,3285,11.0148129466809,10
r1.5k30n20,2692,46.65633556224917,50
r1.5k36n24,3026,53.149156611043324,50
r1.5k36n24,3689,9.740572324384484,10
r1.5k42n28,3121,47.36417545927729,50
r1.5k42n28,3882,10.909938519354885,10
r1.5k18n12,2422,9.893467828963404,10
r1.5k18n12,1876,47.4403264517763,50
r1.5k24n16,2752,8.759161593269585,10
r1.5k24n16,2215,49.53132632702367,50
r1.5k30n20,3290,8.39330157932977,10
r1.5k30n20,2687,52.92705323828276,50
r1.5k36n24,3032,60.61866857864959,50
r1.5k36n24,3684,15.61227527723266,10
r1.5k42n28,3113,53.59245335209046,50
r1.5k18n12,1682,78.83647929857742,100
r1.5k24n16,2606,19.125551687126308,100
r1.5k30n20,2867,28.761939722866902,100
r1.5k42n28,3929,8.155790644602101,10
r1.5k36n24,2387,161.064113780086,100
r1.5k42n28,2876,58.047547470312566,100
r1.5k18n12,1142,300.8021595570657,100
r1.5k24n16,1040,629.966034372854,100
r1.5k30n20,1406,310.9607203989149,100
r1.5k42n28,3117,65.69021709601277,50
r1.5k36n24,2892,86.66194504166816,100
r1.5k42n28,3905,9.08703515958411,10
r1.5k42n28,1501,102.78965961003846,100
r1.5k42n28,3905,10.049743802283475,10
r1.5k18n12,1781,59.315371244241405,100
r1.5k24n16,1157,552.5862146079132,100
r1.5k18n12,2422,9.201411481069638,10
r1.5k30n20,1365,342.66971107478633,100
