GraphSize,CVcalc,AvgOptsPerMin
r1.5k18n12,1234,231.3816507785591
r1.5k24n16,2202,24.687961855854432
r1.5k18n12,2197,17.123332128269336
r1.5k30n20,2960,7.0818131297038995
r1.5k24n16,2837,3.0064065961957027
r1.5k18n12,1814,48.07843124693812
r1.5k24n16,2124,33.158251136409476
r1.5k30n20,2160,67.05046135263295
r1.5k30n20,1095,422.45582644447904
r1.5k36n24,1963,137.86892021378347
r1.5k36n24,2313,60.68191775459931
r1.5k42n28,1296,120.69833942092008
r1.5k42n28,1633,102.3574256384101
r1.5k24n16,2519,7.051115904473886
r1.5k18n12,3295,1.9998448810097482
r1.5k30n20,2560,16.5528139838744
r1.5k18n12,1524,104.93081503898172
r1.5k18n12,1524,107.28007480383984
r1.5k24n16,1062,602.7149101761952
r1.5k24n16,1062,639.754511226378
r1.5k30n20,1627,272.49068165907175
r1.5k30n20,2560,14.429666360389815
r1.5k36n24,2391,59.083571962165095
r1.5k36n24,1944,121.53246350828297
r1.5k42n28,2989,22.82181531779743
r1.5k18n12,2746,5.009189436819099
r1.5k24n16,2360,13.193580155911398
r1.5k42n28,2704,33.9987011224965
r1.5k18n12,1669,69.155733330774
r1.5k18n12,1669,68.19178452967111
r1.5k24n16,1593,186.3217989301601
r1.5k24n16,1593,183.31866062409853
r1.5k30n20,2760,9.160819518843654
r1.5k30n20,1893,177.9250234305479
r1.5k30n20,2360,32.12731482873357
r1.5k36n24,3586,4.042977004748792
r1.5k36n24,3586,4.044067807709144
r1.5k18n12,2471,10.04165624643688
r1.5k24n16,2439,9.088075391387862
r1.5k18n12,1596,93.96633220861756
r1.5k18n12,1741,59.714983074531126
r1.5k24n16,1858,71.51727154944706
r1.5k24n16,1858,71.2253264163178
r1.5k30n20,2660,12.307473211031752
r1.5k30n20,2260,48.702656167312576
r1.5k30n20,2026,105.91383236418116
r1.5k42n28,4483,2.0111229317598505
r1.5k18n12,2608,7.017289991781967
r1.5k36n24,2988,10.378414116836908
r1.5k42n28,2168,78.68930559632047
r1.5k24n16,2399,11.137820853006628
r1.5k18n12,1560,97.09357988447428
r1.5k18n12,1777,59.64024158514377
r1.5k36n24,2988,10.36885022008704
r1.5k24n16,1725,119.41212614550906
r1.5k24n16,1991,45.15331183718927
r1.5k30n20,2710,9.158095207842573
r1.5k30n20,2210,57.37466049972647
r1.5k30n20,2093,86.35461783725567
r1.5k18n12,2539,7.0183083863690525
r1.5k24n16,2419,12.14314575040567
r1.5k18n12,1542,101.87182562253528
r1.5k18n12,1795,51.19884752594192
r1.5k24n16,1791,99.0484939356102
r1.5k24n16,1924,51.862369432411
r1.5k36n24,3287,6.10414773424762
r1.5k36n24,2689,18.124441563867986
r1.5k30n20,2685,11.249248315432322
r1.5k30n20,2235,61.24615270356127
r1.5k30n20,2059,111.96712230864102
r1.5k42n28,3736,6.189629223301861
r1.5k18n12,2505,8.025468363845905
r1.5k42n28,2436,57.461374646600035
r1.5k18n12,1551,96.14279232468134
r1.5k18n12,1804,52.28683760487238
r1.5k24n16,2429,12.169521959126525
r1.5k24n16,1758,113.84608573804788
r1.5k24n16,1957,57.50325505133503
r1.5k30n20,2697,10.201756778639682
r1.5k36n24,3137,7.1971333080141005
r1.5k30n20,2247,51.10168123789479
r1.5k30n20,2076,95.90737857159564
r1.5k36n24,2540,38.98262689034161
r1.5k18n12,2488,9.030655676861237
r1.5k18n12,1546,107.26972675780738
r1.5k18n12,1809,49.101267418094324
r1.5k24n16,2434,8.068562517190772
r1.5k24n16,1774,114.19380521165391
r1.5k24n16,1974,46.25885637844443
r1.5k36n24,2138,87.18901262900204
r1.5k30n20,2703,10.191211565103078
r1.5k42n28,3362,9.480896661651949
r1.5k30n20,2253,55.8371184142719
r1.5k30n20,2067,111.10843057595314
r1.5k42n28,2570,48.38150662946866
r1.5k18n12,2479,11.04525791629269
r1.5k36n24,3062,9.281285740677529
r1.5k18n12,1548,97.01971135120131
r1.5k18n12,1806,51.36277627890963
r1.5k36n24,2465,48.3503003350064
r1.5k24n16,2431,11.129307752184372
r1.5k42n28,1900,88.3839026950667
r1.5k24n16,1782,119.91041337124156
r1.5k24n16,1965,53.86947552706268
r1.5k36n24,2050,103.29700918520997
r1.5k30n20,2706,11.233093908252187
r1.5k30n20,2256,55.94431586725764
r1.5k18n12,2483,10.038081675271577
r1.5k30n20,2071,98.13573101226302
r1.5k18n12,1547,100.38523976092986
r1.5k18n12,1807,55.309388490890804
r1.5k24n16,2432,11.120150161038154
r1.5k24n16,1786,108.87343888346354
r1.5k24n16,1969,55.09012097677853
r1.5k36n24,3025,10.357157974494323
r1.5k36n24,2428,49.71073628514815
r1.5k42n28,3175,17.568311427060625
r1.5k30n20,2708,11.218018221543415
r1.5k42n28,2503,48.97456492378105
r1.5k30n20,2258,64.71407156775952
r1.5k30n20,2069,98.2205777335289
r1.5k36n24,2094,94.83111067671261
r1.5k42n28,1766,100.61898339971077
r1.5k36n24,3043,11.392894496526257
r1.5k36n24,2409,75.09111194225775
r1.5k36n24,2072,94.62861938728116
r1.5k42n28,3268,15.191387755593057
r1.5k42n28,2469,53.704263675352834
r1.5k36n24,3052,11.410956788909091
r1.5k36n24,2418,72.17936767639127
r1.5k42n28,1833,86.66561016356475
r1.5k36n24,2061,106.03380114597192
r1.5k36n24,3057,9.261758915327233
r1.5k36n24,2423,60.1287809514742
r1.5k42n28,3315,12.868217540496188
r1.5k42n28,2486,49.03174385053415
r1.5k42n28,1799,86.93541953084565
r1.5k36n24,2066,98.23456833027241
r1.5k42n28,3338,11.690920931237569
r1.5k36n24,2063,100.98929449208518
r1.5k42n28,2477,53.94311384922665
r1.5k42n28,1782,89.37863048199475
r1.5k42n28,3350,9.448173721999524
r1.5k42n28,2481,53.846459489221054
r1.5k42n28,1774,97.63017175921676
r1.5k42n28,3344,11.657771005254014
r1.5k42n28,2483,55.40807085393544
r1.5k42n28,1770,99.33684660115462
r1.5k42n28,1768,100.94882735462906
