GraphSize,CVcalc,AvgOptsPerMin
r1.5k18n12,1025,711.8471947330715
r1.5k24n16,1293,345.6284049564771
r1.5k18n12,2294,217.1952324083765
r1.5k24n16,1823,242.89494107368301
r1.5k30n20,1527,203.74264025840557
r1.5k18n12,1865,282.7032268517372
r1.5k36n24,2101,75.5372787693328
r1.5k24n16,2702,83.17250035626122
r1.5k18n12,1585,386.66322451375464
r1.5k24n16,2350,148.8024592786948
r1.5k30n20,1559,209.8554946676686
r1.5k18n12,3441,147.46725126519024
r1.5k24n16,4053,27.321740321146745
r1.5k18n12,3441,147.23951442153776
r1.5k24n16,4053,32.29801876592096
r1.5k42n28,2091,53.2025272404062
r1.5k30n20,2502,75.81624163575445
r1.5k36n24,1380,87.3341082269483
r1.5k18n12,6308,68.27531534437372
r1.5k18n12,6308,67.87296351581418
r1.5k24n16,7430,8.660992332472153
r1.5k24n16,3377,49.43473100229767
r1.5k18n12,12330,63.71373083452638
r1.5k30n20,3753,13.947268148705131
r1.5k18n12,12330,66.10102533556575
r1.5k24n16,5741,12.340447981114393
r1.5k24n16,3039,69.36235928560548
r1.5k36n24,1249,96.67890433219277
r1.5k18n12,24517,65.77009193395479
r1.5k18n12,24517,71.69562537812783
r1.5k24n16,6585,9.44801853606101
r1.5k30n20,6880,2.8682298053018007
r1.5k24n16,3208,58.27472385056493
r1.5k30n20,3127,20.18249380361206
r1.5k18n12,48962,60.90581548757467
r1.5k18n12,48962,67.43827975256134
r1.5k42n28,2495,43.40424304273832
r1.5k24n16,6163,11.565977759693778
r1.5k24n16,3292,58.246117277181895
r1.5k30n20,5316,4.131817347244368
r1.5k36n24,3151,33.00492762478563
r1.5k30n20,2814,34.37373118545234
r1.5k18n12,97889,64.56776616941866
r1.5k18n12,97889,65.24501508159543
r1.5k24n16,6374,11.277243012153033
r1.5k24n16,3334,47.424178670644054
r1.5k36n24,3151,30.94143300990075
r1.5k18n12,195760,66.0144583321383
r1.5k30n20,4534,5.5465801470496725
r1.5k18n12,195760,68.95929057053806
r1.5k30n20,2658,56.13820100729125
r1.5k24n16,6479,11.661964514665062
r1.5k36n24,5777,4.048607702709224
r1.5k24n16,3313,56.0662357042562
r1.5k18n12,391512,62.18193752643033
r1.5k18n12,391512,67.8055218374504
r1.5k30n20,4143,6.196069468165371
r1.5k30n20,2736,50.842685250899294
r1.5k24n16,6532,10.382965271308493
r1.5k42n28,1052,64.3722911356715
r1.5k18n12,4874,65.69409771681548
r1.5k42n28,1485,49.27911379370008
r1.5k24n16,3323,49.25681609920483
r1.5k36n24,2626,51.23744449576346
r1.5k18n12,783020,65.11113541734693
r1.5k18n12,783020,73.06379301481216
r1.5k36n24,4464,5.7077995723994945
r1.5k30n20,3948,8.791154003820612
r1.5k18n12,4157,95.19615796514844
r1.5k24n16,6558,10.13226111873525
r1.5k30n20,2775,61.34237570308742
r1.5k24n16,3318,54.67723114634494
r1.5k24n16,2526,114.46619245649613
r1.5k18n12,3799,123.22616704100048
r1.5k36n24,2888,39.253731182632066
r1.5k30n20,3850,10.450311161027189
r1.5k30n20,2030,120.80777372923168
r1.5k30n20,2794,50.626942283744306
r1.5k24n16,2614,95.75367075517823
r1.5k36n24,3807,13.589505197774518
r1.5k18n12,3978,106.21724920937713
r1.5k42n28,3742,13.71394558640139
r1.5k30n20,3899,8.932706146054134
r1.5k30n20,2266,90.20662402659092
r1.5k30n20,2804,54.80207488535351
r1.5k24n16,2570,111.01359379633425
r1.5k42n28,1788,50.968976021104986
r1.5k36n24,624,91.84436947836097
r1.5k36n24,2757,46.52872463657648
r1.5k36n24,4135,9.689402616354036
r1.5k24n16,2592,95.8132220706731
r1.5k30n20,3874,9.577037090503389
r1.5k30n20,2148,91.87124831829277
r1.5k30n20,2809,58.53585440793736
r1.5k36n24,312,88.76991538931222
r1.5k36n24,2691,43.5607204228004
r1.5k30n20,2089,126.1162739939235
r1.5k30n20,2811,54.437010633853866
r1.5k36n24,3971,11.551633975309908
r1.5k42n28,526,45.405761779695496
r1.5k42n28,6861,3.1570052401013067
r1.5k42n28,1636,51.14304646666561
r1.5k30n20,2118,112.8079205838824
r1.5k36n24,156,94.88057271133155
r1.5k36n24,2658,46.49874896155488
r1.5k36n24,4053,9.003706980793629
r1.5k30n20,2133,123.05522564866003
r1.5k36n24,78,149.82818405017161
r1.5k36n24,2642,53.69821911320203
r1.5k36n24,4012,9.809841862988074
r1.5k42n28,5301,4.56400354663134
r1.5k42n28,263,39.48665535107473
r1.5k42n28,1560,53.65955723015859
r1.5k36n24,117,133.43032722004085
r1.5k36n24,2650,52.24491695358714
r1.5k36n24,3991,13.69482890880731
r1.5k36n24,136,130.44368949841424
r1.5k36n24,2654,51.863973654861425
r1.5k42n28,4521,7.549594036124056
r1.5k42n28,131,42.95547137609808
r1.5k42n28,1522,59.144378427199946
r1.5k36n24,146,128.9281603645662
r1.5k42n28,4131,11.377528273406678
r1.5k42n28,1503,65.88404830204676
r1.5k42n28,65,54.698597038746676
r1.5k42n28,4326,9.111903236341075
r1.5k42n28,1494,62.55487069567022
r1.5k42n28,32,54.324644642811016
r1.5k42n28,4228,12.661355206977417
r1.5k42n28,1489,61.45257609953315
r1.5k42n28,16,54.49787752359307
r1.5k42n28,4277,5.787029447999373
r1.5k42n28,1487,62.007966936881886
r1.5k42n28,8,53.42347161356836
r1.5k42n28,4252,9.429834065804368
r1.5k42n28,1486,64.66130842671797
r1.5k42n28,4,54.2938422704177
r1.5k42n28,2,53.411677748151476
