GraphSize,CVcalc,AvgOptsPerMin
r1.5k18n12,1673,586.8396013245764
r1.5k24n16,2164,279.54961932509576
r1.5k18n12,2265,445.2839733038357
r1.5k30n20,2392,134.0558295440814
r1.5k18n12,2565,327.19875169508
r1.5k36n24,2504,65.48895119657374
r1.5k24n16,2829,247.1166217029479
r1.5k18n12,1507,673.1874405283653
r1.5k30n20,1640,148.4700822863892
r1.5k24n16,1113,322.0632714370703
r1.5k24n16,2696,217.77906797292013
r1.5k42n28,2654,33.42013216978019
r1.5k30n20,1890,141.0828184605769
r1.5k36n24,1015,81.7531232826897
r1.5k24n16,4243,188.6566416591746
r1.5k24n16,4243,155.31705486402393
r1.5k30n20,3588,116.28304066487553
r1.5k24n16,7779,20.157398214307502
r1.5k24n16,7779,15.992253983632969
r1.5k36n24,2814,74.21163496752945
r1.5k30n20,6578,73.12448621235299
r1.5k24n16,6011,66.97513256508427
r1.5k42n28,2575,35.74506069992508
r1.5k36n24,4221,66.06325301547591
r1.5k30n20,12857,3.8389164348344025
r1.5k24n16,6895,28.913376386152585
r1.5k30n20,9867,21.29749692269584
r1.5k24n16,6453,51.41938337313578
r1.5k30n20,9717,34.25946082883807
r1.5k36n24,4221,46.72032960985257
r1.5k30n20,8222,47.85099830468245
r1.5k36n24,7738,45.15147404007552
r1.5k24n16,6674,44.589517023244426
r1.5k30n20,11287,13.436645557905194
r1.5k30n20,7400,59.2983389413551
r1.5k24n16,6563,47.89992489486847
r1.5k36n24,3517,58.52878620658881
r1.5k42n28,2214,36.43064125650709
r1.5k36n24,15125,7.8632021635037574
r1.5k30n20,12072,5.146472839710233
r1.5k30n20,7811,51.022675037798074
r1.5k24n16,6508,50.20697798090537
r1.5k24n16,5127,119.97882985807266
r1.5k30n20,11679,9.336112483724364
r1.5k36n24,3869,55.073592072597435
r1.5k24n16,6535,49.292636607999796
r1.5k42n28,1085,35.862699716788036
r1.5k36n24,11431,24.754754759241987
r1.5k30n20,8016,49.63276748514022
r1.5k24n16,5569,93.51734692139289
r1.5k30n20,5083,83.88241478994912
r1.5k30n20,11483,10.341268403984326
r1.5k24n16,5348,108.46771009376718
r1.5k42n28,3981,37.067703179644255
r1.5k30n20,7913,52.21318782033707
r1.5k36n24,4045,57.706974550118204
r1.5k30n20,4335,94.37718256276827
r1.5k36n24,13278,10.629614309199642
r1.5k30n20,11581,10.351668971860434
r1.5k36n24,507,84.95235680336522
r1.5k24n16,5458,102.09963593722473
r1.5k30n20,7964,52.51455240478133
r1.5k30n20,3961,99.08611298981357
r1.5k24n16,5513,96.54918334141834
r1.5k36n24,4133,54.649136065065576
r1.5k42n28,542,36.916418983045126
r1.5k36n24,14201,9.159840449573332
r1.5k30n20,7990,48.79506024467298
r1.5k36n24,253,74.84416212071761
r1.5k30n20,3774,108.33481715392304
r1.5k24n16,5485,103.26404629608571
r1.5k42n28,7298,29.85388584395729
r1.5k30n20,7977,52.14759115566422
r1.5k36n24,4177,51.45668018388835
r1.5k30n20,3867,112.34304104496478
r1.5k42n28,542,42.6343739222269
r1.5k36n24,13739,9.103421070990667
r1.5k36n24,126,72.77652706137405
r1.5k30n20,3914,122.70584725361223
r1.5k42n28,271,38.197476703859685
r1.5k36n24,4199,54.92616831917256
r1.5k36n24,13508,11.598442189888273
r1.5k36n24,63,80.02199182424931
r1.5k42n28,14265,10.24544476615135
r1.5k42n28,271,40.646633763841386
r1.5k36n24,4210,58.863940674620395
r1.5k36n24,13623,10.156797177810066
r1.5k36n24,31,64.34390480835944
r1.5k42n28,135,35.28335512002009
r1.5k36n24,4215,61.98677463023692
r1.5k42n28,28364,1.249713330527698
r1.5k36n24,15,47.92698330547968
r1.5k42n28,135,39.769172307353756
r1.5k36n24,7,71.31587264370077
r1.5k42n28,67,31.138393482115212
r1.5k42n28,21314,3.9116056130641494
r1.5k42n28,67,42.82557049233372
r1.5k42n28,17789,5.790871932596049
r1.5k42n28,33,31.909800907665737
r1.5k42n28,33,43.30984745315115
r1.5k42n28,16027,6.952884799430278
r1.5k42n28,16,30.529905126830368
r1.5k42n28,16,42.563217995887115
r1.5k42n28,15146,8.584022832516805
r1.5k42n28,8,32.98089006923321
r1.5k42n28,8,44.106296442619126
r1.5k42n28,14705,9.740403906494334
r1.5k42n28,4,31.240599605065533
r1.5k42n28,4,44.20276066814006
r1.5k42n28,2,36.490411505770815
r1.5k42n28,2,45.46941871981053
