GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k18n12,1069,511.5346342890638,10
r1.5k24n16,2283,61.13147740288186,10
r1.5k30n20,2015,119.37946387839304,10
r1.5k36n24,1516,77.32006188150629,10
r1.5k18n12,1583,195.22108081302926,10
r1.5k42n28,1480,50.92638851079949,10
r1.5k24n16,2557,40.1392421415444,10
r1.5k30n20,2403,77.72442351369257,10
r1.5k18n12,1969,71.5476187672537,10
r1.5k36n24,1623,81.7614429721403,10
r1.5k24n16,1168,349.2149369915038,10
r1.5k30n20,2894,41.615062754914376,10
r1.5k42n28,1141,45.13170964769255,10
r1.5k18n12,2953,16.78252850004776,10
r1.5k36n24,1990,77.37884320035349,10
r1.5k24n16,3835,6.06091075095405,10
r1.5k30n20,4341,8.96888917441798,10
r1.5k18n12,5414,0.23980708604559026,10
r1.5k42n28,2072,40.98384112619654,10
r1.5k24n16,3196,15.463892059478848,10
r1.5k36n24,2985,44.15844207584503,10
r1.5k30n20,3617,21.340451905008628,10
r1.5k18n12,4183,1.1210505062965426,10
r1.5k24n16,3515,7.963635982570429,10
r1.5k36n24,5472,0.6407418496321065,10
r1.5k42n28,3108,19.998528592613795,10
r1.5k30n20,3979,14.844324478022878,10
r1.5k18n12,3568,4.827322677465824,10
r1.5k24n16,3355,11.704042382368675,10
r1.5k36n24,4228,1.4950782905699338,10
r1.5k30n20,4160,6.224199401852412,10
r1.5k18n12,3260,8.045230401650524,10
r1.5k42n28,5698,0.8055487298002953,10
r1.5k24n16,3435,9.49938595174132,10
r1.5k30n20,4069,12.787657206113233,10
r1.5k18n12,3106,10.493537787879896,10
r1.5k36n24,3606,21.18298086634362,10
r1.5k24n16,3395,8.020871525700773,10
r1.5k42n28,4403,8.383722611461087,10
r1.5k18n12,3183,9.936808016502072,10
r1.5k30n20,4114,14.86324543794151,10
r1.5k36n24,3917,6.2907079009648745,10
r1.5k24n16,3375,11.946947953983429,10
r1.5k18n12,3144,9.087409440300316,10
r1.5k30n20,4137,10.811993863724926,10
r1.5k36n24,3761,10.683891795770696,10
r1.5k24n16,3385,8.55440552724794,10
r1.5k42n28,3755,11.37487263086524,10
r1.5k18n12,3125,9.042417841926918,10
r1.5k30n20,4148,10.260639063796097,10
r1.5k24n16,3380,10.095302452303573,10
r1.5k36n24,3839,14.703801114606605,10
r1.5k42n28,4079,10.905406891485237,10
r1.5k30n20,4154,10.430301272361259,10
r1.5k36n24,3878,9.145614215262043,10
r1.5k42n28,4241,2.7739624442729793,10
r1.5k36n24,3858,14.831387809292846,10
r1.5k42n28,4160,4.265899380978339,10
r1.5k42n28,4119,2.4799320634455055,10
r1.5k18n12,1325,312.7537375641772,50
r1.5k24n16,1478,242.0633886933712,50
r1.5k30n20,1212,175.56225184474278,50
r1.5k18n12,1038,546.7984491514055,50
r1.5k36n24,1637,96.4678484985597,50
r1.5k24n16,2635,41.10722180574653,50
r1.5k42n28,4099,10.07323097525506,10
r1.5k42n28,1174,49.51670395638459,50
r1.5k30n20,2381,87.75898757716413,50
r1.5k18n12,1203,415.1309065771372,50
r1.5k24n16,1054,360.24751221751404,50
r1.5k36n24,1618,98.09349387079538,50
r1.5k18n12,1987,73.58365856040044,50
r1.5k42n28,2429,39.47715123294134,50
r1.5k30n20,2042,117.61696697913503,50
r1.5k24n16,2056,116.85548195352635,50
r1.5k36n24,1839,92.38948887421259,50
r1.5k18n12,3643,3.414139975164418,50
r1.5k30n20,3571,21.35064372097673,50
r1.5k24n16,2345,62.11976045019588,50
r1.5k42n28,2781,32.93119488180216,50
r1.5k36n24,2758,62.58175172950763,50
r1.5k18n12,2815,21.50509215720204,50
r1.5k30n20,2976,43.140485906074865,50
r1.5k24n16,2490,47.01508402947721,50
r1.5k36n24,5057,1.6311822013504316,50
r1.5k18n12,2401,49.17676275179504,50
r1.5k42n28,587,46.75032010825297,50
r1.5k30n20,2678,68.99457001234217,50
r1.5k24n16,2417,52.29762807741501,50
r1.5k18n12,2194,61.15548302914708,50
r1.5k36n24,3907,3.9817194439974215,50
r1.5k30n20,2827,53.38553493069763,50
r1.5k24n16,2453,46.36400749714704,50
r1.5k42n28,293,45.456184244322884,50
r1.5k18n12,2297,51.86450837537674,50
r1.5k36n24,3332,35.50610906184427,50
r1.5k24n16,2435,47.93167099445406,50
r1.5k30n20,2901,51.705128112621914,50
r1.5k18n12,2349,43.67753345888165,50
r1.5k42n28,146,49.1727426839533,50
r1.5k24n16,2426,48.05340618832934,50
r1.5k30n20,2938,49.00655520572825,50
r1.5k36n24,3045,50.02856339171733,50
r1.5k18n12,2323,39.327890950760676,50
r1.5k24n16,2421,52.03399915690875,50
r1.5k30n20,2919,50.17863765772321,50
r1.5k36n24,3188,40.48404522748604,50
r1.5k42n28,73,61.72320564872565,50
r1.5k18n12,2310,56.08082219707387,50
r1.5k24n16,2423,54.30147166419895,50
r1.5k30n20,2928,45.44712550053522,50
r1.5k36n24,3116,37.165919169562315,50
r1.5k42n28,109,57.17164502317801,50
r1.5k30n20,2923,51.24980596230624,50
r1.5k36n24,3080,43.713532681539434,50
r1.5k42n28,127,52.15365303622961,50
r1.5k36n24,3062,50.834927222085064,50
r1.5k42n28,136,48.9149270231996,50
r1.5k42n28,131,47.515656741966346,50
r1.5k18n12,2929,15.03431345335326,100
r1.5k24n16,2859,28.774097974780013,100
r1.5k30n20,1798,131.8595026254167,100
r1.5k18n12,2058,76.40785615852471,100
r1.5k36n24,1443,84.22451491980003,100
r1.5k42n28,129,49.58296022896343,50
r1.5k24n16,1085,344.34597031954536,100
r1.5k42n28,1526,36.98400975130569,100
r1.5k30n20,1947,132.00961804697494,100
r1.5k18n12,1676,168.3982135510797,100
r1.5k36n24,1647,81.03699274571636,100
r1.5k24n16,2297,56.721067110788645,100
r1.5k30n20,1682,151.7093618183927,100
r1.5k18n12,1867,79.81297550621778,100
r1.5k42n28,1194,38.86877610174779,100
r1.5k36n24,2565,57.419579883730265,100
r1.5k24n16,1691,187.19729267198323,100
r1.5k30n20,2920,49.76513360772801,100
r1.5k18n12,1771,111.16732674748764,100
r1.5k24n16,1994,120.46603710330919,100
r1.5k36n24,721,83.91092443716138,100
r1.5k42n28,1858,39.70611192509745,100
r1.5k30n20,2433,78.38154297140203,100
r1.5k18n12,1819,112.47218803512996,100
r1.5k24n16,2145,73.5208072119287,100
r1.5k36n24,360,79.85808317500829,100
r1.5k30n20,2190,114.90461125012862,100
r1.5k18n12,1843,109.60933321180487,100
r1.5k42n28,597,47.357666022669385,100
r1.5k24n16,2069,106.8798440641679,100
r1.5k18n12,1855,99.01162226666497,100
r1.5k30n20,2311,96.91654489304628,100
r1.5k36n24,180,82.17565462636314,100
r1.5k24n16,2107,104.27790684798904,100
r1.5k42n28,298,52.27235760937608,100
r1.5k18n12,1849,99.06403468529473,100
r1.5k30n20,2250,107.83785089029527,100
r1.5k36n24,90,104.63367154494047,100
r1.5k24n16,2126,96.16972465129547,100
r1.5k18n12,1846,99.06509044103373,100
r1.5k30n20,2280,99.29986573653608,100
r1.5k42n28,149,56.08593408403668,100
r1.5k36n24,135,85.99401895250736,100
r1.5k24n16,2116,74.99626157715139,100
r1.5k18n12,1844,106.65320604106903,100
r1.5k30n20,2265,110.39477125813679,100
r1.5k36n24,112,94.42002677058024,100
r1.5k24n16,2111,89.21255346242052,100
r1.5k42n28,74,72.1043002078241,100
r1.5k18n12,1845,106.2967761285095,100
r1.5k30n20,2272,101.60503926014424,100
r1.5k24n16,2109,99.9263012173057,100
r1.5k36n24,101,99.98192612040005,100
r1.5k30n20,2276,107.30625037743468,100
r1.5k42n28,37,72.9064981284104,100
r1.5k36n24,95,102.53105296620647,100
r1.5k42n28,18,73.5825243433463,100
r1.5k36n24,98,102.3486389284892,100
r1.5k42n28,9,74.55503591600223,100
r1.5k42n28,4,72.48817497859008,100
r1.5k42n28,2,74.25499312686834,100
