GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k18n12,1840,585.1531894604907,10
r1.5k24n16,1038,315.05920295715686,10
r1.5k30n20,1154,115.87715175525014,10
r1.5k36n24,2729,54.02210093917656,10
r1.5k18n12,2466,283.6611351556051,10
r1.5k24n16,1849,282.585074637168,10
r1.5k42n28,2079,31.13960765142706,10
r1.5k30n20,2811,104.96847007753084,10
r1.5k18n12,2884,205.50413764052237,10
r1.5k36n24,2000,57.90984893161628,10
r1.5k24n16,2564,242.88617738127658,10
r1.5k30n20,2836,103.23286979553066,10
r1.5k42n28,1914,31.374587584204484,10
r1.5k24n16,3846,188.73468052206857,10
r1.5k36n24,1678,61.34276534935202,10
r1.5k30n20,4254,86.0713714125292,10
r1.5k24n16,7051,39.946254177224354,10
r1.5k36n24,4093,48.942543945918416,10
r1.5k42n28,2895,28.87227771244552,10
r1.5k30n20,7799,64.2263408598595,10
r1.5k36n24,7504,36.15622378914884,10
r1.5k30n20,15243,0.5611754488804856,10
r1.5k42n28,4342,26.89640328564392,10
r1.5k36n24,14668,9.822293662712065,10
r1.5k30n20,11521,10.542862490567972,10
r1.5k42n28,7961,22.66527388558748,10
r1.5k30n20,13382,1.0514642461228034,10
r1.5k36n24,11086,26.05939126799935,10
r1.5k30n20,12451,7.11089896663716,10
r1.5k42n28,15560,10.46078571067721,10
r1.5k36n24,12877,12.925955133414138,10
r1.5k30n20,11986,6.982973330813982,10
r1.5k36n24,13772,10.951623346883249,10
r1.5k42n28,30940,0.5230153930247783,10
r1.5k30n20,11753,6.480602843052798,10
r1.5k36n24,14220,7.575089364694939,10
r1.5k30n20,11637,11.682273224707453,10
r1.5k42n28,23250,3.7620526864142896,10
r1.5k36n24,13996,8.126921814774636,10
r1.5k42n28,19405,6.635305249980294,10
r1.5k36n24,13884,10.865967960642255,10
r1.5k42n28,17482,8.192863167472257,10
r1.5k18n12,2017,514.5808870027694,50
r1.5k24n16,1892,286.47472100729647,50
r1.5k30n20,1317,118.91656609441384,50
r1.5k36n24,2672,48.464911552856,50
