GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k18n12,1957,172.95128584475177,10
r1.5k24n16,2796,64.52760004725074,10
r1.5k30n20,1136,228.98705556397312,10
r1.5k36n24,1066,75.72794686427713,10
r1.5k18n12,1147,696.2469823380536,10
r1.5k42n28,1894,45.1639458537115,10
r1.5k24n16,1059,554.9859760943417,10
r1.5k30n20,2967,40.58171990177756,10
r1.5k36n24,2545,54.046217863113455,10
r1.5k18n12,1180,665.8071090651407,10
r1.5k24n16,1515,367.0065018828937,10
r1.5k30n20,2724,59.04272858347868,10
r1.5k42n28,2667,33.139188604289814,10
r1.5k36n24,1115,97.39458772427795,10
r1.5k18n12,2935,110.33982606994407,10
r1.5k24n16,4194,15.360326274695058,10
r1.5k30n20,4450,7.974272211040147,10
r1.5k18n12,5381,36.63387517116538,10
r1.5k42n28,2032,41.99920699053133,10
r1.5k36n24,3817,6.3671935283801515,10
r1.5k24n16,7689,9.291068639021962,10
r1.5k30n20,3708,26.19023838462899,10
r1.5k18n12,10518,38.00719240394319,10
r1.5k24n16,5941,10.144925266840977,10
r1.5k36n24,3181,21.581415054844236,10
r1.5k42n28,4000,11.473656892009538,10
r1.5k30n20,4079,12.596187451473334,10
r1.5k18n12,20915,34.88061881933562,10
r1.5k24n16,6815,9.984591522764779,10
r1.5k36n24,3499,16.534661670917437,10
r1.5k30n20,4264,13.169427324703449,10
r1.5k18n12,41769,35.03629772767183,10
r1.5k42n28,7334,0.5214197459138165,10
r1.5k24n16,6378,10.627738697563561,10
r1.5k36n24,3658,15.29622295418755,10
r1.5k30n20,4357,12.738355198139413,10
r1.5k18n12,83508,34.75822152581334,10
r1.5k24n16,6596,10.281696298867478,10
r1.5k42n28,5667,0.8892863939441435,10
r1.5k30n20,4403,7.223569775603191,10
r1.5k36n24,3737,6.5882931147432044,10
r1.5k18n12,167002,34.79697799641413,10
r1.5k24n16,6705,10.386748888542263,10
r1.5k30n20,4380,8.190836240575127,10
r1.5k18n12,333997,38.52852228023244,10
r1.5k36n24,3697,4.327301306105555,10
r1.5k24n16,6760,8.936524373858948,10
r1.5k42n28,4833,2.9705439789948658,10
r1.5k30n20,4368,13.431146764276189,10
r1.5k18n12,667990,30.700792345611585,10
r1.5k24n16,6732,11.009939827153826,10
r1.5k36n24,3677,15.37956837370641,10
r1.5k42n28,4416,4.807492302275393,10
r1.5k30n20,4374,11.161718435396798,10
r1.5k36n24,3687,11.233438683995558,10
r1.5k42n28,4208,9.1958213066224,10
r1.5k36n24,3692,10.784696764674425,10
r1.5k42n28,4104,5.461224611545959,10
r1.5k18n12,1234,544.236269105179,50
r1.5k24n16,1455,355.551012067055,50
r1.5k30n20,2206,107.73239792278704,50
r1.5k18n12,1755,233.22479406108542,50
r1.5k42n28,4052,3.9613635441352217,10
r1.5k36n24,1818,78.79851646041718,50
r1.5k24n16,2775,60.50975413852584,50
r1.5k30n20,2778,57.60858361069942,50
r1.5k42n28,2885,34.07617315208144,50
r1.5k18n12,1968,180.74022941853985,50
r1.5k36n24,1576,80.58546992617555,50
r1.5k42n28,4026,9.143821783475026,10
r1.5k24n16,2419,109.71950683838763,50
r1.5k30n20,1499,191.81756018949397,50
r1.5k18n12,2952,105.10193293922141,50
r1.5k42n28,1408,50.723253662903474,50
r1.5k24n16,4162,15.734688868315635,50
r1.5k36n24,1977,70.81976185390779,50
r1.5k30n20,4167,16.475143569279233,50
r1.5k18n12,5412,26.850773453779993,50
r1.5k24n16,3468,26.869977846707947,50
r1.5k36n24,2965,28.717288452359945,50
r1.5k18n12,4182,50.060331321962735,50
r1.5k30n20,3472,26.30091599165663,50
r1.5k42n28,2842,30.933524953135482,50
r1.5k24n16,3121,37.86189700893493,50
r1.5k18n12,4797,32.32810708056813,50
r1.5k30n20,3125,48.30704590719905,50
r1.5k36n24,2471,47.138119078142815,50
r1.5k42n28,2125,42.3674594992651,50
r1.5k24n16,2948,46.198860977030776,50
r1.5k18n12,4489,43.68792207010091,50
r1.5k30n20,2951,43.77643580919239,50
r1.5k36n24,2224,57.49024654000088,50
r1.5k24n16,2861,48.451720874272254,50
r1.5k18n12,4335,47.461433320145616,50
r1.5k42n28,1766,46.39999094042261,50
r1.5k30n20,2864,45.87215913214104,50
r1.5k36n24,2347,63.67205236057644,50
r1.5k24n16,2818,48.07638858258201,50
r1.5k18n12,4258,50.681377880700495,50
r1.5k30n20,2821,47.908467004197114,50
r1.5k42n28,1587,52.58268350249487,50
r1.5k24n16,2796,64.95521261030294,50
r1.5k36n24,2409,55.78778429507728,50
r1.5k18n12,4296,48.17846367578274,50
r1.5k30n20,2799,46.629912226354406,50
r1.5k24n16,2807,55.83831013806658,50
r1.5k36n24,2440,52.15887671816328,50
r1.5k18n12,4277,45.944366681570024,50
r1.5k42n28,1676,46.842949468652286,50
r1.5k30n20,2788,52.887076357605224,50
r1.5k24n16,2812,54.13271610911694,50
r1.5k36n24,2455,59.250274025330576,50
r1.5k30n20,2793,44.46810362352199,50
r1.5k42n28,1631,54.20898328105136,50
r1.5k36n24,2463,60.336256410394334,50
r1.5k42n28,1653,47.194176997058875,50
r1.5k36n24,2467,53.39212833503473,50
r1.5k42n28,1642,50.16332310670131,50
r1.5k18n12,1606,289.23659345531996,100
r1.5k42n28,1647,48.540559775834325,50
r1.5k24n16,2533,80.68417528524745,100
r1.5k30n20,1748,136.70360908789354,100
r1.5k18n12,1078,754.8859598611701,100
r1.5k36n24,1979,92.16082035549952,100
r1.5k24n16,1983,173.21816193169656,100
r1.5k30n20,2105,109.29753245949937,100
r1.5k42n28,1644,49.830214478167704,50
r1.5k42n28,2117,40.96335345319927,100
r1.5k18n12,1161,638.196770154363,100
r1.5k24n16,2613,65.09530057830908,100
r1.5k36n24,1975,94.16123152365986,100
r1.5k30n20,2341,64.08745511566123,100
r1.5k18n12,2409,119.5537663483606,100
r1.5k24n16,2258,119.9997204646864,100
r1.5k42n28,1909,46.715994297596126,100
r1.5k36n24,1726,102.97586695240477,100
r1.5k30n20,2223,105.5170871645477,100
r1.5k18n12,4416,36.6466089599583,100
r1.5k24n16,2395,110.8128334209189,100
r1.5k36n24,1850,102.39405607324419,100
r1.5k30n20,2282,93.34002060181356,100
r1.5k18n12,3412,76.83007590049085,100
r1.5k42n28,1132,53.64743973455228,100
r1.5k24n16,2464,81.0826487954289,100
r1.5k30n20,2252,84.10910118896834,100
r1.5k18n12,2910,96.80769392583072,100
r1.5k36n24,1912,99.39489880917266,100
r1.5k24n16,2429,84.88071922704258,100
r1.5k42n28,566,48.10776715667758,100
r1.5k18n12,2659,131.01956453834197,100
r1.5k30n20,2237,97.45491811237915,100
r1.5k36n24,1881,98.05063433793764,100
r1.5k24n16,2412,88.60374601079863,100
r1.5k18n12,2784,123.6168819742059,100
r1.5k30n20,2230,99.63294874814542,100
r1.5k42n28,283,52.848310241738524,100
r1.5k36n24,1865,96.16865623285153,100
r1.5k24n16,2403,109.12794572428159,100
r1.5k18n12,2847,102.15396043107697,100
r1.5k30n20,2226,94.1845435018291,100
r1.5k24n16,2407,97.98677558734799,100
r1.5k36n24,1857,101.05734698605318,100
r1.5k42n28,141,51.447567227674334,100
r1.5k18n12,2878,102.55338054321423,100
r1.5k30n20,2224,97.75444092803677,100
r1.5k24n16,2405,98.2924286678914,100
r1.5k36n24,1861,100.37767837989013,100
r1.5k18n12,2894,94.6796315268009,100
r1.5k30n20,2223,91.91234646833803,100
r1.5k42n28,70,47.210754491880905,100
r1.5k24n16,2404,100.88071926295564,100
r1.5k36n24,1863,100.42620186008733,100
r1.5k30n20,2223,94.08726577905148,100
r1.5k42n28,35,55.55232033953869,100
r1.5k36n24,1864,100.0172775058513,100
r1.5k42n28,17,48.66136496146286,100
r1.5k36n24,1864,99.97915732211901,100
r1.5k42n28,8,52.81792700530237,100
r1.5k42n28,4,51.91103192854486,100
r1.5k42n28,2,49.67556281220487,100
