Index,Data,combo_idx,Nodes,Edges,TotalNodes,TotalEdges,ObjVal,Crossings,EdgeLength,Runtime,Status
1,graficon10nodi/grafo1032.10,14,10,9,10,9,6.0,0,7.5,0.04838371276855469,2
2,graficon10nodi/grafo1098.10,14,10,9,10,9,6.0,0,7.5,0.04863786697387695,2
3,graficon10nodi/grafo1126.10,14,10,9,10,9,6.0,0,7.5,0.05686497688293457,2
4,graficon10nodi/grafo1137.10,14,10,9,10,9,10.0,0,5.5,0.16010141372680664,2
5,graficon10nodi/grafo1643.10,14,10,9,10,9,4.0,0,7.5,0.03641843795776367,2
6,graficon10nodi/grafo2538.10,14,10,10,10,10,4.0,0,10.5,0.039527177810668945,2
7,graficon10nodi/grafo376.10,14,10,9,10,9,6.0,0,7.5,0.04899334907531738,2
8,graficon10nodi/grafo407.10,14,10,9,10,9,6.0,0,7.5,0.040685176849365234,2
9,graficon10nodi/grafo460.10,14,10,9,10,9,6.0,0,7.5,0.049359798431396484,2
10,graficon10nodi/grafo554.10,14,10,9,10,9,6.0,0,7.5,0.0422515869140625,2
11,graficon10nodi/grafo613.10,14,10,9,10,9,6.0,0,7.5,0.04627037048339844,2
12,graficon10nodi/grafo633.10,14,10,9,10,9,6.0,0,7.5,0.04015469551086426,2
13,graficon10nodi/grafo782.10,14,10,9,10,9,6.0,0,7.5,0.039521217346191406,2
14,graficon10nodi/grafo881.10,14,10,9,10,9,8.0,0,6.0,0.07078051567077637,2
15,graficon10nodi/grafo898.10,14,10,9,10,9,6.0,0,7.5,0.052196502685546875,2
16,graficon10nodi/grafo910.10,14,10,9,10,9,6.0,0,7.5,0.04879403114318848,2
17,graficon11nodi/grafo1084.11,14,11,10,11,10,4.0,0,4.5,0.034600257873535156,2
18,graficon11nodi/grafo1117.11,14,11,10,11,10,10.0,0,10.5,0.08669543266296387,2
19,graficon11nodi/grafo2110.11,14,11,11,11,11,15.0,1,14.00000000000002,3.5911478996276855,2
20,graficon11nodi/grafo222.11,14,11,10,11,10,6.0,0,7.5,0.040427446365356445,2
21,graficon11nodi/grafo246.11,14,11,10,11,10,8.0,0,6.0,0.04783749580383301,2
22,graficon11nodi/grafo303.11,14,11,10,11,10,12.0,0,12.0,0.07758474349975586,2
23,graficon11nodi/grafo408.11,14,11,10,11,10,18.0,0,12.0,4.22067928314209,2
24,graficon11nodi/grafo676.11,14,11,10,11,10,12.0,0,10.99999999999999,1.5140113830566406,2
25,graficon11nodi/grafo927.11,14,11,10,11,10,12.0,0,8.0,0.13572907447814941,2
26,graficon11nodi/grafo937.11,14,11,10,11,10,16.0,0,8.999999999999982,4.003466606140137,2
27,graficon10nodi/grafo1010.10,14,10,10,12,12,16.0,0,20.0,4.778236150741577,2
28,graficon10nodi/grafo1070.10,14,10,10,12,12,7.0,0,18.0,0.05448746681213379,2
29,graficon10nodi/grafo1071.10,14,10,10,12,12,10.0,0,16.0,0.12453174591064453,2
30,graficon10nodi/grafo1120.10,14,10,10,12,12,7.0,0,18.0,0.06501388549804688,2
31,graficon10nodi/grafo1123.10,14,10,10,12,12,10.0,0,16.0,0.11905550956726074,2
32,graficon10nodi/grafo1164.10,14,10,10,12,12,7.0,0,18.0,0.04579281806945801,2
33,graficon10nodi/grafo155.10,14,10,10,12,12,7.0,0,18.0,0.05869722366333008,2
34,graficon10nodi/grafo1857.10,14,10,12,12,14,13.0,0,15.0,2.394719362258911,2
35,graficon10nodi/grafo209.10,14,10,10,12,12,7.0,0,18.0,0.060192108154296875,2
36,graficon10nodi/grafo210.10,14,10,10,12,12,10.0,0,16.0,0.08120417594909668,2
37,graficon10nodi/grafo2511.10,14,10,10,12,12,14.0,0,24.000000000000004,2.59587025642395,2
38,graficon10nodi/grafo257.10,14,10,10,12,12,6.0,0,7.5,0.04608511924743652,2
39,graficon10nodi/grafo265.10,14,10,12,12,14,15.0,1,24.0,2.0037639141082764,2
40,graficon10nodi/grafo3024.10,14,10,10,12,12,8.0,0,9.5,0.06259369850158691,2
41,graficon10nodi/grafo327.10,14,10,10,12,12,7.0,0,18.0,0.05146312713623047,2
42,graficon10nodi/grafo328.10,14,10,10,12,12,10.0,0,16.0,0.09682774543762207,2
43,graficon10nodi/grafo402.10,14,10,10,12,12,7.0,0,18.0,0.06096673011779785,2
44,graficon10nodi/grafo461.10,14,10,10,12,12,7.0,0,18.0,0.053642988204956055,2
45,graficon10nodi/grafo462.10,14,10,10,12,12,10.0,0,16.0,0.12272214889526367,2
