Index,Data,combo_idx,ComboIdx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
1,graph_5_0,3,3,5,5,0.0,1,2,0.0037055015563964844,2
2,graph_5_1,3,3,5,5,0.0,0,2,0.0006957054138183594,2
3,graph_5_2,3,3,5,6,0.0,0,3,0.00039196014404296875,2
4,graph_5_3,3,3,5,5,1.0,1,2,0.0010004043579101562,2
5,graph_5_4,3,3,5,6,0.0,0,5,0.0004911422729492188,2
6,graph_5_5,3,3,5,5,0.0,0,2,0.0009198188781738281,2
7,graph_5_6,3,3,5,6,0.0,0,5,0.0010230541229248047,2
8,graph_5_7,3,3,5,6,0.0,0,5,0.0014734268188476562,2
9,graph_5_8,3,3,5,6,0.0,0,4,0.0004334449768066406,2
10,graph_5_9,3,3,5,6,0.0,0,9,0.0006103515625,2
11,graph_5_10,3,3,5,6,0.0,2,6,0.001018524169921875,2
12,graph_5_11,3,3,5,5,0.0,1,4,0.0012106895446777344,2
13,graph_5_12,3,3,5,5,0.0,0,6,0.000453948974609375,2
14,graph_5_13,3,3,5,6,0.0,0,2,0.0007412433624267578,2
15,graph_5_14,3,3,5,6,0.0,0,7,0.0006411075592041016,2
16,graph_5_15,3,3,5,6,0.0,0,2,0.00070953369140625,2
17,graph_5_16,3,3,5,6,0.0,0,5,0.0010726451873779297,2
18,graph_5_17,3,3,5,6,0.0,0,5,0.0010542869567871094,2
19,graph_5_18,3,3,5,6,0.0,0,2,0.0006711483001708984,2
20,graph_5_19,3,3,5,6,0.0,0,4,0.0004379749298095703,2
21,graph_5_20,3,3,5,6,0.0,0,5,0.0007548332214355469,2
22,graph_5_21,3,3,5,6,0.0,0,3,0.0005292892456054688,2
23,graph_5_22,3,3,5,5,0.0,3,5,0.0033349990844726562,2
24,graph_5_23,3,3,5,7,0.0,0,4,0.0008625984191894531,2
25,graph_5_24,3,3,4,6,0.0,0,5,0.0012192726135253906,2
26,graph_5_25,3,3,5,6,0.0,0,3,0.0005776882171630859,2
27,graph_5_26,3,3,4,5,0.0,0,6,0.0004677772521972656,2
28,graph_5_27,3,3,5,6,0.0,2,7,0.001117706298828125,2
29,graph_5_28,3,3,5,6,0.0,0,4,0.0011219978332519531,2
30,graph_5_29,3,3,4,7,0.0,0,5,0.001062631607055664,2
31,graph_5_30,3,3,5,6,0.0,1,4,0.0006866455078125,2
32,graph_5_31,3,3,5,6,0.0,1,4,0.0011284351348876953,2
