Index,Data,combo_idx,ComboIdx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
1,graph_5_0,24,24,5,5,10.5,1,2.5,0.027249574661254883,2
2,graph_5_1,24,24,5,5,8.0,0,2.0,0.02208709716796875,2
3,graph_5_2,24,24,5,6,8.0,0,3.0,0.020537614822387695,2
4,graph_5_3,24,24,5,5,10.5,1,2.5,0.024255037307739258,2
5,graph_5_4,24,24,5,6,10.0,0,3.0,0.025682926177978516,2
6,graph_5_5,24,24,5,5,8.0,0,2.0,0.021875381469726562,2
7,graph_5_6,24,24,5,6,15.0,0,3.0,0.030820131301879883,2
8,graph_5_7,24,24,5,6,14.0,0,3.0,0.027347564697265625,2
9,graph_5_8,24,24,5,6,10.0,0,3.0,0.025783777236938477,2
10,graph_5_9,24,24,5,6,18.0,0,6.0,0.0371096134185791,2
11,graph_5_10,24,24,5,6,13.0,0,3.0,0.0288546085357666,2
12,graph_5_11,24,24,5,5,17.5,1,3.5,0.03241753578186035,2
13,graph_5_12,24,24,5,5,10.0,0,3.0,0.02373814582824707,2
14,graph_5_13,24,24,5,6,8.0,0,2.0,0.021770954132080078,2
15,graph_5_14,24,24,5,6,18.0,0,6.0,0.0394444465637207,2
16,graph_5_15,24,24,5,6,6.0,0,2.0,0.018693208694458008,2
17,graph_5_16,24,24,5,6,15.0,0,3.0,0.03370380401611328,2
18,graph_5_17,24,24,5,6,14.0,0,3.0,0.027066707611083984,2
19,graph_5_18,24,24,5,6,8.0,0,2.0,0.022071361541748047,2
20,graph_5_19,24,24,5,6,10.0,0,3.0,0.023154497146606445,2
21,graph_5_20,24,24,5,6,15.0,0,3.0,0.030070066452026367,2
22,graph_5_21,24,24,5,6,8.5,0,2.5,0.02142047882080078,2
23,graph_5_22,24,24,5,5,17.5,1,3.5,0.031022071838378906,2
24,graph_5_23,24,24,5,7,12.0,0,3.0,0.02630138397216797,2
25,graph_5_24,24,24,4,6,16.0,0,4.0,0.029364824295043945,2
26,graph_5_25,24,24,5,6,8.5,0,2.5,0.021479368209838867,2
27,graph_5_26,24,24,4,5,12.0,0,4.0,0.02371954917907715,2
28,graph_5_27,24,24,5,6,14.0,0,3.0,0.02698040008544922,2
29,graph_5_28,24,24,5,6,14.0,0,4.0,0.027779102325439453,2
30,graph_5_29,24,24,4,7,14.5,0,4.5,0.030099868774414062,2
31,graph_5_30,24,24,5,6,6.0,0,2.0,0.01867222785949707,2
32,graph_5_31,24,24,5,6,14.0,0,3.0,0.026527881622314453,2
33,graph_5_32,24,24,4,7,14.5,0,4.5,0.027521133422851562,2
34,graph_5_33,24,24,5,9,16.5,0,4.5,0.029566287994384766,2
35,graph_5_34,24,24,5,7,14.5,0,4.5,0.02869129180908203,2
36,graph_5_35,24,24,5,8,20.0,0,5.0,0.03181958198547363,2
37,graph_5_36,24,24,5,7,9.0,0,3.0,0.02059316635131836,2
38,graph_5_37,24,24,5,8,24.0,0,7.999999999999998,0.04157614707946777,2
39,graph_5_38,24,24,5,8,23.0,0,6.0,0.03742814064025879,2
40,graph_5_39,24,24,5,8,20.0,0,5.0,0.03467082977294922,2
41,graph_5_40,24,24,5,9,22.0,0,4.0,0.03700137138366699,2
42,graph_5_41,24,24,5,7,26.0,0,7.0,0.04177498817443848,2
43,graph_5_42,24,24,5,6,17.0,0,4.0,0.026993513107299805,2
44,graph_5_43,24,24,5,7,14.5,0,4.5,0.03280901908874512,2
45,graph_5_44,24,24,5,7,15.5,0,5.5,0.027535200119018555,2
46,graph_5_45,24,24,5,7,26.5,0,6.5,0.0404515266418457,2
47,graph_5_46,24,24,5,6,20.5,0,6.5,0.03514814376831055,2
48,graph_5_47,24,24,5,8,18.5,0,4.5,0.03351616859436035,2
49,graph_5_48,24,24,5,7,16.0,0,4.0,0.02793717384338379,2
50,graph_5_49,24,24,5,7,20.0,0,4.0,0.027727842330932617,2
51,graph_5_50,24,24,5,8,20.0,0,5.0,0.03745102882385254,2
52,graph_5_51,24,24,5,7,14.5,0,4.5,0.030689477920532227,2
53,graph_5_52,24,24,5,7,15.5,0,5.5,0.026265382766723633,2
54,graph_5_53,24,24,5,7,22.0,0,4.0,0.03838324546813965,2
55,graph_5_54,24,24,5,7,17.0,0,4.0,0.030323505401611328,2
56,graph_5_55,24,24,5,6,9.0,0,3.0,0.02041006088256836,2
57,graph_5_56,24,24,5,6,16.0,0,4.0,0.030306100845336914,2
58,graph_5_57,24,24,5,8,20.0,0,5.0,0.03745627403259277,2
59,graph_5_58,24,24,5,8,14.5,0,4.5,0.03159785270690918,2
60,graph_5_59,24,24,5,7,22.0,0,4.0,0.03398728370666504,2
61,graph_5_60,24,24,5,8,23.0,0,6.0,0.03966116905212402,2
62,graph_5_61,24,24,5,7,20.0,0,4.0,0.02704596519470215,2
63,graph_5_62,24,24,5,9,16.5,0,4.5,0.033409833908081055,2
64,graph_5_63,24,24,5,8,18.5,0,4.5,0.03359532356262207,2
65,graph_5_64,24,24,5,7,14.5,0,4.5,0.02775740623474121,2
66,graph_5_65,24,24,5,6,17.0,0,4.0,0.0273129940032959,2
67,graph_5_66,24,24,5,8,20.0,0,5.0,0.03724861145019531,2
68,graph_5_67,24,24,5,8,23.0,0,6.0,0.035951852798461914,2
69,graph_5_68,24,24,5,7,9.0,0,3.0,0.020627498626708984,2
70,graph_5_69,24,24,5,8,11.0,0,3.0,0.022856712341308594,2
71,graph_5_70,24,24,5,7,17.0,0,5.0,0.028206825256347656,2
