Index,Data,combo_idx,Nodes,Edges,TotalNodes,TotalEdges,ObjVal,Crossings,EdgeLength,Runtime,Status
1,graficon10nodi/grafo1032.10,9,10,9,10,9,2.0,0,2.0,0.008756399154663086,2
2,graficon10nodi/grafo1098.10,9,10,9,10,9,2.0,0,2.0,0.007808685302734375,2
3,graficon10nodi/grafo1126.10,9,10,9,10,9,2.0,0,2.0,0.006997823715209961,2
4,graficon10nodi/grafo1137.10,9,10,9,10,9,2.0,0,2.0,0.0067059993743896484,2
5,graficon10nodi/grafo1643.10,9,10,9,10,9,2.0,0,2.0,0.006387233734130859,2
6,graficon10nodi/grafo2538.10,9,10,10,10,10,3.0,0,3.0,0.00722050666809082,2
7,graficon10nodi/grafo376.10,9,10,9,10,9,2.0,0,2.0,0.0068895816802978516,2
8,graficon10nodi/grafo407.10,9,10,9,10,9,2.0,0,2.0,0.006994724273681641,2
9,graficon10nodi/grafo460.10,9,10,9,10,9,2.0,0,2.0,0.007310152053833008,2
10,graficon10nodi/grafo554.10,9,10,9,10,9,2.0,0,2.0,0.007086277008056641,2
11,graficon10nodi/grafo613.10,9,10,9,10,9,2.0,0,2.0,0.007563352584838867,2
12,graficon10nodi/grafo633.10,9,10,9,10,9,2.0,0,2.0,0.007143735885620117,2
13,graficon10nodi/grafo782.10,9,10,9,10,9,2.0,0,2.0,0.0076749324798583984,2
14,graficon10nodi/grafo881.10,9,10,9,10,9,1.0,0,1.0,0.007737398147583008,2
15,graficon10nodi/grafo898.10,9,10,9,10,9,2.0,0,2.0,0.006907224655151367,2
16,graficon10nodi/grafo910.10,9,10,9,10,9,2.0,0,2.0,0.006906032562255859,2
17,graficon11nodi/grafo1084.11,9,11,10,11,10,1.0,0,1.0,0.007811307907104492,2
18,graficon11nodi/grafo1117.11,9,11,10,11,10,2.0,0,2.0,0.02073955535888672,2
19,graficon11nodi/grafo2110.11,9,11,11,11,11,4.0,1,4.0,0.020054101943969727,2
20,graficon11nodi/grafo222.11,9,11,10,11,10,2.0,0,2.0,0.0071370601654052734,2
21,graficon11nodi/grafo246.11,9,11,10,11,10,2.0,0,2.0,0.01943182945251465,2
22,graficon11nodi/grafo303.11,9,11,10,11,10,3.0,0,3.0,0.019350290298461914,2
