Index,Data,combo_idx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
1,graph_5_0,1,5,6,0.0,0,7,0.0020215511322021484,2
2,graph_5_1,1,5,5,3.0,1,3,0.0011882781982421875,2
3,graph_5_2,1,5,5,4.0,1,2,0.000934600830078125,2
4,graph_5_3,1,5,7,0.0,0,4,0.0009586811065673828,2
5,graph_5_4,1,5,8,0.0,0,5,0.0010833740234375,2
6,graph_5_5,1,5,7,0.0,0,5,0.0007011890411376953,2
7,graph_5_6,1,5,6,0.0,0,3,0.0013363361358642578,2
8,graph_5_7,1,5,6,0.0,0,7,0.0009305477142333984,2
9,graph_5_8,1,5,6,0.0,0,3,0.0007185935974121094,2
10,graph_5_9,1,5,6,0.0,0,5,0.0005931854248046875,2
11,graph_5_10,1,5,6,0.0,0,9,0.0008234977722167969,2
12,graph_5_11,1,5,6,0.0,0,7,0.0007669925689697266,2
13,graph_5_12,1,5,6,0.0,0,9,0.0007650852203369141,2
14,graph_5_13,1,5,7,0.0,0,6,0.0012907981872558594,2
15,graph_5_14,1,5,8,0.0,0,7,0.0010030269622802734,2
16,graph_5_15,1,5,7,0.0,0,6,0.0007386207580566406,2
17,graph_5_16,1,5,7,0.0,0,6,0.0007390975952148438,2
18,graph_5_17,1,5,7,0.0,0,5,0.0015151500701904297,2
19,graph_5_18,1,5,6,0.0,0,5,0.0007901191711425781,2
20,graph_5_19,1,5,8,0.0,0,7,0.0010371208190917969,2
21,graph_5_20,1,5,8,0.0,0,6,0.002765655517578125,2
22,graph_5_21,1,5,7,0.0,0,10,0.0014503002166748047,2
23,graph_5_22,1,5,7,0.0,0,8,0.0014743804931640625,2
24,graph_5_23,1,5,7,0.0,0,12,0.0016026496887207031,2
25,graph_5_24,1,5,8,0.0,0,9,0.0012969970703125,2
26,graph_5_25,1,5,6,0.0,0,5,0.00079345703125,2
27,graph_5_26,1,5,8,0.0,0,4,0.0013396739959716797,2
28,graph_5_27,1,5,6,3.0,1,5,0.001249551773071289,2
29,graph_5_28,1,5,6,1.0,1,5,0.0011515617370605469,2
30,graph_5_29,1,5,8,0.0,0,9,0.0014026165008544922,2
31,graph_5_30,1,5,7,0.0,0,5,0.0017054080963134766,2
32,graph_5_31,1,5,11,0.0,0,7,0.0017650127410888672,2
33,graph_5_32,1,5,8,0.0,0,4,0.0006871223449707031,2
34,graph_5_33,1,5,8,0.0,0,7,0.0016994476318359375,2
35,graph_5_34,1,5,10,0.0,0,10,0.019858837127685547,2
36,graph_5_35,1,5,8,3.0,1,9,0.002315521240234375,2
37,graph_5_36,1,5,10,0.0,0,6,0.002127408981323242,2
38,graph_5_37,1,5,7,0.0,0,6,0.00103759765625,2
39,graph_5_38,1,5,9,0.0,0,6,0.0010159015655517578,2
40,graph_5_39,1,5,9,0.0,0,10,0.002177715301513672,2
41,graph_5_40,1,5,8,0.0,0,7,0.0014052391052246094,2
42,graph_5_41,1,5,10,0.0,0,11,0.0024492740631103516,2
43,graph_5_42,1,5,8,0.0,0,6,0.0014717578887939453,2
44,graph_5_43,1,5,8,3.0,1,10,0.01972484588623047,2
45,graph_5_44,1,5,8,2.0,1,10,0.019427776336669922,2
46,graph_5_45,1,5,10,0.0,0,10,0.002627134323120117,2
47,graph_5_46,1,5,9,0.0,0,11,0.0021996498107910156,2
48,graph_5_47,1,5,8,0.0,0,8,0.00148773193359375,2
49,graph_5_48,1,5,10,0.0,0,11,0.0021173954010009766,2
50,graph_5_49,1,5,9,0.0,0,8,0.0021371841430664062,2
51,graph_5_50,1,5,11,0.0,0,17,0.020015239715576172,2
52,graph_5_51,1,5,10,0.0,0,11,0.002603292465209961,2
53,graph_5_52,1,5,7,2.0,1,12,0.0029647350311279297,2
