Index,Data,combo_idx,Nodes,Edges,TotalNodes,TotalEdges,ObjVal,Crossings,EdgeLength,Runtime,Status
1,graficon13nodi/grafo2567.13,22,13,13,13,13,0.0,0,6,0.0027179718017578125,2
2,graficon11nodi/grafo685.11,22,11,11,13,13,0.0,0,13,0.005893707275390625,2
3,graficon10nodi/grafo2511.10,22,10,10,12,12,0.0,0,6,0.002445697784423828,2
4,graficon12nodi/grafo957.12,22,12,11,13,12,0.0,0,10,0.0028040409088134766,2
5,graficon14nodi/grafo769.14,22,14,13,14,13,0.0,0,10,0.002051830291748047,2
6,graficon10nodi/grafo1070.10,22,10,10,12,12,0.0,0,6,0.00106048583984375,2
7,graficon10nodi/grafo473.10,22,10,10,12,12,0.0,0,6,0.002050638198852539,2
8,graficon14nodi/grafo371.14,22,14,13,14,13,0.0,0,6,0.003340005874633789,2
9,graficon12nodi/grafo906.12,22,12,11,12,11,0.0,0,3,0.0015964508056640625,2
10,graficon11nodi/grafo927.11,22,11,10,11,10,0.0,0,6,0.00214385986328125,2
11,graficon10nodi/grafo758.10,22,10,10,12,12,0.0,0,6,0.0017690658569335938,2
12,graficon12nodi/grafo122.12,22,12,11,12,11,0.0,0,5,0.001466512680053711,2
13,graficon12nodi/grafo1843.12,22,12,15,14,17,1.0,2,13,0.027225732803344727,2
14,graficon10nodi/grafo898.10,22,10,9,10,9,0.0,0,2,0.0010249614715576172,2
15,graficon11nodi/grafo2433.11,22,11,11,13,13,0.0,0,3,0.0019774436950683594,2
16,graficon11nodi/grafo749.11,22,11,10,13,12,0.0,0,5,0.0035104751586914062,2
17,graficon10nodi/grafo961.10,22,10,10,12,12,0.0,0,6,0.0016512870788574219,2
18,graficon10nodi/grafo1857.10,22,10,12,12,14,0.0,0,10,0.0021762847900390625,2
19,graficon11nodi/grafo1004.11,22,11,12,12,13,0.0,0,15,0.004586696624755859,2
20,graficon11nodi/grafo675.11,22,11,11,13,13,0.0,0,4,0.001953601837158203,2
21,graficon10nodi/grafo633.10,22,10,9,10,9,0.0,0,2,0.0007944107055664062,2
22,graficon13nodi/grafo2908.13,22,13,12,13,12,0.0,0,8,0.0018742084503173828,2
23,graficon11nodi/grafo441.11,22,11,11,13,13,0.0,0,14,0.0054645538330078125,2
24,graficon11nodi/grafo2812.11,22,11,11,13,13,0.0,0,3,0.0018744468688964844,2
25,graficon10nodi/grafo881.10,22,10,9,10,9,0.0,0,2,0.001646280288696289,2
26,graficon10nodi/grafo455.10,22,10,10,13,13,0.0,0,4,0.0021533966064453125,2
27,graficon12nodi/grafo933.12,22,12,11,12,11,0.0,0,5,0.0013723373413085938,2
28,graficon12nodi/grafo256.12,22,12,11,12,11,0.0,0,2,0.0016477108001708984,2
29,graficon10nodi/grafo1098.10,22,10,9,10,9,0.0,0,2,0.0014109611511230469,2
30,graficon11nodi/grafo246.11,22,11,10,11,10,0.0,0,3,0.0017380714416503906,2
31,graficon12nodi/grafo2668.12,22,12,13,14,15,1.0,1,7,0.0026810169219970703,2
32,graficon12nodi/grafo667.12,22,12,12,13,13,0.0,0,16,0.004053354263305664,2
33,graficon12nodi/grafo986.12,22,12,11,12,11,0.0,0,5,0.0009756088256835938,2
34,graficon10nodi/grafo782.10,22,10,9,10,9,0.0,0,2,0.0014166831970214844,2
35,graficon12nodi/grafo756.12,22,12,11,12,11,0.0,0,3,0.0013856887817382812,2
36,graficon11nodi/grafo1629.11,22,11,11,14,14,0.0,0,10,0.0015692710876464844,2
37,graficon12nodi/grafo888.12,22,12,13,14,15,0.0,0,16,0.0037772655487060547,2
38,graficon11nodi/grafo1162.11,22,11,11,12,12,0.0,0,6,0.0016183853149414062,2
39,graficon11nodi/grafo3101.11,22,11,11,13,13,0.0,0,3,0.0025734901428222656,2
40,graficon10nodi/grafo910.10,22,10,9,10,9,0.0,0,2,0.0015108585357666016,2
41,graficon13nodi/grafo514.13,22,13,12,13,12,0.0,0,4,0.0024302005767822266,2
42,graficon10nodi/grafo718.10,22,10,10,12,12,0.0,0,6,0.002665996551513672,2
43,graficon10nodi/grafo1123.10,22,10,10,12,12,0.0,0,6,0.0025582313537597656,2
44,graficon10nodi/grafo474.10,22,10,10,12,12,0.0,0,6,0.0025060176849365234,2
45,graficon14nodi/grafo272.14,22,14,13,14,13,0.0,0,9,0.003690958023071289,2
46,graficon11nodi/grafo1084.11,22,11,10,11,10,0.0,0,2,0.0014629364013671875,2
47,graficon11nodi/grafo2971.11,22,11,11,13,13,0.0,0,3,0.0027360916137695312,2
48,graficon11nodi/grafo313.11,22,11,10,13,12,0.0,0,13,0.0031998157501220703,2
49,graficon11nodi/grafo532.11,22,11,11,13,13,0.0,0,9,0.0035161972045898438,2
50,graficon11nodi/grafo857.11,22,11,11,12,12,0.0,0,12,0.005660057067871094,2
51,graficon10nodi/grafo978.10,22,10,10,12,12,0.0,0,6,0.001453399658203125,2
52,graficon13nodi/grafo1067.13,22,13,13,13,13,0.0,0,6,0.002572774887084961,2
53,graficon12nodi/grafo2949.12,22,12,11,12,11,0.0,0,4,0.0018339157104492188,2
54,graficon10nodi/grafo962.10,22,10,10,12,12,0.0,0,6,0.001936197280883789,2
55,graficon10nodi/grafo460.10,22,10,9,10,9,0.0,0,2,0.0014193058013916016,2
56,graficon11nodi/grafo3073.11,22,11,11,13,13,0.0,0,3,0.0025739669799804688,2
57,graficon11nodi/grafo316.11,22,11,13,14,16,0.0,0,22,0.0046253204345703125,2
58,graficon13nodi/grafo2415.13,22,13,13,14,14,0.0,0,5,0.0031595230102539062,2
59,graficon12nodi/grafo861.12,22,12,12,14,14,0.0,0,21,0.007599830627441406,2
60,graficon11nodi/grafo612.11,22,11,11,13,13,0.0,0,7,0.002065420150756836,2
61,graficon10nodi/grafo513.10,22,10,10,12,12,0.0,0,6,0.002470731735229492,2
62,graficon12nodi/grafo352.12,22,12,12,14,14,1.0,1,6,0.004024028778076172,2
63,graficon11nodi/grafo3113.11,22,11,11,13,13,0.0,0,3,0.002540111541748047,2
64,graficon12nodi/grafo2651.12,22,12,13,12,13,1.0,2,13,0.005395174026489258,2
65,graficon13nodi/grafo2595.13,22,13,12,13,12,0.0,0,5,0.0031380653381347656,2
66,graficon14nodi/grafo345.14,22,14,13,14,13,0.0,0,9,0.002981424331665039,2
67,graficon10nodi/grafo209.10,22,10,10,12,12,0.0,0,6,0.0020253658294677734,2
68,graficon11nodi/grafo1005.11,22,11,11,12,12,0.0,0,9,0.0022516250610351562,2
69,graficon10nodi/grafo1032.10,22,10,9,10,9,0.0,0,2,0.0012655258178710938,2
70,graficon10nodi/grafo210.10,22,10,10,12,12,0.0,0,6,0.0025360584259033203,2
71,graficon11nodi/grafo759.11,22,11,12,12,13,1.0,1,7,0.0031294822692871094,2
72,graficon10nodi/grafo265.10,22,10,12,12,14,1.0,1,16,0.0033707618713378906,2
73,graficon12nodi/grafo2439.12,22,12,12,13,13,0.0,0,10,0.0024688243865966797,2
74,graficon11nodi/grafo748.11,22,11,11,13,13,0.0,0,8,0.003425121307373047,2
75,graficon11nodi/grafo2714.11,22,11,11,13,13,0.0,0,5,0.0026814937591552734,2
76,graficon15nodi/grafo886.15,22,15,15,18,18,0.0,0,20,0.008684396743774414,2
77,graficon12nodi/grafo2359.12,22,12,17,16,21,1.0,3,67,0.043488264083862305,2
78,graficon17nodi/grafo565.17,22,17,17,19,19,0.0,0,7,0.0026526451110839844,2
79,graficon14nodi/grafo642.14,22,14,15,16,17,1.0,1,14,0.008260726928710938,2
80,graficon15nodi/grafo2783.15,22,15,17,19,21,1.0,1,24,0.010962724685668945,2
81,graficon12nodi/grafo2707.12,22,12,14,16,18,1.0,1,10,0.0060880184173583984,2
82,graficon16nodi/grafo2861.16,22,16,15,18,17,1.0,1,21,0.013822317123413086,2
83,graficon16nodi/grafo853.16,22,16,16,16,16,0.0,0,11,0.004910945892333984,2
84,graficon17nodi/grafo1122.17,22,17,17,19,19,0.0,0,7,0.0027627944946289062,2
85,graficon11nodi/grafo2384.11,22,11,12,15,16,0.0,0,9,0.002393007278442383,2
86,graficon15nodi/grafo1618.15,22,15,16,19,20,0.0,0,29,0.012166261672973633,2
87,graficon13nodi/grafo325.13,22,13,14,15,16,1.0,1,11,0.00516510009765625,2
88,graficon17nodi/grafo1161.17,22,17,18,19,20,0.0,0,23,0.00579833984375,2
89,graficon13nodi/grafo510.13,22,13,16,18,21,1.0,1,21,0.01250314712524414,2
90,graficon14nodi/grafo367.14,22,14,14,15,15,0.0,0,11,0.007170677185058594,2
91,graficon13nodi/grafo477.13,22,13,13,15,15,0.0,0,4,0.002437114715576172,2
92,graficon13nodi/grafo951.13,22,13,17,19,23,0.0,0,45,0.013651132583618164,2
93,graficon11nodi/grafo1734.11,22,11,14,17,20,1.0,1,36,0.008345842361450195,2
94,graficon15nodi/grafo2797.15,22,15,17,15,17,1.0,1,19,0.007315397262573242,2
95,graficon12nodi/grafo2335.12,22,12,14,19,21,0.0,0,14,0.006577253341674805,2
96,graficon10nodi/grafo1740.10,22,10,13,17,20,1.0,1,36,0.01544809341430664,2
97,graficon13nodi/grafo1853.13,22,13,15,17,19,1.0,3,47,0.0426175594329834,2
98,graficon16nodi/grafo2142.16,22,16,16,17,17,0.0,0,14,0.00581812858581543,2
99,graficon14nodi/grafo956.14,22,14,15,15,16,1.0,1,12,0.0054399967193603516,2
100,graficon15nodi/grafo585.15,22,15,16,19,20,0.0,0,31,0.010664224624633789,2
101,graficon14nodi/grafo2291.14,22,14,14,16,16,1.0,1,25,0.01270151138305664,2
102,graficon14nodi/grafo1658.14,22,14,15,19,20,0.0,0,16,0.004504680633544922,2
103,graficon13nodi/grafo559.13,22,13,15,19,21,0.0,0,17,0.005274772644042969,2
104,graficon15nodi/grafo2377.15,22,15,15,16,16,0.0,0,11,0.0024220943450927734,2
105,graficon14nodi/grafo2189.14,22,14,16,17,19,1.0,1,27,0.007030487060546875,2
106,graficon16nodi/grafo322.16,22,16,15,17,16,0.0,0,9,0.00606536865234375,2
107,graficon14nodi/grafo2460.14,22,14,14,15,15,0.0,0,9,0.004666328430175781,2
108,graficon16nodi/grafo1177.16,22,16,15,17,16,0.0,0,15,0.002455472946166992,2
109,graficon13nodi/grafo203.13,22,13,14,15,16,1.0,1,9,0.004416227340698242,2
110,graficon13nodi/grafo387.13,22,13,15,19,21,1.0,1,20,0.00706934928894043,2
111,graficon15nodi/grafo1107.15,22,15,19,19,23,0.0,0,28,0.011476755142211914,2
112,graficon12nodi/grafo576.12,22,12,14,17,19,0.0,0,8,0.002690553665161133,2
113,graficon12nodi/grafo542.12,22,12,14,17,19,0.0,0,14,0.003313302993774414,2
114,graficon10nodi/grafo1898.10,22,10,15,16,21,1.0,1,34,0.013683080673217773,2
115,graficon12nodi/grafo543.12,22,12,12,15,15,1.0,1,9,0.005348920822143555,2
116,graficon14nodi/grafo843.14,22,14,14,15,15,0.0,0,25,0.007215023040771484,2
117,graficon14nodi/grafo1620.14,22,14,15,17,18,0.0,0,16,0.004531383514404297,2
118,graficon14nodi/grafo255.14,22,14,16,16,18,1.0,2,35,0.013668060302734375,2
119,graficon14nodi/grafo899.14,22,14,15,15,16,1.0,1,26,0.011311531066894531,2
120,graficon17nodi/grafo422.17,22,17,17,18,18,0.0,0,29,0.009386777877807617,2
121,graficon13nodi/grafo440.13,22,13,14,18,19,0.0,0,17,0.0064699649810791016,2
122,graficon11nodi/grafo280.11,22,11,12,15,16,0.0,0,21,0.004309177398681641,2
123,graficon15nodi/grafo2331.15,22,15,17,17,19,0.0,0,19,0.005452394485473633,2
124,graficon11nodi/grafo1006.11,22,11,12,15,16,0.0,0,8,0.002962827682495117,2
125,graficon13nodi/grafo2218.13,22,13,13,16,16,1.0,1,13,0.005254507064819336,2
126,graficon14nodi/grafo3087.14,22,14,14,16,16,0.0,0,13,0.008093118667602539,2
127,graficon16nodi/grafo1069.16,22,16,15,17,16,0.0,0,14,0.00397801399230957,2
128,graficon14nodi/grafo524.14,22,14,15,15,16,0.0,0,13,0.004904508590698242,2
129,graficon11nodi/grafo1913.11,22,11,14,15,18,0.0,0,15,0.006090402603149414,2
130,graficon14nodi/grafo2919.14,22,14,15,17,18,0.0,0,20,0.006247997283935547,2
131,graficon16nodi/grafo418.16,22,16,18,19,21,0.0,0,34,0.012438774108886719,2
132,graficon13nodi/grafo1935.13,22,13,18,17,22,1.0,1,31,0.010521411895751953,2
133,graficon17nodi/grafo774.17,22,17,18,19,20,1.0,3,55,0.021841049194335938,2
134,graficon16nodi/grafo1029.16,22,16,16,18,18,0.0,0,8,0.0019249916076660156,2
135,graficon12nodi/grafo2663.12,22,12,13,15,16,0.0,0,11,0.002117156982421875,2
136,graficon14nodi/grafo2634.14,22,14,13,15,14,0.0,0,12,0.004636526107788086,2
137,graficon12nodi/grafo2380.12,22,12,12,16,16,0.0,0,10,0.004982471466064453,2
138,graficon17nodi/grafo2146.17,22,17,17,19,19,0.0,0,17,0.0032758712768554688,2
139,graficon14nodi/grafo2900.14,22,14,14,18,18,0.0,0,10,0.002882242202758789,2
140,graficon13nodi/grafo430.13,22,13,14,16,17,0.0,0,10,0.0022172927856445312,2
141,graficon10nodi/grafo938.10,22,10,14,19,23,1.0,3,55,0.04130363464355469,2
142,graficon14nodi/grafo1063.14,22,14,15,18,19,0.0,0,11,0.0015904903411865234,2
143,graficon11nodi/grafo2964.11,22,11,12,19,20,0.0,0,12,0.00398564338684082,2
144,graficon13nodi/grafo989.13,22,13,14,18,19,0.0,0,12,0.0036771297454833984,2
145,graficon11nodi/grafo822.11,22,11,13,18,20,1.0,1,13,0.0035088062286376953,2
146,graficon10nodi/grafo1774.10,22,10,15,16,21,1.0,1,34,0.012975215911865234,2
147,graficon11nodi/grafo900.11,22,11,13,18,20,0.0,0,9,0.0027358531951904297,2
148,graficon13nodi/grafo2927.13,22,13,14,19,20,1.0,1,23,1.1334991455078125,2
149,graficon13nodi/grafo2354.13,22,13,16,19,22,1.0,1,24,0.014126062393188477,2
150,graficon13nodi/grafo791.13,22,13,15,19,21,1.0,1,16,0.010365486145019531,2
151,graficon16nodi/grafo1945.16,22,16,17,23,24,1.0,2,27,0.04801011085510254,2
152,graficon17nodi/grafo2644.17,22,17,19,23,25,0.0,0,23,0.010970354080200195,2
153,graficon17nodi/grafo2882.17,22,17,18,24,25,0.0,0,25,0.01189112663269043,2
154,graficon19nodi/grafo794.19,22,19,21,22,24,1.0,1,23,0.00938558578491211,2
155,graficon14nodi/grafo489.14,22,14,15,22,23,1.0,1,15,0.010024547576904297,2
156,graficon18nodi/grafo1865.18,22,18,20,23,25,0.0,0,30,0.014559745788574219,2
157,graficon15nodi/grafo1970.15,22,15,17,22,24,0.0,0,18,0.00493931770324707,2
158,graficon14nodi/grafo2419.14,22,14,17,24,27,1.0,1,27,0.018538475036621094,2
159,graficon12nodi/grafo2855.12,22,12,17,24,29,1.0,1,21,0.01309967041015625,2
160,graficon13nodi/grafo1729.13,22,13,19,22,28,2.0,5,76,0.053478240966796875,2
161,graficon13nodi/grafo2832.13,22,13,14,23,24,0.0,0,20,0.0077283382415771484,2
162,graficon18nodi/grafo1893.18,22,18,18,21,21,0.0,0,14,0.006510734558105469,2
163,graficon18nodi/grafo1059.18,22,18,18,22,22,0.0,0,10,0.002657175064086914,2
164,graficon12nodi/grafo2890.12,22,12,14,20,22,0.0,0,18,0.007645368576049805,2
165,graficon16nodi/grafo2231.16,22,16,20,22,26,1.0,1,30,0.014034509658813477,2
166,graficon20nodi/grafo2767.20,22,20,22,24,26,1.0,1,33,0.01777935028076172,2
167,graficon20nodi/grafo3051.20,22,20,23,24,27,0.0,0,20,0.0066487789154052734,2
168,graficon12nodi/grafo638.12,22,12,17,22,27,0.0,0,32,0.009925365447998047,2
169,graficon15nodi/grafo2233.15,22,15,20,23,28,0.0,0,42,0.018830060958862305,2
170,graficon16nodi/grafo275.16,22,16,18,24,26,1.0,1,27,0.011911392211914062,2
171,graficon22nodi/grafo2137.22,22,22,21,24,23,0.0,0,29,0.007394313812255859,2
172,graficon18nodi/grafo314.18,22,18,18,22,22,0.0,0,10,0.0032300949096679688,2
173,graficon15nodi/grafo2225.15,22,15,18,23,26,0.0,0,16,0.006742238998413086,2
174,graficon11nodi/grafo1876.11,22,11,19,24,32,2.0,6,42,0.05672931671142578,2
175,graficon13nodi/grafo891.13,22,13,13,20,20,0.0,0,14,0.006119251251220703,2
176,graficon12nodi/grafo2675.12,22,12,14,20,22,0.0,0,18,0.007410287857055664,2
177,graficon11nodi/grafo1835.11,22,11,15,21,25,0.0,0,18,0.006985187530517578,2
178,graficon23nodi/grafo2357.23,22,23,22,24,23,0.0,0,38,0.010900020599365234,2
179,graficon15nodi/grafo1982.15,22,15,17,24,26,1.0,1,36,0.014569759368896484,2
180,graficon14nodi/grafo378.14,22,14,17,22,25,0.0,0,37,0.009846925735473633,2
181,graficon17nodi/grafo2324.17,22,17,21,23,27,1.0,2,25,0.011889219284057617,2
182,graficon13nodi/grafo964.13,22,13,16,23,26,0.0,0,27,0.011516332626342773,2
183,graficon19nodi/grafo423.19,22,19,21,23,25,0.0,0,30,0.014241218566894531,2
184,graficon13nodi/grafo2204.13,22,13,13,20,20,0.0,0,17,0.008705854415893555,2
185,graficon13nodi/grafo443.13,22,13,15,20,22,1.0,2,16,0.0379176139831543,2
186,graficon20nodi/grafo215.20,22,20,22,24,26,1.0,1,36,0.011450767517089844,2
187,graficon14nodi/grafo1662.14,22,14,20,24,30,1.0,2,43,0.10192632675170898,2
188,graficon20nodi/grafo495.20,22,20,20,24,24,0.0,0,11,0.002214193344116211,2
189,graficon16nodi/grafo2281.16,22,16,21,24,29,1.0,1,50,0.01544499397277832,2
190,graficon11nodi/grafo1054.11,22,11,15,23,27,0.0,0,42,0.015340089797973633,2
191,graficon16nodi/grafo661.16,22,16,17,21,22,1.0,1,11,0.012204408645629883,2
192,graficon12nodi/grafo844.12,22,12,18,20,26,1.0,2,43,0.023505449295043945,2
193,graficon19nodi/grafo1661.19,22,19,21,21,23,1.0,2,21,0.04547262191772461,2
194,graficon18nodi/grafo2186.18,22,18,23,23,28,1.0,3,21,0.01128530502319336,2
195,graficon12nodi/grafo2867.12,22,12,16,22,26,0.0,0,39,0.012109518051147461,2
196,graficon15nodi/grafo1136.15,22,15,17,24,26,0.0,0,20,0.00648951530456543,2
197,graficon20nodi/grafo1651.20,22,20,21,23,24,1.0,1,51,0.027987241744995117,2
198,graficon15nodi/grafo2157.15,22,15,15,20,20,0.0,0,13,0.005105733871459961,2
199,graficon17nodi/grafo1634.17,22,17,18,20,21,1.0,1,50,0.03175950050354004,2
200,graficon16nodi/grafo2440.16,22,16,20,22,26,2.0,4,27,0.0898134708404541,2
201,graficon18nodi/grafo953.18,22,18,18,22,22,0.0,0,10,0.003730297088623047,2
202,graficon23nodi/grafo1485.23,22,23,22,23,22,0.0,0,26,0.011757373809814453,2
203,graficon13nodi/grafo2620.13,22,13,16,20,23,0.0,0,25,0.010315418243408203,2
204,graficon17nodi/grafo2680.17,22,17,22,22,27,1.0,2,59,0.017374277114868164,2
205,graficon20nodi/grafo1649.20,22,20,22,24,26,1.0,3,53,0.022013425827026367,2
206,graficon19nodi/grafo1897.19,22,19,20,24,25,0.0,0,47,0.025623559951782227,2
207,graficon13nodi/grafo2645.13,22,13,17,23,27,0.0,0,25,0.012481927871704102,2
208,graficon18nodi/grafo2480.18,22,18,21,22,25,0.0,0,41,0.010411500930786133,2
209,graficon13nodi/grafo2298.13,22,13,14,21,22,0.0,0,14,0.005767107009887695,2
210,graficon15nodi/grafo739.15,22,15,18,23,26,0.0,0,40,0.012766599655151367,2
211,graficon17nodi/grafo2679.17,22,17,19,21,23,1.0,1,23,0.013621330261230469,2
212,graficon14nodi/grafo2430.14,22,14,15,21,22,0.0,0,16,0.0046198368072509766,2
213,graficon15nodi/grafo582.15,22,15,16,22,23,0.0,0,12,0.006796598434448242,2
214,graficon11nodi/grafo1619.11,22,11,15,21,25,1.0,3,28,0.037023305892944336,2
215,graficon15nodi/grafo1124.15,22,15,16,23,24,0.0,0,19,0.010318756103515625,2
216,graficon12nodi/grafo1763.12,22,12,21,22,31,1.0,3,56,0.03887486457824707,2
217,graficon17nodi/grafo1094.17,22,17,19,21,23,0.0,0,14,0.0034160614013671875,2
218,graficon15nodi/grafo2903.15,22,15,16,20,21,1.0,1,21,0.006410837173461914,2
219,graficon11nodi/grafo1088.11,22,11,17,22,28,0.0,0,49,0.01395559310913086,2
220,graficon17nodi/grafo645.17,22,17,19,21,23,0.0,0,32,0.009781599044799805,2
221,graficon16nodi/grafo2537.16,22,16,19,21,24,0.0,0,21,0.003705739974975586,2
222,graficon15nodi/grafo1030.15,22,15,16,23,24,0.0,0,19,0.012327432632446289,2
223,graficon14nodi/grafo242.14,22,14,16,21,23,0.0,0,21,0.005154132843017578,2
224,graficon17nodi/grafo1009.17,22,17,17,24,24,0.0,0,12,0.006088733673095703,2
225,graficon13nodi/grafo3112.13,22,13,14,20,21,0.0,0,12,0.0042247772216796875,2
