Index,Data,T1,T2,T3
1,graficon20nodi/grafo117.20,0.034,0.005,0.005
2,graficon20nodi/grafo121.20,0.015,0.013,0.013
3,graficon20nodi/grafo190.20,0.028,0.021,0.021
4,graficon20nodi/grafo215.20,0.008,0.009,0.009
5,graficon20nodi/grafo244.20,0.011,0.01,0.033
6,graficon20nodi/grafo251.20,0.014,0.015,0.014
7,graficon20nodi/grafo270.20,0.025,0.027,0.028
8,graficon20nodi/grafo291.20,0.004,0.003,0.003
9,graficon20nodi/grafo298.20,0.041,0.039,0.04
10,graficon20nodi/grafo318.20,0.021,0.018,0.018
11,graficon20nodi/grafo348.20,0.004,0.005,0.005
12,graficon20nodi/grafo369.20,0.033,0.033,0.033
13,graficon20nodi/grafo413.20,0.019,0.018,0.018
14,graficon20nodi/grafo429.20,0.024,0.023,0.024
15,graficon20nodi/grafo434.20,0.018,0.016,0.016
16,graficon20nodi/grafo495.20,0.002,0.002,0.002
17,graficon20nodi/grafo502.20,0.007,0.007,0.006
18,graficon20nodi/grafo508.20,0.009,0.009,0.009
19,graficon20nodi/grafo521.20,0.009,0.009,0.009
20,graficon20nodi/grafo523.20,0.022,0.021,0.022
21,graficon20nodi/grafo535.20,0.024,0.024,0.024
22,graficon20nodi/grafo561.20,0.017,0.016,0.016
23,graficon20nodi/grafo568.20,0.013,0.013,0.013
24,graficon20nodi/grafo679.20,0.017,0.017,0.018
25,graficon20nodi/grafo698.20,0.039,0.039,0.037
26,graficon20nodi/grafo755.20,0.014,0.013,0.013
27,graficon20nodi/grafo786.20,0.014,0.014,0.013
28,graficon20nodi/grafo873.20,0.025,0.024,0.023
29,graficon20nodi/grafo874.20,0.016,0.015,0.016
30,graficon20nodi/grafo875.20,0.004,0.004,0.004
31,graficon20nodi/grafo904.20,0.008,0.008,0.008
32,graficon20nodi/grafo940.20,0.008,0.008,0.008
33,graficon20nodi/grafo980.20,0.004,0.004,0.004
34,graficon20nodi/grafo1002.20,0.009,0.008,0.009
35,graficon20nodi/grafo1007.20,0.008,0.008,0.008
36,graficon20nodi/grafo1024.20,0.008,0.007,0.008
37,graficon20nodi/grafo1036.20,0.012,0.012,0.012
38,graficon20nodi/grafo1110.20,0.005,0.005,0.005
39,graficon20nodi/grafo1113.20,0.009,0.009,0.008
40,graficon20nodi/grafo1649.20,0.014,0.014,0.015
41,graficon20nodi/grafo1651.20,0.013,0.011,0.011
42,graficon20nodi/grafo1673.20,0.006,0.006,0.006
43,graficon20nodi/grafo1676.20,0.01,0.01,0.01
44,graficon20nodi/grafo1690.20,0.014,0.013,0.013
45,graficon20nodi/grafo1716.20,0.009,0.009,0.008
46,graficon20nodi/grafo1733.20,0.032,0.032,0.031
47,graficon20nodi/grafo1755.20,0.008,0.007,0.007
48,graficon20nodi/grafo1757.20,0.017,0.016,0.016
49,graficon20nodi/grafo1761.20,0.011,0.01,0.011
50,graficon20nodi/grafo1764.20,0.012,0.013,0.013
51,graficon20nodi/grafo1801.20,0.02,0.019,0.019
52,graficon20nodi/grafo1837.20,0.012,0.011,0.011
53,graficon20nodi/grafo1855.20,0.021,0.022,0.022
54,graficon20nodi/grafo1860.20,0.007,0.007,0.007
55,graficon20nodi/grafo1873.20,0.026,0.025,0.024
56,graficon20nodi/grafo1901.20,0.037,0.037,0.038
57,graficon20nodi/grafo1916.20,0.014,0.013,0.013
58,graficon20nodi/grafo1931.20,0.049,0.046,0.049
59,graficon20nodi/grafo2056.20,0.011,0.011,0.011
60,graficon20nodi/grafo2122.20,0.008,0.007,0.007
61,graficon20nodi/grafo2151.20,0.016,0.015,0.015
62,graficon20nodi/grafo2166.20,0.026,0.026,0.026
63,graficon20nodi/grafo2202.20,0.019,0.018,0.019
64,graficon20nodi/grafo2209.20,0.037,0.037,0.038
65,graficon20nodi/grafo2213.20,0.038,0.037,0.037
66,graficon20nodi/grafo2246.20,0.047,0.047,0.045
67,graficon20nodi/grafo2268.20,0.013,0.013,0.013
68,graficon20nodi/grafo2272.20,0.011,0.012,0.012
69,graficon20nodi/grafo2282.20,0.01,0.009,0.01
70,graficon20nodi/grafo2284.20,0.033,0.033,0.033
71,graficon20nodi/grafo2317.20,0.007,0.007,0.007
72,graficon20nodi/grafo2347.20,0.008,0.008,0.009
73,graficon20nodi/grafo2351.20,0.037,0.038,0.036
74,graficon20nodi/grafo2382.20,0.035,0.036,0.036
75,graficon20nodi/grafo2396.20,0.015,0.014,0.014
76,graficon20nodi/grafo2422.20,0.034,0.035,0.034
77,graficon20nodi/grafo2545.20,0.019,0.019,0.02
78,graficon20nodi/grafo2554.20,0.006,0.006,0.006
79,graficon20nodi/grafo2564.20,0.006,0.006,0.006
80,graficon20nodi/grafo2611.20,0.005,0.004,0.004
81,graficon20nodi/grafo2670.20,0.014,0.014,0.014
82,graficon20nodi/grafo2701.20,0.014,0.015,0.014
83,graficon20nodi/grafo2718.20,0.02,0.019,0.019
84,graficon20nodi/grafo2763.20,0.008,0.007,0.008
85,graficon20nodi/grafo2767.20,0.008,0.008,0.008
86,graficon20nodi/grafo2776.20,0.011,0.011,0.011
87,graficon20nodi/grafo2922.20,0.015,0.015,0.015
88,graficon20nodi/grafo2989.20,0.005,0.005,0.004
89,graficon20nodi/grafo2995.20,0.011,0.01,0.011
90,graficon20nodi/grafo3017.20,0.015,0.014,0.015
91,graficon20nodi/grafo3049.20,0.013,0.012,0.012
92,graficon20nodi/grafo3051.20,0.005,0.005,0.005
93,graficon20nodi/grafo3052.20,0.012,0.011,0.011
94,graficon21nodi/grafo123.21,0.014,0.014,0.014
95,graficon21nodi/grafo127.21,0.007,0.007,0.007
96,graficon21nodi/grafo132.21,0.047,0.022,0.022
97,graficon21nodi/grafo136.21,0.015,0.014,0.014
98,graficon21nodi/grafo137.21,0.113,0.114,0.111
99,graficon21nodi/grafo152.21,0.016,0.016,0.016
100,graficon21nodi/grafo153.21,0.155,0.155,0.156
101,graficon21nodi/grafo156.21,0.013,0.012,0.012
102,graficon21nodi/grafo158.21,0.012,0.012,0.012
103,graficon21nodi/grafo191.21,0.015,0.016,0.016
104,graficon21nodi/grafo245.21,0.008,0.008,0.009
105,graficon21nodi/grafo294.21,0.004,0.004,0.004
106,graficon21nodi/grafo336.21,0.006,0.006,0.006
107,graficon21nodi/grafo350.21,0.016,0.015,0.016
108,graficon21nodi/grafo380.21,0.015,0.015,0.015
109,graficon21nodi/grafo381.21,0.012,0.011,0.011
110,graficon21nodi/grafo433.21,0.052,0.051,0.052
111,graficon21nodi/grafo509.21,0.032,0.03,0.03
112,graficon21nodi/grafo606.21,0.02,0.019,0.018
113,graficon21nodi/grafo630.21,0.033,0.032,0.032
114,graficon21nodi/grafo641.21,0.007,0.007,0.007
115,graficon21nodi/grafo712.21,0.036,0.036,0.036
116,graficon21nodi/grafo804.21,0.011,0.011,0.011
117,graficon21nodi/grafo832.21,0.024,0.024,0.024
118,graficon21nodi/grafo842.21,0.02,0.02,0.022
119,graficon21nodi/grafo889.21,0.029,0.048,0.028
120,graficon21nodi/grafo901.21,0.016,0.016,0.016
121,graficon21nodi/grafo925.21,0.08,0.079,0.081
122,graficon21nodi/grafo935.21,0.106,0.109,0.107
123,graficon21nodi/grafo943.21,0.04,0.037,0.038
124,graficon21nodi/grafo1049.21,0.005,0.005,0.005
125,graficon21nodi/grafo1064.21,0.023,0.024,0.024
126,graficon21nodi/grafo1091.21,0.025,0.025,0.024
127,graficon21nodi/grafo1104.21,0.013,0.012,0.012
128,graficon21nodi/grafo1106.21,0.187,0.186,0.185
129,graficon21nodi/grafo1125.21,0.032,0.031,0.031
130,graficon21nodi/grafo1135.21,0.007,0.007,0.008
131,graficon21nodi/grafo1153.21,0.006,0.007,0.007
132,graficon21nodi/grafo1449.21,0.007,0.007,0.007
133,graficon21nodi/grafo1617.21,0.01,0.009,0.009
134,graficon21nodi/grafo1632.21,0.013,0.014,0.014
135,graficon21nodi/grafo1638.21,0.011,0.01,0.01
136,graficon21nodi/grafo1645.21,0.016,0.017,0.016
137,graficon21nodi/grafo1677.21,0.005,0.005,0.005
138,graficon21nodi/grafo1682.21,0.124,0.121,0.125
139,graficon21nodi/grafo1699.21,0.008,0.008,0.007
140,graficon21nodi/grafo1708.21,0.014,0.014,0.038
141,graficon21nodi/grafo1718.21,0.031,0.031,0.029
142,graficon21nodi/grafo1727.21,0.007,0.007,0.007
143,graficon21nodi/grafo1749.21,0.071,0.07,0.069
144,graficon21nodi/grafo1752.21,0.028,0.027,0.027
145,graficon21nodi/grafo1762.21,0.032,0.031,0.031
146,graficon21nodi/grafo1779.21,0.034,0.034,0.035
147,graficon21nodi/grafo1786.21,0.011,0.01,0.01
148,graficon21nodi/grafo1793.21,0.021,0.021,0.021
149,graficon21nodi/grafo1814.21,0.028,0.028,0.028
150,graficon21nodi/grafo1838.21,0.022,0.021,0.021
151,graficon21nodi/grafo1863.21,0.025,0.026,0.027
152,graficon21nodi/grafo1879.21,0.054,0.051,0.052
153,graficon21nodi/grafo1896.21,0.008,0.007,0.008
154,graficon21nodi/grafo1910.21,0.016,0.016,0.015
155,graficon21nodi/grafo1911.21,0.017,0.017,0.016
156,graficon21nodi/grafo1919.21,0.023,0.024,0.023
157,graficon21nodi/grafo1927.21,0.017,0.016,0.016
158,graficon21nodi/grafo1929.21,0.011,0.01,0.01
159,graficon21nodi/grafo1937.21,0.007,0.007,0.007
160,graficon21nodi/grafo1941.21,0.017,0.017,0.017
161,graficon21nodi/grafo2114.21,0.023,0.023,0.022
162,graficon21nodi/grafo2119.21,0.044,0.043,0.045
163,graficon21nodi/grafo2152.21,0.003,0.003,0.003
164,graficon21nodi/grafo2162.21,0.011,0.01,0.01
165,graficon21nodi/grafo2173.21,0.008,0.008,0.008
166,graficon21nodi/grafo2176.21,0.014,0.014,0.015
167,graficon21nodi/grafo2208.21,0.005,0.005,0.005
168,graficon21nodi/grafo2305.21,0.009,0.009,0.009
169,graficon21nodi/grafo2329.21,0.012,0.012,0.012
170,graficon21nodi/grafo2356.21,0.012,0.012,0.012
171,graficon21nodi/grafo2361.21,0.022,0.021,0.023
172,graficon21nodi/grafo2378.21,0.014,0.013,0.013
173,graficon21nodi/grafo2416.21,0.007,0.007,0.007
174,graficon21nodi/grafo2423.21,0.021,0.023,0.021
175,graficon21nodi/grafo2434.21,0.049,0.049,0.047
176,graficon21nodi/grafo2516.21,0.006,0.006,0.006
177,graficon21nodi/grafo2571.21,0.065,0.063,0.061
178,graficon21nodi/grafo2598.21,0.042,0.042,0.042
179,graficon21nodi/grafo2618.21,0.02,0.02,0.021
180,graficon21nodi/grafo2637.21,0.008,0.007,0.008
181,graficon21nodi/grafo2664.21,0.016,0.017,0.018
182,graficon21nodi/grafo2677.21,0.018,0.018,0.018
183,graficon21nodi/grafo2689.21,0.024,0.025,0.025
184,graficon21nodi/grafo2719.21,0.017,0.016,0.017
185,graficon21nodi/grafo2756.21,0.014,0.014,0.014
186,graficon21nodi/grafo2793.21,0.003,0.003,0.003
187,graficon21nodi/grafo2814.21,0.005,0.004,0.004
188,graficon21nodi/grafo2831.21,0.102,0.1,0.097
189,graficon21nodi/grafo2833.21,0.012,0.011,0.011
190,graficon21nodi/grafo2846.21,0.032,0.03,0.03
191,graficon21nodi/grafo2873.21,0.021,0.022,0.022
192,graficon21nodi/grafo2886.21,0.009,0.009,0.009
193,graficon21nodi/grafo2906.21,0.007,0.007,0.006
194,graficon21nodi/grafo2912.21,0.011,0.011,0.011
195,graficon21nodi/grafo2943.21,0.007,0.007,0.007
196,graficon30nodi/grafo115.30,0.016,0.016,0.017
197,graficon30nodi/grafo135.30,0.165,0.138,0.142
198,graficon30nodi/grafo160.30,0.033,0.033,0.031
199,graficon30nodi/grafo165.30,0.01,0.009,0.009
200,graficon30nodi/grafo171.30,0.082,0.083,0.081
201,graficon30nodi/grafo172.30,0.02,0.021,0.021
202,graficon30nodi/grafo176.30,0.041,0.041,0.04
203,graficon30nodi/grafo186.30,0.027,0.027,0.026
204,graficon30nodi/grafo189.30,0.018,0.018,0.02
205,graficon30nodi/grafo196.30,0.051,0.053,0.053
206,graficon30nodi/grafo205.30,0.032,0.034,0.035
207,graficon30nodi/grafo341.30,0.088,0.059,0.059
208,graficon30nodi/grafo358.30,0.121,0.09,0.095
209,graficon30nodi/grafo359.30,0.034,0.034,0.033
210,graficon30nodi/grafo484.30,0.041,0.041,0.041
211,graficon30nodi/grafo715.30,0.016,0.015,0.016
212,graficon30nodi/grafo859.30,0.034,0.032,0.033
213,graficon30nodi/grafo1181.30,0.069,0.067,0.067
214,graficon30nodi/grafo1183.30,0.087,0.064,0.065
215,graficon30nodi/grafo1223.30,0.052,0.051,0.052
216,graficon30nodi/grafo1227.30,0.093,0.09,0.096
217,graficon30nodi/grafo1237.30,0.015,0.014,0.014
218,graficon30nodi/grafo1246.30,0.043,0.042,0.044
219,graficon30nodi/grafo1252.30,0.018,0.017,0.016
220,graficon30nodi/grafo1256.30,0.015,0.014,0.014
221,graficon30nodi/grafo1261.30,0.118,0.115,0.115
222,graficon30nodi/grafo1322.30,0.066,0.066,0.069
223,graficon30nodi/grafo1334.30,0.06,0.058,0.06
224,graficon30nodi/grafo1345.30,0.188,0.195,0.191
225,graficon30nodi/grafo1434.30,0.088,0.084,0.088
226,graficon30nodi/grafo1445.30,0.058,0.057,0.058
227,graficon30nodi/grafo1534.30,0.039,0.039,0.037
228,graficon30nodi/grafo1582.30,0.041,0.041,0.042
229,graficon30nodi/grafo1616.30,0.037,0.036,0.036
230,graficon30nodi/grafo1623.30,0.1,0.131,0.102
231,graficon30nodi/grafo1627.30,0.17,0.175,0.172
232,graficon30nodi/grafo1641.30,0.011,0.011,0.011
233,graficon30nodi/grafo1647.30,0.029,0.027,0.025
234,graficon30nodi/grafo1687.30,0.031,0.029,0.03
235,graficon30nodi/grafo1702.30,0.047,0.052,0.05
236,graficon30nodi/grafo1783.30,0.025,0.024,0.025
237,graficon30nodi/grafo1810.30,0.079,0.114,0.104
238,graficon30nodi/grafo1958.30,0.015,0.013,0.014
239,graficon30nodi/grafo1987.30,0.061,0.079,0.06
240,graficon30nodi/grafo2005.30,0.044,0.041,0.036
241,graficon30nodi/grafo2012.30,0.24,0.237,0.235
242,graficon30nodi/grafo2013.30,0.051,0.076,0.051
243,graficon30nodi/grafo2025.30,0.15,0.148,0.149
244,graficon30nodi/grafo2030.30,0.164,0.164,0.16
245,graficon30nodi/grafo2033.30,0.041,0.042,0.043
246,graficon30nodi/grafo2035.30,0.08,0.08,0.079
247,graficon30nodi/grafo2346.30,0.014,0.014,0.014
248,graficon30nodi/grafo2365.30,0.061,0.061,0.06
249,graficon30nodi/grafo2629.30,0.076,0.057,0.053
250,graficon30nodi/grafo2650.30,0.018,0.018,0.019
251,graficon30nodi/grafo2699.30,0.036,0.035,0.034
252,graficon30nodi/grafo3011.30,0.104,0.103,0.102
253,graficon30nodi/grafo3032.30,0.038,0.038,0.038
254,graficon30nodi/grafo4040.30,0.038,0.037,0.037
255,graficon30nodi/grafo10051.30,0.024,0.023,0.023
256,graficon30nodi/grafo11384.30,0.025,0.025,0.025
257,graficon30nodi/grafo11667.30,0.018,0.018,0.018
258,graficon31nodi/grafo130.31,0.066,0.071,0.067
259,graficon31nodi/grafo145.31,0.08,0.083,0.08
260,graficon31nodi/grafo150.31,0.018,0.017,0.018
261,graficon31nodi/grafo161.31,0.076,0.074,0.076
262,graficon31nodi/grafo168.31,0.054,0.055,0.055
263,graficon31nodi/grafo860.31,0.021,0.02,0.02
264,graficon31nodi/grafo942.31,0.018,0.019,0.019
265,graficon31nodi/grafo1115.31,0.089,0.086,0.088
266,graficon31nodi/grafo1167.31,0.02,0.02,0.019
267,graficon31nodi/grafo1228.31,0.047,0.048,0.049
268,graficon31nodi/grafo1257.31,0.246,0.264,0.245
269,graficon31nodi/grafo1301.31,0.075,0.077,0.077
270,graficon31nodi/grafo1313.31,0.043,0.041,0.042
271,graficon31nodi/grafo1349.31,0.057,0.057,0.054
272,graficon31nodi/grafo1362.31,0.04,0.041,0.04
273,graficon31nodi/grafo1368.31,0.142,0.144,0.151
274,graficon31nodi/grafo1400.31,0.104,0.123,0.103
275,graficon31nodi/grafo1429.31,0.211,0.214,0.211
276,graficon31nodi/grafo1430.31,0.097,0.096,0.1
277,graficon31nodi/grafo1589.31,0.132,0.133,0.134
278,graficon31nodi/grafo1622.31,0.049,0.049,0.049
279,graficon31nodi/grafo1630.31,0.039,0.038,0.036
280,graficon31nodi/grafo1637.31,0.118,0.136,0.116
281,graficon31nodi/grafo1650.31,0.037,0.035,0.034
282,graficon31nodi/grafo1689.31,0.02,0.02,0.019
283,graficon31nodi/grafo1775.31,0.036,0.036,0.035
284,graficon31nodi/grafo1796.31,0.107,0.105,0.104
285,graficon31nodi/grafo1869.31,0.022,0.021,0.021
286,graficon31nodi/grafo1946.31,0.043,0.042,0.044
287,graficon31nodi/grafo1989.31,0.022,0.021,0.022
288,graficon31nodi/grafo1991.31,0.079,0.081,0.079
289,graficon31nodi/grafo1998.31,0.015,0.014,0.015
290,graficon31nodi/grafo2029.31,0.067,0.066,0.065
291,graficon31nodi/grafo2034.31,0.088,0.087,0.087
292,graficon31nodi/grafo2053.31,0.036,0.035,0.034
293,graficon31nodi/grafo2107.31,0.009,0.009,0.009
294,graficon31nodi/grafo2130.31,0.041,0.042,0.041
295,graficon31nodi/grafo2172.31,0.026,0.025,0.025
296,graficon31nodi/grafo2262.31,0.047,0.047,0.046
297,graficon31nodi/grafo2394.31,0.056,0.057,0.057
298,graficon31nodi/grafo2462.31,0.176,0.153,0.154
299,graficon31nodi/grafo2942.31,0.025,0.027,0.027
300,graficon31nodi/grafo3070.31,0.051,0.05,0.048
301,graficon31nodi/grafo3686.31,0.055,0.057,0.056
302,graficon31nodi/grafo5213.31,0.034,0.033,0.032
303,graficon31nodi/grafo5484.31,0.013,0.012,0.012
304,graficon31nodi/grafo5834.31,0.028,0.028,0.027
305,graficon31nodi/grafo6114.31,0.096,0.094,0.092
306,graficon31nodi/grafo9857.31,0.02,0.019,0.018
307,graficon31nodi/grafo9865.31,0.057,0.055,0.056
308,graficon31nodi/grafo9912.31,0.07,0.071,0.071
309,graficon31nodi/grafo9913.31,0.019,0.019,0.018
310,graficon31nodi/grafo9916.31,0.056,0.056,0.055
311,graficon31nodi/grafo9923.31,0.041,0.043,0.042
312,graficon31nodi/grafo9990.31,0.053,0.032,0.033
313,graficon31nodi/grafo10007.31,0.034,0.033,0.034
314,graficon31nodi/grafo10009.31,0.019,0.019,0.019
315,graficon31nodi/grafo10011.31,0.019,0.019,0.019
316,graficon31nodi/grafo10013.31,0.02,0.02,0.019
317,graficon31nodi/grafo10018.31,0.054,0.055,0.056
318,graficon31nodi/grafo10022.31,0.019,0.019,0.018
319,graficon31nodi/grafo10025.31,0.065,0.066,0.064
320,graficon31nodi/grafo10033.31,0.021,0.019,0.019
321,graficon31nodi/grafo10036.31,0.02,0.019,0.019
322,graficon31nodi/grafo10056.31,0.019,0.019,0.018
323,graficon31nodi/grafo10063.31,0.019,0.019,0.019
324,graficon31nodi/grafo10068.31,0.021,0.021,0.02
