GraphSize,CVcalc,AvgOptsPerMin
r1.5k12n8,2665,196.5862846264473
r1.5k18n12,1338,316.74630867106214
r1.5k12n8,2896,198.36338903313066
r1.5k18n12,1557,225.76049215987837
r1.5k12n8,1340,409.87202626839536
r1.5k18n12,2797,50.77352157203925
r1.5k24n16,1541,259.417028483752
r1.5k12n8,4344,202.04083238528543
r1.5k18n12,4195,16.364553248701295
r1.5k24n16,2989,12.901248024081658
r1.5k12n8,7964,202.51081206017707
r1.5k18n12,7691,4.920067769711027
r1.5k30n20,2663,20.87895307317405
r1.5k24n16,1129,392.86581781963645
r1.5k12n8,15566,210.2192917684186
r1.5k18n12,5943,6.392633733262182
r1.5k12n8,30951,196.5857176350412
r1.5k24n16,4483,3.602618834453666
r1.5k30n20,2133,43.96984903193555
r1.5k18n12,5069,12.54057147942567
r1.5k12n8,61811,148.61447922119604
r1.5k24n16,3736,4.3444796992003765
r1.5k18n12,5506,7.504773009916397
r1.5k30n20,2158,51.81506941835497
r1.5k12n8,123577,146.99934873690455
r1.5k24n16,3362,6.073963519098146
r1.5k18n12,5287,9.841009290181916
r1.5k12n8,92716,191.1436322472602
r1.5k36n24,2469,36.733548382493545
r1.5k12n8,247132,148.89961468276005
r1.5k30n20,3994,3.1823406798820124
r1.5k24n16,3175,11.710219468862686
r1.5k18n12,5178,9.794686136642865
r1.5k18n12,3496,25.146773594245698
r1.5k12n8,169980,197.6597281254869
r1.5k24n16,2265,62.23381970409762
r1.5k12n8,494254,161.70023690675455
r1.5k18n12,5123,11.271191081858802
r1.5k18n12,3146,37.763510831953084
r1.5k12n8,332234,195.07075446994546
r1.5k24n16,3268,9.09765345442153
r1.5k30n20,3328,10.193553217402268
r1.5k24n16,2627,22.443692605756066
r1.5k12n8,988503,202.00985029903467
r1.5k30n20,2145,70.44334546407725
r1.5k18n12,5150,10.09686777966914
r1.5k18n12,2971,39.72118920973261
r1.5k12n8,660605,196.47477299012212
r1.5k36n24,2485,38.453957071324865
r1.5k24n16,3221,6.694222490212384
r1.5k24n16,2446,39.33592536412055
r1.5k30n20,3661,5.437553406338608
r1.5k12n8,1319278,192.92074064398585
r1.5k12n8,1482754,182.41020850136596
r1.5k18n12,2884,44.665939927532904
r1.5k24n16,3198,9.133457652098103
r1.5k30n20,2139,68.84495672357123
r1.5k24n16,2355,50.5038148642857
r1.5k12n8,2637591,186.63961933755502
r1.5k12n8,2718383,178.90838672720946
r1.5k30n20,3494,5.735811388572683
r1.5k18n12,2840,46.81736375849354
r1.5k36n24,1512,62.75851688855793
r1.5k24n16,3186,10.458432909903117
r1.5k24n16,2400,39.918350216593964
r1.5k36n24,1445,70.04461685404617
r1.5k18n12,2177,94.59285881889386
r1.5k30n20,2136,76.70503062646927
r1.5k12n8,5274699,191.87869477636775
r1.5k12n8,5313203,177.12527841275352
r1.5k18n12,2818,47.94244290133374
r1.5k24n16,3192,11.083249397842861
r1.5k30n20,3411,4.954721159570984
r1.5k24n16,1903,128.25225763826597
r1.5k18n12,1867,150.46839091594197
r1.5k24n16,2377,44.69932621562505
r1.5k12n8,10549157,188.0987408367723
r1.5k12n8,10564625,176.76990876090446
r1.5k18n12,2807,44.558952809790306
r1.5k30n20,2134,71.68522837371434
r1.5k24n16,2084,90.07442432832599
r1.5k18n12,2022,119.87562410790558
r1.5k30n20,3369,6.509209327649709
r1.5k24n16,2366,52.47817329521918
r1.5k12n8,21098360,175.7052407314095
r1.5k36n24,1990,40.68108648413916
r1.5k30n20,1066,87.2829157431562
r1.5k36n24,3727,3.3901232673925548
r1.5k30n20,2133,63.899968497317886
r1.5k18n12,2099,109.99474102152449
r1.5k24n16,1993,106.38051290778665
r1.5k24n16,2371,43.748703387680536
r1.5k30n20,3348,5.309930592314292
r1.5k30n20,533,78.5679830115089
r1.5k18n12,2138,104.57607202365557
r1.5k24n16,2038,87.11463166224812
r1.5k30n20,2133,70.36237771011363
r1.5k36n24,722,47.5860274909109
r1.5k30n20,3338,6.789484110289908
r1.5k36n24,1751,49.80704258421822
r1.5k24n16,2015,100.75178337171982
r1.5k36n24,3106,11.500388991256338
r1.5k30n20,266,76.75065128373579
r1.5k30n20,2133,74.60655932412305
r1.5k30n20,3333,5.868143490709799
r1.5k30n20,133,79.49861523047403
r1.5k30n20,2133,73.10455320335004
r1.5k36n24,361,46.97826716427431
r1.5k36n24,1631,60.87729095584831
r1.5k36n24,3416,9.250047853501764
r1.5k30n20,66,91.98253496465
r1.5k30n20,2133,74.27824907707839
r1.5k30n20,33,110.22739303289197
r1.5k36n24,1691,66.11525504916763
r1.5k36n24,180,45.96063498084294
r1.5k36n24,3261,14.281347377633178
r1.5k30n20,49,121.15661361352423
r1.5k36n24,1721,67.86065258010863
r1.5k36n24,90,51.824975652224055
r1.5k36n24,3338,7.355429642338696
r1.5k36n24,1736,67.80612332935128
r1.5k36n24,3299,7.2754137683835625
r1.5k36n24,45,59.68970304351942
r1.5k36n24,1743,67.36964959906634
r1.5k36n24,3280,10.398877822429776
r1.5k36n24,22,60.552855819967384
r1.5k36n24,1747,66.3883542703599
r1.5k36n24,3289,8.724263273188857
r1.5k36n24,11,58.350491956115114
r1.5k36n24,1749,66.55800495418679
r1.5k36n24,3284,10.236598065487552
r1.5k36n24,5,61.58606732466321
r1.5k36n24,2,67.30843209582042
