GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k18n12,1082,626.0453027743446,10
r1.5k24n16,2976,246.52819042284642,10
r1.5k30n20,2749,88.1415910793742,10
r1.5k18n12,1165,623.3713724316183,10
r1.5k36n24,2165,34.15628946690989,10
r1.5k24n16,2162,253.19197510830637,10
r1.5k30n20,1007,90.38361248966945,10
r1.5k18n12,2635,373.5972119661301,10
r1.5k24n16,2316,245.84103887023974,10
r1.5k36n24,1815,34.61121002759164,10
r1.5k30n20,2671,84.13920889453861,10
r1.5k18n12,3952,96.44825367616849,10
r1.5k24n16,4464,172.93171237363765,10
r1.5k36n24,2317,30.121030130679742,10
r1.5k30n20,4123,71.03846540147646,10
r1.5k24n16,8184,25.77529663459527,10
r1.5k30n20,7559,57.84354760472729,10
r1.5k36n24,3475,29.369266242595366,10
r1.5k30n20,14775,1.538599490795601,10
r1.5k36n24,6371,25.680970423183947,10
r1.5k30n20,11167,27.435337917297886,10
r1.5k36n24,12453,11.270267587265135,10
r1.5k30n20,12971,6.792091460094655,10
r1.5k36n24,24762,0.19964401795203054,10
r1.5k30n20,12069,11.47347963107303,10
r1.5k36n24,18607,4.864530570484739,10
r1.5k30n20,12520,9.139684659224502,10
r1.5k30n20,12294,10.819642032318114,10
r1.5k36n24,15530,8.821345393055703,10
r1.5k30n20,12407,11.072825157434796,10
r1.5k36n24,13991,11.175575870629984,10
r1.5k36n24,14760,9.060167972334783,10
r1.5k18n12,2585,402.3704273714276,50
r1.5k24n16,1472,242.4214437462371,50
r1.5k30n20,1499,93.91370055491618,50
r1.5k36n24,14375,10.196791709212409,10
r1.5k18n12,2533,424.36584619527287,50
r1.5k36n24,2534,26.67883092064401,50
r1.5k24n16,2766,217.62435137486924,50
r1.5k30n20,2521,88.39885759732734,50
r1.5k18n12,1197,608.5386136855566,50
r1.5k24n16,2127,224.20185847742164,50
r1.5k36n24,1960,26.131429269916076,50
r1.5k30n20,1465,89.86263854209213,50
r1.5k18n12,3877,105.64737048086388,50
r1.5k24n16,4149,181.84319510957866,50
r1.5k30n20,3781,84.67662971248333,50
r1.5k36n24,1389,26.928451453124985,50
r1.5k24n16,7606,37.44935229330941,50
r1.5k30n20,6932,67.51173081994371,50
r1.5k36n24,694,28.490804616233895,50
r1.5k24n16,5877,100.99884542361058,50
r1.5k30n20,13550,4.599369526804597,50
r1.5k24n16,6741,68.36811461599835,50
r1.5k36n24,347,28.493244992475514,50
r1.5k30n20,10241,36.89808192200872,50
r1.5k24n16,7173,54.172373061613406,50
r1.5k36n24,173,45.70970537694093,50
r1.5k30n20,8586,51.2081629740908,50
r1.5k24n16,7389,46.02493751864246,50
r1.5k30n20,9413,46.12486159359095,50
r1.5k36n24,86,58.16506647335244,50
r1.5k24n16,7281,49.77894108686401,50
r1.5k30n20,8999,48.4339491995079,50
r1.5k24n16,7227,51.10154780945783,50
r1.5k36n24,129,55.328913519424226,50
r1.5k30n20,8792,46.126343916531866,50
r1.5k24n16,7254,54.89839510881298,50
r1.5k36n24,151,53.21998650008011,50
r1.5k30n20,8689,53.95405147209046,50
r1.5k36n24,162,54.47729206722481,50
r1.5k36n24,167,52.571935509599754,50
r1.5k18n12,1053,605.5137744350038,100
r1.5k24n16,1034,230.56213260179885,100
r1.5k30n20,1689,86.04902612663508,100
r1.5k36n24,1183,38.515373771933,100
r1.5k36n24,170,53.455492104254745,50
r1.5k18n12,1037,592.4329681222804,100
r1.5k24n16,2301,213.63604626281585,100
r1.5k30n20,2966,86.60173507280838,100
r1.5k18n12,1493,641.1135135184579,100
r1.5k24n16,1674,227.57334712969129,100
r1.5k36n24,1542,35.416294379424286,100
r1.5k30n20,2872,75.42201906499939,100
r1.5k18n12,2239,453.49196500101215,100
r1.5k24n16,3451,211.84559229992615,100
r1.5k30n20,844,77.12760915229481,100
r1.5k36n24,1120,39.56340791712349,100
r1.5k18n12,4105,77.9851504297475,100
r1.5k24n16,6327,92.94736813936758,100
r1.5k30n20,422,78.47220898496184,100
r1.5k36n24,560,38.10642828149024,100
r1.5k18n12,3172,242.23466385552283,100
r1.5k24n16,4889,148.41966133548507,100
r1.5k30n20,211,82.28349327432497,100
r1.5k18n12,3638,141.0554503893739,100
r1.5k24n16,5608,123.29525148567113,100
r1.5k36n24,280,35.44258709123831,100
r1.5k30n20,105,100.65840090028041,100
r1.5k18n12,3871,101.9698313337199,100
r1.5k24n16,5967,100.49475207456274,100
r1.5k36n24,140,39.73938902812344,100
r1.5k30n20,158,93.79432995701754,100
r1.5k18n12,3988,94.83311644757912,100
r1.5k24n16,6147,93.62063410656701,100
r1.5k36n24,70,40.41574356727614,100
r1.5k30n20,131,110.54873005290756,100
r1.5k18n12,3929,99.80843222173914,100
r1.5k24n16,6057,97.05033285775298,100
r1.5k18n12,3900,106.40212246848448,100
r1.5k30n20,144,107.6035809542179,100
r1.5k24n16,6012,101.59700715322194,100
r1.5k36n24,35,47.42376645485514,100
r1.5k18n12,3914,103.31151770377781,100
r1.5k30n20,151,108.78019677290797,100
r1.5k24n16,6034,100.13993456912999,100
r1.5k36n24,17,50.60460126336882,100
r1.5k30n20,154,118.68568774664497,100
r1.5k36n24,8,47.82600331352332,100
r1.5k36n24,4,44.08556079136326,100
r1.5k36n24,2,44.421361279028424,100
