GraphSize,CVcalc,AvgOptsPerMin
r1.5k18n12,1676,1126.942676233433
r1.5k18n12,1795,1077.0583106869865
r1.5k24n16,1926,595.7310674479668
r1.5k24n16,1887,628.898285137737
r1.5k30n20,1133,289.5653744213789
r1.5k30n20,1763,299.1788082953964
r1.5k36n24,1501,136.17728309060846
r1.5k36n24,2690,150.90751959578944
r1.5k42n28,2008,69.82970705381241
r1.5k24n16,2809,562.1767352119081
r1.5k24n16,2275,604.499527184794
r1.5k30n20,1984,297.6079303315281
r1.5k30n20,1780,277.2329122218967
r1.5k36n24,2236,132.94726443454778
r1.5k36n24,2772,142.67020993510877
r1.5k42n28,2786,78.8958282151081
r1.5k24n16,4213,436.01035196837574
r1.5k24n16,4213,435.3127033061066
r1.5k30n20,2976,299.9752121345896
r1.5k18n12,1726,1119.221951724601
r1.5k30n20,2976,281.9687828977661
r1.5k42n28,2613,78.80316617614724
r1.5k36n24,4035,129.36641234608405
r1.5k36n24,4158,142.38945057096072
r1.5k30n20,5456,254.38898098819647
r1.5k30n20,5456,243.5807494024104
r1.5k42n28,1059,83.08463318678879
r1.5k30n20,4464,284.53314583527657
r1.5k36n24,7397,105.32368815957489
r1.5k36n24,7623,100.9453635409155
r1.5k42n28,4179,75.02758542687107
r1.5k36n24,6237,123.97400371760064
r1.5k30n20,8184,170.46791809729086
r1.5k36n24,14458,42.70577092142953
r1.5k36n24,14899,41.94731690509708
r1.5k42n28,4179,75.18543720462762
r1.5k36n24,11434,74.07076098214945
r1.5k42n28,7661,70.7605546589188
r1.5k36n24,10927,74.67857039701819
r1.5k36n24,8835,103.01727449558669
r1.5k42n28,529,70.72829024766013
r1.5k42n28,7661,67.25731676951233
r1.5k36n24,12692,49.77302682592255
r1.5k42n28,14974,40.99549124202226
r1.5k36n24,10134,85.52862416521212
r1.5k42n28,264,70.6151852047275
r1.5k42n28,14974,37.610460395067335
r1.5k36n24,11809,60.26108382685696
r1.5k36n24,9484,92.38495723334077
r1.5k36n24,12250,58.30007193436658
r1.5k36n24,9159,99.53484543998813
r1.5k42n28,11317,63.19545227189938
r1.5k42n28,132,64.65803288590112
r1.5k36n24,12471,61.864257953073206
r1.5k36n24,8997,94.04714511721991
r1.5k42n28,13145,55.259127423028374
r1.5k42n28,66,73.1085615947949
r1.5k36n24,12581,65.05471357191307
r1.5k36n24,8916,97.73858173194506
r1.5k42n28,14059,51.92692407345239
r1.5k42n28,33,76.61597016102748
r1.5k42n28,14516,47.34185122642113
r1.5k42n28,16,77.52192952290763
r1.5k42n28,14287,47.42627647860267
r1.5k42n28,8,79.1556247075074
r1.5k42n28,14173,49.431866199513614
r1.5k42n28,4,78.31420248691992
r1.5k42n28,2,80.5492687745735
