GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k18n12,2566,214.62031214634834,10
r1.5k24n16,1538,526.8298255626204,10
r1.5k30n20,2417,182.0997938044751,10
r1.5k36n24,2106,143.34745308635632,10
r1.5k42n28,2715,82.6613754841645,10
r1.5k18n12,1310,678.015615582296,10
r1.5k24n16,2099,300.12112818000617,10
r1.5k30n20,1487,373.88599394487875,10
r1.5k36n24,2071,151.3599037134554,10
r1.5k42n28,2349,91.62530615477023,10
r1.5k18n12,1806,332.4606997218152,10
r1.5k24n16,1467,613.473872636095,10
r1.5k30n20,2973,99.66551504532835,10
r1.5k36n24,1383,178.06583973549536,10
r1.5k42n28,2999,71.05591699176355,10
r1.5k18n12,3849,96.94245395418582,10
r1.5k24n16,3148,104.31925348523096,10
r1.5k30n20,4459,25.870469021161863,10
r1.5k36n24,3159,86.65356497157592,10
r1.5k42n28,4498,25.770394236970912,10
r1.5k18n12,7056,53.38355250713194,10
r1.5k24n16,5772,26.649379758988243,10
r1.5k30n20,8175,3.4310913951779276,10
r1.5k36n24,5791,3.0742655407266235,10
r1.5k18n12,13792,67.07137191696748,10
r1.5k42n28,8247,1.1676879093736179,10
r1.5k24n16,11282,8.927387533109743,10
r1.5k30n20,6317,5.2636341902570365,10
r1.5k36n24,4475,23.852324112716612,10
r1.5k18n12,27424,66.08900076416302,10
r1.5k24n16,8527,12.279414150129151,10
r1.5k30n20,5388,10.645880374392581,10
r1.5k42n28,6372,4.747449099107884,10
r1.5k36n24,5133,10.125113120899588,10
r1.5k18n12,54768,59.50691502611828,10
r1.5k24n16,9904,7.882545254296128,10
r1.5k30n20,5852,7.0895107576124,10
r1.5k42n28,5435,9.525629097792073,10
r1.5k36n24,5462,4.725094549243545,10
r1.5k18n12,109496,62.46236443514963,10
r1.5k24n16,9215,10.547473988131358,10
r1.5k30n20,5620,9.126660843574,10
r1.5k42n28,4966,13.664062837648753,10
r1.5k36n24,5297,8.11726752513447,10
r1.5k18n12,218972,67.14416207736339,10
r1.5k24n16,9559,9.00141101819466,10
r1.5k30n20,5504,8.490791434198481,10
