Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,1589,349,11,16,"[0, 2, 0, 1, 1, 0, 0, 2, 1, 1, 0, 3, 2, 2, 1, 0, 0, 1, 4, 1, 0, 0, 1, 1, 3, 3, 1, 3, 4, 1, 4, 1, 1, 1, 2, 4, 4, 4, 4, 1, 5, 3, 1, 5, 4, 3, 3, 0, 1, 3, 4, 2, 2, 3, 0, 1, 4, 3, 1, 1, 2, 1, 2, 1, 2, 2, 3, 1, 4, 2, 2, 2, 4, 1, 4, 0, 1, 1, 3, 0, 1, 3, 2, 2, 1, 2, 1, 2, 3, 3, 2, 1, 1, 1, 0, 1, 2, 2, 1, 0, 2, 1, 0, 2, 2, 1, 1, 0, 2, 1, 1, 1, 0, 1, 1, 0, 1, 3, 3, 2, 1, 1, 1, 1, 3, 2, 2, 2, 2, 4, 0, 2, 1, 2, 1, 2, 1, 2, 1, 3, 1, 0, 5, 1, 5, 3, 1, 1, 2, 2, 0, 1, 2, 1, 2, 2, 2, 2, 1, 2, 3, 4, 1, 3, 3, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,1589,588,10,18,"[0, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 1, 1, 1, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 0, 1, 3, 1, 3, 3, 2, 2, 1, 1, 3, 3, 4, 3, 3, 2, 1, 3, 2, 1, 0, 1, 2, 4, 2, 2, 3, 4, 2, 4, 2, 3, 3, 0, 4, 1, 2, 3, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 0, 3, 3, 0, 2, 0, 3, 1, 4, 3, 3, 5, 2, 1, 0, 2, 1, 3, 1, 2, 1, 2, 2, 3, 2, 3, 3, 3, 3, 2, 3, 4, 2, 2, 1, 3, 2, 1, 2, 1, 4, 0, 4, 2, 4, 0, 3, 2, 3, 3, 2, 2, 2, 1, 3, 2, 1, 1, 2, 2, 1, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 3, 1, 2, 2, 2, 3, 2, 1, 3, 3, 2, 3, 2, 4, 4, 0, 1, 2, 2, 2, 2, 1, 2, 4, 0, 3, 2, 1, 2, 1, 3, 0, 1, 2, 1, 2, 1, 1, 1, 3, 3, 2, 2, 1, 1, 1, 0, 1, 1, 2, 0]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,1589,397,8,13,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 1, 0, 1, 2, 2, 1, 2, 3, 1, 1, 1, 2, 2, 3, 2, 2, 2, 1, 1, 2, 2, 3, 1, 3, 1, 2, 1, 1, 1, 3, 2, 2, 1, 3, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 0, 3, 3, 1, 1, 2, 2, 2, 3, 2, 3, 3, 3, 0, 2, 0, 0, 2, 2, 2, 1, 2, 0, 2, 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,1589,807,8,12,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 2, 1, 1, 1, 1, 2, 0, 2, 1, 2, 1, 3, 2, 1, 3, 0, 2, 1, 1, 2, 2, 2, 1, 3, 1, 2, 3, 1, 1, 4, 1, 2, 2, 4, 0, 1, 0, 2, 2, 1, 1, 2, 2, 3, 2, 1, 1, 4, 3, 4, 2, 3, 0, 2, 2, 0, 3, 2, 1, 4, 2, 2, 2, 0, 2, 4, 5, 3, 2, 5, 3, 1, 1, 4, 2, 5, 0, 0, 1, 0, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 4, 0, 1, 2, 3, 1, 2, 1, 1, 1, 1, 0, 1, 2, 1, 2, 1, 3, 1, 4, 4, 2, 3, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 0, 3, 3, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,1589,537,11,21,"[2, 2, 2, 1, 0, 2, 1, 2, 2, 2, 0, 2, 1, 3, 2, 3, 1, 2, 2, 2, 2, 1, 2, 3, 3, 2, 4, 4, 2, 2, 4, 3, 1, 2, 3, 2, 3, 1, 2, 1, 2, 3, 2, 3, 1, 2, 2, 2, 1, 3, 3, 2, 3, 3, 2, 2, 1, 1, 0, 2, 1, 3, 0, 3, 1, 1, 1, 3, 1, 1, 1, 4, 4, 3, 3, 1, 3, 1, 5, 1, 2, 2, 3, 0, 2, 3, 3, 4, 3, 3, 3, 1, 1, 2, 2, 2, 3, 3, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 2, 3, 3, 1, 2, 2, 1, 1, 0, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 3, 2, 1, 0, 2, 1, 1, 3, 2, 3, 1, 1, 1, 2, 3, 2, 1, 2, 1, 1, 2, 1, 3, 2, 1, 2, 3, 2, 1, 1, 2, 1, 2, 2, 2, 1, 3, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 1, 3, 1, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 3, 2, 3, 2, 1, 1, 1]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,1589,349,8,15,"[1, 2, 2, 1, 1, 3, 2, 3, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 3, 3, 1, 2, 2, 3, 3, 3, 2, 1, 3, 3, 4, 3, 4, 0, 4, 3, 3, 3, 1, 3, 1, 3, 1, 0, 3, 3, 3, 3, 4, 2, 2, 3, 3, 4, 2, 3, 4, 0, 1, 2, 5, 1, 2, 0, 2, 2, 1, 2, 2, 2, 1, 1, 3, 2, 1, 2, 2, 4, 2, 3, 2, 3, 2, 2, 3, 1, 3, 3, 0, 2, 2, 2, 0, 1, 1, 1, 3, 1, 2, 3, 2, 2, 2, 2, 1, 3, 2, 2, 1, 1, 0, 3, 2, 1, 2, 2, 1, 2, 2, 2, 3, 0, 2, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 0, 1, 2, 1, 1, 2, 0, 2, 0, 0, 2, 0, 0, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 0, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,1589,843,10,16,"[2, 2, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 2, 1, 0, 0, 1, 3, 2, 2, 4, 2, 2, 1, 5, 3, 3, 4, 4, 1, 1, 2, 2, 3, 3, 2, 2, 1, 4, 2, 3, 2, 4, 3, 3, 3, 3, 4, 3, 4, 1, 5, 3, 4, 1, 3, 2, 2, 2, 3, 2, 3, 1, 2, 3, 1, 2, 1, 1, 2, 3, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 1, 2, 1, 0, 2, 1, 1, 1, 3, 1, 5, 2, 2, 4, 1, 1, 3, 2, 2, 2, 1, 2, 1, 3, 2, 2, 4, 3, 3, 3, 2, 7, 3, 4, 4, 3, 2, 5, 5, 5, 1, 1, 3, 2, 5, 3, 2, 4, 2, 2, 3, 3, 4, 4, 5, 1, 3, 3, 2, 3, 1, 3, 3, 2, 1, 3, 1, 1, 5, 3, 4, 2, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 1, 1, 1, 1, 0, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,1589,380,11,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 0, 2, 1, 1, 1, 2, 1, 1, 2, 0, 2, 0, 2, 1, 2, 2, 1, 2, 1, 2, 3, 1, 3, 3, 1, 3, 4, 3, 2, 1, 4, 2, 2, 3, 4, 1, 2, 1, 3, 3, 1, 2, 2, 2, 3, 2, 4, 1, 2, 5, 4, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2, 0, 2, 2, 1, 1, 3, 2, 2, 1, 0, 2, 1, 0, 1, 3, 1, 1, 1, 1, 4, 2, 2, 4, 2, 1, 2, 1, 1, 2, 2, 4, 0, 2, 3, 1, 3, 3, 2, 3, 3, 3, 6, 1, 4, 6, 3, 2, 4, 3, 4, 2, 3, 2, 6, 0, 4, 5, 2, 3, 4, 4, 2, 4, 2, 6, 4, 5, 2, 1, 3, 1, 2, 2, 6, 2, 4, 4, 4, 3, 3, 4, 2, 5, 2, 1, 1, 3, 5, 2, 1, 1, 3, 2, 3, 2, 2, 1, 3, 3, 2, 3, 2, 1, 2, 2, 1, 0, 3, 2, 3]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,1589,475,11,13,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 3, 3, 2, 0, 1, 1, 2, 1, 3, 1, 3, 2, 3, 1, 1, 0, 0, 2, 1, 4, 1, 2, 2, 1, 0, 1, 0, 3, 0, 3, 2, 4, 2, 2, 3, 4, 2, 1, 1, 2, 2, 0, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 5, 2, 0, 1, 1, 2, 2, 4, 1, 1, 1, 1, 1, 4, 0, 1, 3, 3, 4, 3, 3, 3, 2, 4, 2, 3, 3, 3, 3, 2, 3, 6, 5, 2, 4, 1, 2, 3, 3, 4, 2, 2, 4, 0, 2, 3, 2, 2, 3, 0, 2, 2, 1, 3, 2, 2, 2, 2, 2, 2, 3, 2, 0, 2, 1, 2, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 4, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,1589,371,8,18,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 4, 3, 2, 3, 1, 1, 3, 1, 2, 2, 3, 1, 2, 2, 2, 1, 2, 3, 3, 1, 0, 2, 2, 3, 3, 3, 2, 2, 2, 1, 3, 1, 1, 1, 0, 2, 1, 3, 1, 1, 5, 5, 2, 2, 1, 1, 0, 0, 3, 1, 2, 2, 1, 2, 2, 0, 2, 4, 2, 2, 3, 2, 3, 3, 1, 3, 3, 0, 0, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 4, 1, 2, 4, 2, 1, 0, 3, 4, 1, 2, 4, 3, 2, 1, 1, 4, 2, 2, 1, 2, 1, 0, 2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 3, 1, 2, 2, 1, 3, 2, 2, 2, 2, 3, 0, 1, 1, 1, 1, 2, 2]"
