Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,12792,3304,17,150,"[0, 2, 2, 1, 1, 0, 0, 1, 1, 1, 1, 4, 3, 1, 1, 0, 1, 2, 29, 2, 1, 28, 29, 1, 5, 4, 2, 2, 4, 1, 2, 2, 2, 4, 2, 1, 1, 2, 2, 3, 2, 3, 2, 1, 3, 3, 3, 1, 1, 1, 2, 2, 2, 4, 2, 3, 2, 1, 1, 2, 1, 2, 2, 1, 3, 2, 3, 2, 4, 3, 1, 2, 4, 1, 1, 2, 2, 2, 2, 1, 3, 4, 2, 4, 1, 2, 1, 3, 1, 4, 3, 5, 1, 1, 0, 3, 2, 1, 1, 3, 5, 2, 1, 2, 2, 2, 1, 0, 1, 1, 2, 4, 0, 5, 2, 2, 5, 3, 4, 5, 1, 1, 1, 1, 4, 2, 57, 2, 4, 57, 2, 4, 2, 3, 0, 5, 5, 3, 1, 1, 1, 3, 3, 2, 4, 0, 0, 3, 2, 2, 0, 2, 2, 0, 2, 4, 2, 1, 4, 0, 3, 15, 1, 14, 14, 0, 3, 1, 2, 2, 2, 1, 0, 1, 1, 2, 1, 0, 0, 0, 0, 3, 1, 1, 2, 0, 1, 1, 1, 1, 1, 33, 1, 0, 0, 64, 1, 1, 1, 1, 1]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,12792,3595,57,790,"[0, 7, 2, 1, 2, 1, 2, 3, 1, 7, 2, 4, 2, 0, 3, 1, 2, 2, 1, 1, 3, 0, 2, 2, 1, 3, 1, 3, 1, 1, 1, 3, 1, 2, 1, 1, 3, 1, 246, 2, 1, 292, 3, 303, 246, 93, 93, 3, 3, 3, 2, 2, 2, 3, 3, 1, 3, 1, 2, 27, 2, 3, 2, 28, 1, 2, 1, 1, 3, 1, 1, 3, 2, 0, 2, 2, 0, 3, 0, 1, 2, 2, 2, 2, 0, 1, 1, 1, 2, 2, 1, 5, 2, 5, 1, 1, 2, 1, 110, 4, 3, 6, 10, 6, 1, 117, 182, 6, 4, 0, 1, 4, 225, 4, 445, 5, 183, 6, 113, 7, 7, 1, 9, 5, 6, 2, 9, 112, 6, 225, 1, 7, 2, 5, 161, 292, 7, 5, 3, 4, 6, 1, 9, 4, 11, 5, 6, 5, 5, 3, 5, 2, 3, 4, 135, 1, 8, 5, 4, 5, 4, 1, 134, 3, 1, 102, 3, 41, 41, 0, 1, 102, 4, 4, 3, 34, 1, 41, 1, 42, 2, 1, 33, 1, 2, 0, 2, 0, 2, 0, 1, 2, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 29, 1, 28]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,12792,2880,108,1070,"[1, 2, 2, 1, 3, 2, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 3, 0, 2, 0, 1, 2, 1, 2, 2, 0, 1, 33, 111, 1, 0, 1, 38, 37, 67, 111, 1, 1, 2, 4, 2, 3, 3, 4, 4, 1, 2, 1, 4, 3, 7, 2, 4, 2, 2, 1, 1, 6, 4, 437, 5, 440, 3, 2, 3, 6, 5, 7, 1, 2, 2, 6, 5, 6, 1, 7, 3, 1, 2, 1, 4, 4, 22, 7, 461, 4, 1, 22, 3, 455, 6, 7, 165, 166, 177, 2, 3, 179, 4, 120, 121, 5, 3, 5, 2, 5, 274, 0, 1, 1, 32, 177, 31, 121, 271, 2, 1, 1, 477, 1, 19, 349, 19, 2, 1, 2, 1, 278, 1, 3, 135, 20, 20, 1, 1, 134, 0, 2, 2, 2, 3, 120, 1, 2, 119, 0, 0, 2, 1, 2, 1, 3, 3, 1, 120, 1, 3, 2, 1, 120, 1, 1, 1, 1, 91, 334, 1, 133, 1, 136, 296, 1, 2, 136, 2, 1, 1, 2, 2, 2, 1]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,12792,4540,20,44,"[2, 2, 2, 2, 3, 2, 2, 3, 3, 2, 4, 3, 4, 2, 3, 2, 3, 2, 2, 2, 2, 1, 6, 3, 2, 4, 3, 1, 4, 3, 2, 2, 2, 3, 1, 2, 1, 1, 3, 3, 1, 1, 2, 2, 1, 1, 3, 2, 1, 2, 2, 2, 3, 1, 2, 1, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 3, 3, 3, 2, 6, 7, 1, 3, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 2, 3, 2, 3, 2, 3, 2, 0, 2, 2, 1, 2, 3, 2, 3, 3, 2, 2, 1, 3, 2, 2, 1, 2, 4, 1, 5, 2, 1, 4, 2, 3, 5, 3, 2, 3, 0, 1, 2, 0, 1, 3, 1, 2, 3, 6, 3, 1, 6, 2, 1, 3, 3, 2, 3, 5, 4, 3, 1, 1, 2, 4, 2, 1, 1, 3, 0, 0, 2, 2, 0, 4, 2, 0, 2, 1, 0, 2, 2, 1, 2, 4, 1, 3, 1, 2, 0, 2, 2, 2, 3, 1, 2, 1, 5, 1, 5, 2, 2, 2, 0, 3, 1, 2, 2, 35, 34, 34, 33, 1, 3]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,12792,3112,12,451,"[3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 1, 2, 3, 1, 2, 3, 3, 1, 2, 4, 2, 3, 3, 1, 3, 1, 2, 1, 1, 1, 2, 3, 3, 3, 1, 1, 2, 2, 2, 1, 3, 2, 1, 2, 3, 1, 2, 3, 1, 2, 4, 2, 3, 2, 2, 2, 2, 1, 1, 2, 2, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 4, 2, 2, 2, 2, 0, 2, 3, 2, 1, 2, 1, 2, 2, 1, 1, 3, 2, 3, 1, 3, 5, 3, 1, 2, 4, 5, 1, 1, 2, 2, 2, 1, 2, 3, 2, 3, 1, 1, 0, 2, 1, 3, 2, 1, 2, 1, 0, 1, 1, 2, 2, 1, 2, 2, 4, 3, 0, 0, 0, 3, 2, 0, 2, 0, 4, 1, 4, 3, 2, 4, 2, 1, 4, 3, 3, 2, 2, 1, 1, 3, 2, 3, 1, 1, 3, 111, 1, 2, 1, 2, 1, 2, 1, 3, 2, 2, 3, 2, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 1, 1, 115, 1, 1, 1, 2, 2, 4, 4, 4, 4, 4, 115, 1, 1, 282, 114, 225, 1, 1, 2, 1, 181, 2]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,12792,3215,37,437,"[3, 4, 1, 1, 3, 5, 2, 1, 1, 7, 1, 1, 4, 0, 2, 3, 1, 3, 3, 6, 2, 3, 3, 4, 0, 4, 3, 4, 6, 4, 4, 2, 4, 4, 5, 3, 4, 5, 6, 3, 1, 1, 1, 3, 4, 1, 3, 4, 2, 14, 1, 2, 1, 2, 2, 5, 2, 1, 4, 4, 1, 5, 5, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 2, 3, 2, 1, 10, 1, 3, 10, 1, 2, 2, 2, 3, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 3, 140, 119, 2, 53, 4, 197, 5, 2, 1, 2, 5, 5, 3, 196, 4, 216, 214, 11, 3, 3, 5, 10, 131, 1, 3, 133, 2, 2, 4, 2, 2, 2, 4, 1, 3, 3, 4, 47, 1, 7, 40, 26, 1, 1, 1, 1, 27, 2, 2, 1, 1, 1, 30, 1, 1, 24, 2, 5, 4, 5, 1, 0, 2, 2, 2, 190, 189, 2, 2, 189, 2, 1, 1, 0, 2, 1, 1, 2, 1, 3, 1, 2, 1, 3, 1, 2, 3, 1, 1, 0, 2, 1, 2, 2]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,12792,2697,108,1090,"[5, 5, 0, 2, 0, 0, 7, 3, 5, 4, 1, 1, 3, 1, 0, 0, 6, 4, 2, 1, 2, 3, 4, 1, 4, 6, 3, 4, 2, 1, 1, 2, 1, 1, 3, 3, 2, 1, 1, 2, 1, 1, 2, 1, 3, 2, 2, 3, 2, 427, 2, 3, 428, 3, 0, 3, 0, 3, 2, 14, 5, 15, 5, 3, 1, 4, 6, 10, 5, 5, 2, 5, 4, 2, 5, 5, 2, 6, 6, 2, 5, 5, 2, 4, 5, 4, 5, 5, 3, 2, 3, 4, 4, 6, 5, 5, 7, 3, 3, 3, 3, 4, 7, 2, 0, 5, 6, 120, 4, 5, 4, 5, 5, 118, 5, 4, 7, 154, 118, 2, 4, 3, 3, 92, 96, 4, 0, 1, 117, 0, 117, 0, 2, 1, 3, 5, 1, 4, 4, 4, 1, 0, 3, 3, 3, 4, 2, 1, 5, 6, 8, 662, 1, 327, 174, 403, 3, 7, 587, 327, 7, 117, 5, 333, 118, 417, 4, 403, 7, 11, 8, 5, 155, 173, 4, 4, 176, 68, 18, 5, 3, 4, 202, 24, 6, 4, 2, 304, 147, 3, 7, 40, 172, 252, 55, 14, 1, 270, 3, 283, 16, 20, 1]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,12792,2848,24,462,"[1, 1, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 3, 3, 3, 1, 1, 1, 2, 1, 4, 1, 1, 2, 0, 4, 1, 1, 1, 3, 3, 1, 3, 1, 2, 4, 0, 0, 6, 5, 1, 3, 1, 3, 4, 4, 3, 0, 5, 6, 1, 3, 0, 6, 3, 4, 1, 5, 5, 3, 2, 3, 4, 2, 4, 6, 5, 1, 2, 5, 1, 6, 3, 4, 2, 2, 3, 2, 2, 6, 4, 1, 4, 0, 3, 7, 4, 3, 4, 1, 6, 6, 1, 3, 6, 3, 2, 5, 3, 3, 2, 3, 4, 4, 3, 5, 3, 2, 2, 4, 2, 3, 4, 3, 2, 2, 1, 5, 6, 2, 7, 114, 5, 7, 2, 3, 2, 2, 117, 115, 3, 2, 4, 2, 3, 4, 4, 3, 3, 2, 4, 3, 5, 3, 51, 3, 4, 3, 2, 3, 6, 3, 3, 51, 3, 4, 4, 34, 141, 31, 121, 31, 3, 7, 53, 32, 5, 5, 4, 3, 3, 4, 3, 5, 1, 4, 2, 2, 0, 47, 5, 2, 13, 57, 4, 2, 285, 271, 15, 4, 5, 103, 4, 4, 2, 0, 3, 15, 92]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,12792,3758,56,1274,"[0, 2, 1, 1, 0, 0, 2, 2, 1, 0, 1, 2, 0, 2, 4, 4, 5, 2, 2, 0, 0, 1, 2, 3, 1, 4, 1, 2, 4, 2, 1, 1, 2, 1, 4, 4, 1, 2, 2, 0, 1, 1, 2, 2, 1, 1, 5, 0, 3, 2, 3, 1, 5, 0, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 3, 2, 1, 2, 2, 2, 1, 3, 3, 1, 6, 4, 2, 6, 2, 3, 192, 192, 5, 192, 4, 4, 4, 4, 5, 3, 3, 376, 374, 4, 3, 3, 1, 376, 3, 3, 6, 4, 4, 5, 2, 2, 4, 5, 5, 61, 196, 199, 590, 886, 7, 61, 2, 144, 268, 5, 0, 0, 1, 213, 4, 196, 21, 0, 1, 195, 2, 3, 1, 2, 3, 2, 3, 3, 1, 2, 2, 1, 3, 1, 2, 3, 3, 2, 4, 4, 2, 2, 1, 3, 1, 3, 1, 7, 2, 5, 2, 2, 4, 6, 4, 2, 1, 201, 389, 61, 60, 0, 2, 2, 2, 110, 428, 334, 332, 244, 334, 44, 2, 1, 1]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,12792,2268,95,1012,"[3, 1, 1, 3, 2, 1, 0, 1, 0, 3, 0, 4, 1, 1, 2, 1, 0, 3, 6, 6, 2, 1, 1, 1, 7, 9, 1, 0, 9, 0, 0, 1, 1, 2, 0, 0, 4, 4, 14, 2, 1, 6, 2, 7, 13, 0, 13, 77, 1, 78, 3, 2, 77, 123, 1, 242, 1, 1, 1, 1, 2, 3, 1, 1, 109, 107, 3, 1, 2, 108, 2, 4, 3, 3, 5, 4, 3, 2, 3, 4, 1, 1, 2, 3, 266, 100, 49, 49, 100, 174, 2, 49, 3, 2, 579, 185, 644, 1, 2, 2, 89, 90, 3, 2, 71, 1, 1, 17, 17, 1, 17, 72, 18, 2, 17, 0, 232, 20, 1, 20, 232, 2, 1, 28, 18, 6, 0, 1, 0, 1, 2, 1, 4, 1, 1, 3, 3, 3, 101, 2, 4, 1, 2, 109, 90, 7, 1, 3, 22, 3, 2, 2, 3, 1, 2, 1, 21, 3, 4, 14, 4, 343, 3, 2, 1, 4, 1, 4, 1, 1, 334, 17, 89, 4, 14, 1, 102, 355, 345, 4, 4, 15, 6, 6, 91, 1, 1, 4, 3, 11, 6, 91, 4, 3, 3, 1, 1, 1, 1, 6, 12]"
