Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,3784,183,4,12,"[1, 2, 3, 4, 2, 0, 0, 1, 4, 3, 1, 4, 6, 3, 4, 3, 2, 6, 4, 2, 3, 3, 4, 4, 4, 4, 6, 2, 2, 6, 2, 1, 2, 2, 2, 2, 3, 2, 6, 2, 3, 2, 2, 1, 2, 2, 5, 2, 1, 2, 5, 3, 5, 2, 2, 4, 3, 5, 2, 1, 1, 1, 2, 2, 3, 1, 2, 1, 6, 3, 3, 2, 4, 0, 1, 0, 2, 2, 1, 2, 2, 2, 4, 2, 1, 2, 0, 2, 1, 3, 2, 3, 4, 1, 2, 3, 2, 3, 5, 2, 2, 2, 1, 3, 1, 1, 1, 2, 1, 0, 2, 4, 3, 2, 1, 1, 2, 2, 3, 4, 0, 2, 1, 0, 1, 2, 2, 1, 1, 4, 1, 0, 1, 0, 2, 1, 1, 3, 1, 1, 1, 1, 5, 2, 4, 1, 1, 2, 3, 2, 2, 1, 4, 1, 3, 4, 2, 2, 1, 2, 1, 3, 1, 2, 2, 2, 4, 0, 1, 1, 3, 0, 0, 4, 2, 0, 3, 0, 2, 1, 1, 1, 0, 1, 3, 2, 1, 1, 1, 3, 4, 2, 1, 1, 0, 1, 1, 0, 1, 1, 1]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,3784,300,5,9,"[1, 3, 2, 0, 1, 1, 2, 1, 0, 4, 2, 1, 2, 1, 2, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 5, 1, 0, 1, 4, 1, 6, 2, 2, 3, 1, 4, 2, 1, 3, 2, 2, 3, 1, 3, 4, 2, 2, 3, 3, 3, 4, 3, 3, 2, 3, 2, 2, 2, 2, 4, 1, 0, 2, 2, 3, 1, 3, 2, 2, 0, 1, 3, 2, 2, 2, 1, 2, 2, 2, 3, 1, 6, 5, 6, 1, 2, 2, 3, 2, 2, 1, 3, 1, 1, 3, 3, 1, 0, 2, 2, 0, 2, 1, 1, 0, 2, 1, 1, 2, 3, 0, 1, 0, 2, 1, 1, 0, 0, 1, 1, 2, 1, 1, 2, 4, 1, 4, 2, 1, 2, 0, 2, 2, 3, 1, 1, 5, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 2, 1, 2, 1, 0, 1, 2, 2, 0, 1, 4, 1, 3, 1, 5, 2, 1, 3, 1, 0, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 4, 2, 4, 1, 1, 3, 2, 3]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,3784,458,5,10,"[0, 4, 1, 1, 1, 3, 1, 2, 1, 1, 6, 3, 0, 1, 1, 4, 2, 2, 1, 2, 3, 1, 1, 1, 2, 1, 1, 0, 5, 0, 1, 6, 0, 1, 3, 3, 1, 1, 1, 3, 6, 5, 2, 1, 6, 2, 0, 2, 1, 4, 2, 2, 3, 2, 3, 2, 2, 2, 5, 2, 2, 4, 1, 1, 1, 2, 1, 3, 3, 4, 2, 2, 1, 1, 4, 3, 2, 5, 2, 3, 2, 3, 4, 3, 3, 2, 2, 0, 3, 2, 5, 2, 3, 2, 3, 1, 1, 2, 4, 4, 2, 4, 1, 0, 4, 1, 4, 3, 2, 2, 2, 4, 3, 1, 3, 0, 4, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 1, 4, 2, 2, 3, 1, 1, 1, 2, 1, 2, 3, 2, 1, 1, 1, 1, 4, 1, 3, 3, 2, 2, 1, 1, 4, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 5, 1, 3, 5, 2, 2, 2, 2, 1, 2, 0, 0, 2, 4, 2, 7, 6, 1, 1, 2, 3, 5, 1, 1, 4, 0, 2, 1, 1, 1, 1, 2]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,3784,259,6,7,"[1, 3, 2, 2, 1, 2, 2, 2, 3, 4, 1, 2, 3, 3, 3, 1, 2, 2, 2, 2, 3, 0, 2, 2, 2, 3, 1, 1, 3, 0, 1, 1, 1, 5, 1, 3, 1, 1, 2, 4, 1, 3, 2, 1, 2, 1, 2, 2, 1, 1, 2, 0, 4, 4, 2, 3, 2, 2, 1, 2, 1, 1, 0, 0, 3, 0, 1, 1, 3, 0, 3, 0, 2, 1, 5, 3, 3, 2, 2, 4, 4, 3, 1, 2, 2, 2, 2, 3, 4, 1, 2, 3, 1, 5, 2, 3, 1, 2, 1, 3, 3, 4, 2, 4, 2, 3, 2, 1, 4, 3, 2, 0, 3, 5, 3, 2, 2, 4, 2, 2, 4, 3, 1, 0, 1, 3, 2, 1, 3, 0, 1, 0, 1, 3, 4, 2, 1, 1, 2, 1, 2, 2, 3, 2, 3, 2, 1, 3, 1, 3, 1, 4, 1, 1, 1, 3, 2, 1, 3, 0, 2, 4, 3, 1, 1, 1, 1, 0, 2, 2, 4, 3, 4, 2, 1, 4, 3, 3, 1, 1, 0, 2, 0, 0, 0, 1, 3, 1, 2, 1, 0, 1, 1, 0, 2, 0, 3, 3, 1, 0]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,3784,317,4,10,"[1, 3, 1, 1, 1, 1, 0, 2, 0, 2, 1, 1, 2, 2, 3, 1, 1, 2, 0, 3, 3, 1, 4, 0, 3, 1, 0, 3, 3, 1, 2, 3, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 3, 1, 1, 2, 2, 2, 2, 1, 2, 3, 3, 2, 2, 1, 2, 0, 2, 1, 2, 1, 2, 3, 5, 5, 3, 3, 3, 3, 3, 4, 1, 2, 0, 1, 1, 1, 3, 0, 2, 2, 2, 2, 1, 4, 1, 0, 2, 2, 3, 0, 1, 2, 7, 3, 4, 3, 1, 4, 2, 5, 2, 5, 5, 2, 2, 2, 2, 3, 4, 3, 2, 5, 2, 2, 1, 2, 3, 2, 5, 4, 3, 3, 3, 4, 3, 5, 2, 2, 3, 6, 4, 2, 3, 5, 3, 4, 3, 2, 4, 0, 3, 5, 2, 5, 4, 3, 2, 1, 4, 0, 1, 4, 1, 3, 1, 2, 3, 3, 2, 1, 2, 3, 1, 2, 3, 0, 2, 6, 0, 2, 0, 1, 4, 2, 2, 2, 1, 2, 2, 2, 3, 5, 1, 3, 2, 1, 3, 4, 2, 3, 4, 4, 5, 1, 4, 4]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,3784,250,3,13,"[3, 3, 0, 4, 6, 6, 5, 1, 0, 7, 1, 1, 5, 1, 2, 1, 1, 4, 4, 0, 1, 0, 2, 2, 0, 2, 2, 1, 1, 2, 0, 2, 3, 3, 3, 8, 4, 2, 5, 1, 0, 1, 4, 6, 7, 3, 3, 3, 5, 3, 3, 6, 2, 2, 7, 3, 4, 5, 3, 3, 2, 2, 6, 5, 6, 1, 1, 1, 1, 3, 1, 5, 0, 1, 3, 2, 0, 4, 0, 2, 3, 5, 3, 2, 1, 1, 3, 1, 3, 3, 5, 6, 7, 3, 1, 5, 6, 0, 1, 6, 4, 5, 7, 4, 6, 6, 2, 6, 2, 6, 4, 4, 2, 4, 2, 7, 5, 5, 3, 2, 4, 6, 4, 7, 4, 5, 4, 5, 2, 2, 4, 5, 3, 4, 3, 3, 2, 3, 4, 2, 4, 3, 7, 3, 1, 0, 6, 2, 5, 2, 3, 1, 5, 2, 4, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 0, 3, 6, 1, 5, 2, 2, 5, 5, 1, 1, 1, 1, 2, 0, 1, 1, 1, 2, 3, 3, 0, 1, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,3784,373,5,6,"[2, 0, 1, 2, 0, 1, 3, 3, 2, 2, 2, 1, 3, 1, 1, 2, 3, 1, 2, 5, 1, 3, 2, 2, 2, 3, 2, 1, 1, 1, 2, 2, 2, 1, 3, 2, 2, 1, 1, 2, 2, 0, 2, 0, 1, 1, 3, 2, 2, 0, 1, 2, 2, 1, 0, 2, 1, 2, 1, 2, 2, 4, 1, 4, 1, 1, 2, 3, 0, 3, 2, 2, 1, 3, 0, 2, 1, 1, 1, 1, 3, 2, 2, 0, 0, 1, 3, 3, 3, 1, 1, 4, 2, 3, 2, 1, 3, 3, 1, 2, 4, 3, 1, 2, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 1, 3, 3, 4, 2, 3, 4, 3, 2, 2, 2, 2, 1, 4, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 5, 4, 2, 1, 3, 2, 1, 3, 2, 3, 1, 1, 3, 2, 2, 2, 4, 5, 3, 2, 3, 3, 2, 4, 2, 3, 2, 4, 3, 3, 4, 3, 4, 1, 1, 2, 1, 1, 2, 2, 3, 3, 1, 1, 2, 2, 2, 3, 2, 3, 2, 2, 0, 2, 4, 2, 4, 0, 3, 0, 0, 4, 3, 2, 2]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,3784,316,8,14,"[0, 1, 4, 4, 0, 0, 1, 0, 1, 1, 0, 2, 6, 1, 3, 7, 3, 2, 2, 1, 4, 0, 6, 1, 1, 5, 1, 5, 1, 3, 1, 3, 3, 0, 4, 2, 1, 3, 1, 1, 3, 3, 2, 3, 2, 3, 1, 2, 2, 2, 3, 5, 5, 2, 1, 4, 2, 2, 5, 5, 1, 5, 4, 7, 5, 6, 3, 7, 2, 6, 6, 8, 4, 5, 5, 6, 4, 3, 2, 4, 2, 4, 3, 5, 1, 2, 2, 4, 5, 6, 2, 0, 7, 4, 2, 5, 4, 4, 5, 5, 1, 5, 3, 2, 1, 7, 1, 3, 2, 3, 3, 2, 4, 4, 4, 3, 2, 4, 1, 7, 6, 4, 3, 3, 5, 5, 2, 1, 1, 2, 4, 4, 2, 0, 1, 1, 3, 2, 1, 0, 2, 2, 3, 1, 5, 4, 2, 5, 5, 2, 6, 2, 3, 3, 4, 2, 1, 3, 2, 1, 5, 5, 3, 4, 3, 3, 4, 2, 1, 5, 2, 4, 3, 3, 2, 1, 1, 3, 6, 3, 1, 2, 2, 1, 4, 1, 2, 2, 6, 4, 4, 2, 5, 4, 2, 4, 2, 1, 1, 2, 3]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,3784,451,6,17,"[5, 5, 4, 2, 2, 2, 4, 3, 1, 5, 3, 5, 4, 6, 3, 2, 1, 4, 3, 4, 3, 7, 5, 6, 6, 5, 2, 5, 4, 7, 3, 6, 5, 1, 5, 7, 8, 6, 2, 5, 5, 1, 1, 2, 4, 4, 3, 3, 1, 2, 3, 2, 2, 2, 1, 1, 6, 0, 5, 3, 3, 2, 4, 3, 6, 2, 4, 1, 5, 1, 1, 2, 0, 2, 0, 3, 2, 3, 1, 2, 2, 5, 3, 1, 1, 6, 1, 2, 3, 2, 4, 1, 5, 5, 3, 0, 1, 0, 4, 6, 4, 3, 1, 2, 0, 2, 1, 3, 3, 1, 2, 1, 0, 0, 1, 6, 1, 2, 3, 1, 1, 4, 1, 2, 2, 1, 1, 1, 0, 4, 3, 1, 1, 2, 0, 4, 1, 1, 2, 1, 0, 7, 1, 3, 2, 4, 5, 1, 7, 3, 5, 1, 3, 7, 7, 1, 2, 5, 3, 2, 3, 2, 2, 8, 4, 3, 2, 5, 2, 2, 3, 3, 3, 2, 2, 3, 2, 4, 2, 2, 2, 3, 3, 3, 1, 7, 8, 1, 6, 0, 2, 1, 2, 3, 3, 1, 2, 6, 1, 4, 1, 1, 0]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,3784,367,4,12,"[1, 2, 1, 4, 3, 4, 4, 4, 4, 4, 1, 1, 0, 0, 2, 0, 1, 2, 4, 4, 1, 2, 1, 2, 6, 4, 1, 0, 6, 0, 1, 2, 2, 1, 1, 1, 3, 1, 1, 4, 1, 5, 3, 5, 2, 1, 2, 1, 1, 4, 3, 2, 1, 2, 0, 2, 1, 0, 1, 1, 1, 2, 2, 1, 6, 7, 2, 1, 1, 5, 2, 5, 4, 1, 2, 5, 2, 3, 2, 4, 2, 1, 4, 3, 2, 3, 6, 4, 2, 2, 5, 4, 5, 2, 6, 5, 2, 1, 5, 5, 5, 3, 4, 3, 4, 6, 3, 4, 5, 2, 5, 4, 3, 2, 2, 1, 6, 3, 3, 5, 5, 5, 4, 4, 5, 2, 2, 2, 0, 1, 3, 3, 4, 3, 3, 3, 2, 4, 5, 3, 4, 3, 3, 5, 2, 2, 1, 3, 2, 3, 2, 4, 3, 2, 2, 2, 4, 2, 3, 2, 2, 4, 2, 1, 0, 2, 0, 1, 2, 3, 3, 2, 2, 2, 1, 2, 1, 4, 1, 2, 2, 0, 1, 3, 2, 1, 2, 4, 2, 0, 3, 1, 1, 4, 3, 2, 3, 1, 1, 2, 2]"
10,random graphs/ratio_d3/r1.5k18n12/graph10.lgbin,3784,364,5,10,"[4, 3, 3, 5, 2, 6, 4, 4, 4, 2, 3, 4, 6, 5, 0, 3, 4, 3, 3, 5, 5, 3, 5, 1, 1, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 3, 2, 5, 2, 3, 6, 2, 5, 2, 2, 3, 2, 1, 2, 4, 1, 4, 2, 4, 2, 2, 2, 1, 4, 4, 2, 6, 4, 2, 3, 3, 2, 3, 2, 1, 2, 3, 3, 1, 4, 1, 4, 3, 1, 3, 2, 4, 3, 3, 4, 7, 5, 3, 3, 3, 4, 1, 2, 1, 2, 5, 4, 2, 1, 2, 5, 5, 3, 1, 5, 3, 1, 3, 2, 1, 3, 5, 4, 5, 4, 2, 3, 3, 3, 4, 1, 3, 2, 2, 2, 0, 1, 3, 2, 5, 2, 4, 1, 2, 3, 3, 1, 3, 3, 2, 2, 2, 1, 3, 4, 1, 2, 2, 2, 4, 2, 2, 1, 0, 2, 0, 4, 4, 2, 3, 4, 2, 4, 3, 2, 2, 1, 1, 0, 3, 2, 1, 1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 0, 1, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 1]"
