Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,1572,766,9,13,"[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 2, 2, 3, 1, 3, 3, 2, 2, 3, 1, 2, 2, 3, 2, 3, 2, 3, 3, 2, 2, 3, 4, 2, 4, 2, 3, 3, 4, 3, 4, 4, 4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 3, 3, 3, 0, 4, 3, 2, 1, 3, 1, 3, 3, 1, 1, 2, 1, 2, 5, 1, 5, 1, 2, 1, 3, 5, 2, 3, 4, 3, 2, 2, 3, 2, 2, 3, 2, 3, 1, 0, 1, 1, 0, 1, 2, 1, 1, 2, 2, 0, 1, 0, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 3, 1, 3, 2, 2, 3, 1, 1, 2, 3, 2, 3, 2, 2, 1, 3, 2, 3, 3, 2, 2, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 4, 3, 4, 1, 2, 2, 2, 3, 2, 3, 0, 2, 2, 2, 2, 2, 1, 2, 2, 0, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,1572,575,6,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 0, 1, 2, 0, 3, 0, 1, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 3, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 3, 1, 3, 2, 1, 3, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,1572,466,10,11,"[1, 1, 2, 2, 0, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 2, 3, 3, 4, 3, 3, 2, 3, 3, 4, 3, 3, 3, 1, 2, 3, 3, 3, 3, 2, 2, 2, 4, 2, 2, 4, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 0, 2, 2, 1, 0, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 2, 1, 1, 2, 3, 3, 1, 1, 1, 2, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 2, 2, 3, 2, 3, 3, 1, 3, 3, 3, 2, 2, 1, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 1]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,1572,821,7,11,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 3, 2, 1, 1, 1, 1, 2, 3, 1, 1, 3, 2, 3, 2, 1, 3, 2, 3, 2, 2, 3, 3, 4, 3, 3, 1, 3, 2, 3, 2, 1, 2, 3, 3, 2, 3, 3, 3, 2, 1, 4, 1, 3, 1, 1, 1, 3, 1, 3, 3, 2, 3, 2, 3, 3, 3, 1, 3, 1, 2, 2, 3, 3, 3, 2, 1, 3, 3, 2, 2, 1, 4, 2, 2, 2, 2, 2, 2, 3, 2, 0, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 0, 3, 1, 1, 2, 1, 3, 3, 1, 4, 3, 2, 2, 2, 1, 2, 0, 3, 0, 1, 2, 3, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,1572,443,10,15,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 0, 2, 2, 1, 2, 1, 1, 1, 0, 1, 2, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 1, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 3, 1, 4, 2, 4, 2, 2, 4, 2, 5, 5, 3, 2, 5, 4, 6, 3, 3, 5, 4, 3, 8, 6, 3, 5, 4, 4, 4, 2, 3, 5, 3, 4, 4, 3, 4, 5, 3, 4, 4, 3, 4, 4, 5, 5, 4, 2, 4, 2, 3, 4, 4, 4, 4, 4, 3, 2, 3, 2, 4, 2, 2, 2, 2, 2, 2, 3, 3, 1, 2, 0, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,1572,325,6,9,"[1, 1, 0, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 2, 0, 2, 1, 2, 2, 1, 3, 2, 3, 2, 1, 1, 0, 2, 2, 3, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 3, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 4, 4, 4, 4, 2, 3, 4, 4, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 2, 3, 2, 1, 0, 0, 2, 1, 0, 1, 0, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,1572,784,6,7,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 0, 0, 3, 3, 1, 2, 1, 2, 1, 1, 1, 0, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 2, 2, 2, 3, 1, 2, 2, 1, 1, 2, 3, 2, 1, 2, 2, 1, 1, 1, 3, 3, 3, 1, 2, 2, 3, 2, 3, 3, 2, 2, 3, 3, 3, 1, 2, 2, 3, 3, 1, 0, 2, 2, 3, 3, 2, 0, 3, 3, 0, 2, 2, 1, 2, 2, 1, 2, 3, 2, 4, 2, 2, 2, 1, 3, 3, 2, 2, 2, 2, 1, 0, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,1572,416,6,10,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 3, 3, 3, 1, 2, 1, 2, 2, 3, 1, 2, 2, 2, 3, 2, 4, 2, 2, 2, 3, 3, 3, 3, 1, 3, 3, 3, 2, 2, 3, 2, 3, 3, 3, 3, 1, 2, 2, 3, 2, 3, 2, 3, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 0, 1, 3, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 3, 2, 0, 4, 1, 4, 2, 1, 2, 3, 2, 2, 2, 1, 0, 2, 2, 1, 1, 1, 1, 3, 1, 3, 2, 1, 3, 3, 3, 2, 2, 2, 2, 3, 3, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,1572,518,8,12,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 3, 3, 2, 3, 4, 1, 1, 3, 3, 3, 4, 3, 3, 3, 3, 1, 2, 4, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 4, 5, 3, 3, 3, 4, 2, 2, 1, 2, 3, 1, 3, 1, 3, 3, 2, 1, 2, 1, 3, 0, 2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 0, 2, 0, 4, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 0, 1, 2, 2, 2, 3, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 0, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 0, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,1572,354,7,9,"[2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 4, 2, 2, 4, 2, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 2, 3, 3, 4, 4, 4, 3, 2, 2, 3, 3, 2, 1, 2, 4, 2, 2, 2, 3, 2, 3, 3, 3, 1, 2, 3, 3, 3, 3, 2, 2, 3, 1, 4, 2, 3, 3, 1, 3, 3, 2, 4, 3, 3, 3, 1, 2, 2, 3, 2, 1, 3, 2, 3, 2, 1, 2, 2, 1, 2, 3, 1, 2, 2, 1, 3, 2, 2, 2, 3, 1, 1, 2, 2, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,random graphs/ratio_d3/r1.5k18n12/graph10.lgbin,1572,788,8,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 2, 2, 1, 0, 2, 1, 2, 2, 1, 1, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 3, 3, 1, 1, 3, 3, 3, 2, 3, 1, 3, 3, 1, 2, 3, 0, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 2, 3, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11,random graphs/ratio_d3/r1.5k18n12/graph11.lgbin,1572,516,5,5,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 2, 2, 0, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
12,random graphs/ratio_d3/r1.5k18n12/graph12.lgbin,1572,666,7,10,"[2, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 3, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 2, 2, 1, 1, 2, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 0, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 4, 2, 1, 2, 3, 3, 2, 2, 1, 3, 1, 3, 2, 1, 1, 2, 2, 1, 4, 1, 2, 1, 2, 1, 2, 0, 3, 2, 3, 2, 2, 2, 2, 2, 4, 3, 3, 1, 1, 3, 2, 1, 2, 3, 3, 2, 1, 2, 2, 2, 2, 1, 0, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
