Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,24581,2848,6,134,"[0, 3, 3, 2, 2, 1, 0, 4, 2, 2, 1, 3, 1, 2, 0, 2, 1, 3, 2, 2, 2, 1, 3, 2, 3, 1, 2, 1, 3, 3, 2, 3, 3, 1, 3, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 0, 2, 1, 0, 2, 2, 1, 2, 1, 1, 2, 3, 2, 3, 2, 2, 3, 3, 3, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 2, 3, 1, 44, 2, 1, 3, 2, 2, 2, 43, 2, 1, 4, 3, 3, 3, 2, 4, 2, 3, 2, 2, 3, 7, 0, 3, 4, 2, 3, 4, 6, 2, 2, 2, 2, 2, 8, 9, 8, 8, 6, 3, 1, 2, 1, 1, 1, 0, 3, 10, 8, 8, 0, 2, 2, 3, 1, 4, 2, 3, 2, 1, 2, 4, 115, 2, 115, 2, 0, 3, 1, 3, 0, 2, 1, 0, 1, 4, 2, 1, 5, 5, 2, 5, 1, 3, 3, 4, 5, 0, 1, 1, 3, 1, 0, 1, 3, 1, 0, 0, 0, 1, 0, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 5, 1, 1, 0, 3, 2, 1, 2, 2, 2]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,24581,1714,5,22,"[0, 3, 1, 1, 1, 2, 3, 4, 1, 3, 2, 4, 2, 2, 5, 3, 5, 2, 1, 1, 3, 0, 3, 2, 3, 2, 2, 2, 1, 1, 1, 1, 0, 1, 1, 2, 3, 3, 2, 0, 3, 2, 2, 1, 2, 1, 2, 2, 3, 1, 3, 5, 3, 3, 2, 2, 3, 3, 2, 1, 3, 1, 3, 3, 2, 1, 1, 1, 4, 3, 3, 1, 1, 0, 2, 1, 0, 2, 0, 2, 1, 2, 2, 3, 7, 2, 2, 6, 7, 1, 1, 6, 1, 1, 3, 2, 2, 8, 6, 6, 4, 7, 7, 3, 1, 3, 1, 4, 1, 3, 6, 3, 6, 5, 4, 1, 1, 1, 2, 3, 3, 5, 2, 1, 3, 1, 1, 2, 1, 1, 3, 2, 3, 5, 2, 4, 11, 4, 4, 10, 2, 1, 5, 6, 1, 4, 6, 5, 4, 3, 4, 4, 1, 2, 3, 3, 2, 4, 4, 6, 4, 0, 2, 3, 1, 1, 3, 4, 4, 0, 5, 4, 5, 3, 1, 4, 2, 4, 4, 3, 5, 2, 6, 2, 5, 0, 2, 4, 4, 3, 1, 2, 1, 5, 3, 1, 2, 7, 3, 5, 2, 3, 5, 2, 3]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,24581,2710,124,1376,"[205, 207, 4, 2, 295, 1, 2, 163, 377, 377, 351, 291, 2, 4, 4, 338, 1, 297, 6, 4, 2, 1, 3, 4, 5, 1, 2, 269, 2, 2, 269, 3, 1, 3, 0, 4, 0, 268, 268, 3, 3, 2, 0, 2, 1, 94, 1, 0, 1, 86, 87, 1, 94, 1, 1, 3, 5, 2, 2, 4, 4, 3, 1, 2, 1, 3, 3, 6, 1, 5, 2, 5, 1, 1, 6, 4, 236, 4, 236, 2, 1, 3, 3, 5, 4, 0, 1, 3, 3, 4, 3, 0, 4, 3, 1, 2, 1, 4, 4, 113, 5, 328, 4, 1, 113, 3, 326, 5, 4, 169, 171, 191, 3, 3, 191, 3, 29, 30, 4, 3, 3, 2, 4, 142, 0, 1, 1, 98, 192, 99, 182, 139, 0, 1, 1, 574, 1, 53, 553, 53, 2, 1, 2, 1, 340, 1, 3, 209, 54, 55, 1, 1, 208, 2, 2, 2, 3, 3, 94, 1, 1, 93, 0, 0, 1, 1, 2, 1, 3, 3, 1, 94, 1, 1, 2, 2, 94, 1, 1, 1, 1, 275, 706, 1, 155, 1, 178, 587, 1, 2, 184, 1, 1, 1, 2, 2, 2, 1]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,24581,4511,34,629,"[2, 2, 3, 2, 4, 2, 2, 3, 3, 2, 3, 4, 3, 1, 2, 3, 5, 2, 4, 2, 3, 1, 4, 3, 2, 6, 4, 1, 2, 1, 2, 2, 2, 3, 1, 3, 1, 1, 2, 3, 1, 2, 4, 2, 2, 1, 2, 4, 1, 2, 0, 2, 4, 2, 1, 2, 3, 3, 2, 2, 3, 3, 1, 3, 2, 5, 4, 4, 2, 4, 4, 4, 4, 4, 2, 3, 5, 3, 3, 1, 1, 0, 3, 4, 1, 3, 1, 1, 2, 2, 3, 4, 2, 4, 2, 4, 0, 4, 2, 1, 2, 2, 2, 3, 4, 2, 2, 2, 2, 2, 2, 1, 3, 3, 1, 8, 2, 2, 4, 2, 4, 9, 2, 2, 3, 0, 0, 2, 0, 0, 3, 1, 2, 2, 3, 1, 2, 3, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 4, 2, 0, 3, 145, 0, 145, 3, 0, 3, 1, 0, 3, 3, 1, 7, 198, 2, 276, 2, 3, 6, 3, 264, 3, 2, 1, 3, 1, 5, 1, 7, 4, 3, 4, 0, 3, 1, 2, 2, 512, 12, 497, 102, 2, 3]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,24581,3268,110,1580,"[2, 2, 2, 1, 3, 2, 1, 2, 3, 2, 1, 2, 3, 4, 2, 2, 1, 2, 2, 2, 3, 1, 4, 3, 3, 1, 2, 2, 2, 2, 3, 3, 2, 4, 2, 3, 2, 3, 3, 1, 2, 4, 2, 3, 3, 0, 3, 3, 1, 4, 3, 4, 3, 2, 4, 1, 1, 74, 2, 2, 2, 2, 73, 2, 2, 1, 3, 2, 1, 2, 1, 5, 123, 123, 6, 3, 2, 1, 12, 2, 3, 320, 4, 0, 321, 12, 4, 5, 3, 4, 4, 3, 3, 4, 320, 4, 3, 3, 0, 321, 1, 272, 2, 1, 2, 142, 1, 4, 142, 1, 463, 0, 321, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 0, 1, 1, 32, 1, 1, 1, 0, 1, 1, 32, 4, 2, 2, 827, 2, 2, 3, 2, 829, 0, 1, 2, 1, 3, 1, 1, 4, 3, 3, 3, 1, 2, 0, 2, 215, 1, 1, 3, 214, 457, 2, 1, 457, 2, 3, 0, 1, 3, 2, 1, 3, 0, 3, 1, 2, 4, 253, 3, 3, 1, 0, 1, 218, 227, 218, 264, 218, 252, 3, 490, 674, 316, 628, 2, 82, 490, 1, 734, 1]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,24581,2821,99,926,"[2, 4, 2, 1, 2, 1, 3, 2, 1, 4, 1, 2, 8, 2, 3, 0, 1, 1, 7, 3, 2, 1, 4, 2, 2, 2, 2, 3, 3, 2, 1, 2, 4, 4, 2, 5, 4, 2, 2, 7, 3, 4, 4, 5, 4, 3, 6, 5, 5, 2, 2, 3, 3, 3, 2, 4, 4, 2, 2, 2, 2, 3, 5, 5, 2, 2, 2, 2, 3, 4, 2, 4, 3, 2, 2, 3, 2, 1, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 1, 3, 3, 3, 4, 3, 3, 3, 4, 76, 6, 78, 135, 2, 5, 97, 114, 9, 6, 2, 6, 7, 3, 1, 5, 6, 3, 6, 2, 105, 110, 240, 2, 7, 2, 242, 4, 1, 2, 3, 3, 3, 9, 11, 1, 4, 4, 1, 3, 2, 11, 260, 260, 14, 12, 13, 2, 6, 1, 5, 3, 11, 2, 295, 406, 1, 5, 221, 4, 1, 280, 4, 3, 1, 4, 69, 0, 378, 296, 1, 2, 223, 225, 1, 297, 69, 1, 1, 299, 1, 69, 90, 144, 287, 408, 3, 225, 1, 225, 1, 2, 84, 1, 1, 1, 0, 2, 85]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,24581,2376,42,633,"[2, 1, 0, 1, 1, 1, 1, 4, 4, 2, 2, 1, 0, 1, 0, 1, 2, 1, 2, 3, 3, 2, 2, 1, 1, 3, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 1, 3, 3, 1, 2, 5, 4, 1, 384, 2, 3, 388, 1, 0, 5, 2, 2, 3, 69, 3, 71, 6, 3, 0, 3, 5, 71, 5, 5, 1, 3, 5, 1, 5, 3, 3, 4, 5, 3, 5, 5, 2, 4, 1, 3, 6, 4, 1, 6, 4, 0, 2, 3, 4, 4, 4, 0, 3, 0, 0, 4, 2, 2, 0, 5, 45, 2, 3, 4, 5, 6, 41, 0, 5, 2, 3, 2, 2, 1, 4, 3, 3, 6, 5, 2, 2, 1, 2, 3, 3, 0, 3, 1, 4, 1, 2, 4, 2, 2, 1, 0, 2, 3, 4, 4, 1, 2, 2, 2, 2, 474, 2, 3, 471, 0, 3, 2, 1, 3, 4, 173, 3, 1, 173, 19, 3, 20, 3, 1, 3, 0, 6, 172, 2, 2, 175, 2, 5, 2, 4, 2, 204, 3, 7, 5, 0, 2, 2, 2, 3, 54, 176, 4, 4, 1, 1, 1, 2, 1, 3, 5, 1]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,24581,5105,8,158,"[1, 1, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 0, 1, 3, 1, 3, 1, 2, 1, 1, 2, 2, 1, 1, 2, 0, 2, 1, 1, 1, 7, 2, 1, 7, 1, 2, 3, 0, 0, 6, 3, 3, 4, 1, 4, 5, 4, 1, 0, 5, 3, 1, 4, 0, 2, 2, 2, 1, 6, 3, 2, 2, 2, 4, 2, 8, 4, 5, 1, 7, 3, 1, 3, 2, 2, 2, 4, 2, 4, 2, 3, 1, 2, 3, 0, 4, 5, 4, 3, 3, 1, 4, 4, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 2, 4, 2, 7, 2, 9, 5, 3, 2, 1, 2, 2, 2, 2, 3, 3, 5, 3, 1, 2, 67, 3, 4, 2, 3, 2, 3, 87, 123, 2, 87, 129, 2, 2, 89, 3, 5, 4, 2, 7, 2, 2, 87, 8, 4, 4, 3, 4, 8, 5, 5, 4, 1, 3, 8, 3, 4, 4, 4, 5, 5, 5, 2, 2, 2, 3, 4, 3, 2, 3, 3, 2, 3, 3, 2, 6, 5, 6, 4, 4, 4, 68, 4, 3, 4, 2, 2, 2, 66]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,24581,2759,40,572,"[1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 7, 4, 2, 1, 2, 2, 2, 3, 8, 2, 2, 5, 3, 9, 4, 2, 3, 3, 1, 3, 8, 4, 4, 1, 8, 7, 4, 4, 6, 1, 3, 3, 2, 2, 6, 7, 3, 2, 1, 5, 5, 1, 1, 4, 3, 3, 2, 2, 3, 1, 3, 3, 2, 3, 4, 3, 4, 5, 4, 4, 3, 2, 4, 6, 1, 6, 1, 3, 3, 2, 8, 7, 1, 2, 0, 3, 12, 4, 5, 7, 8, 1, 11, 258, 3, 2, 2, 0, 3, 256, 11, 3, 3, 12, 5, 6, 3, 4, 3, 5, 3, 4, 3, 4, 4, 5, 4, 3, 9, 3, 3, 8, 5, 2, 5, 4, 7, 0, 174, 175, 5, 2, 4, 0, 4, 3, 6, 178, 0, 0, 4, 510, 4, 175, 363, 0, 1, 177, 4, 4, 3, 2, 4, 2, 4, 4, 1, 5, 4, 1, 5, 1, 2, 135, 4, 7, 135, 4, 2, 2, 6, 6, 4, 3, 1, 3, 2, 5, 2, 3, 5, 6, 3, 6, 1, 20, 20, 8, 8, 1, 2, 2, 3, 270, 278, 14, 12, 100, 13, 100, 2, 1, 2]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,24581,2346,139,1223,"[2, 1, 1, 3, 3, 3, 3, 3, 3, 5, 1, 4, 1, 2, 3, 2, 0, 3, 12, 12, 1, 2, 2, 7, 7, 191, 2, 6, 191, 1, 6, 1, 6, 3, 1, 3, 3, 9, 2, 2, 7, 14, 17, 13, 7, 1, 7, 59, 2, 190, 138, 143, 58, 460, 4, 350, 4, 3, 3, 1, 143, 3, 1, 1, 180, 263, 18, 1, 142, 180, 3, 9, 7, 3, 8, 5, 3, 7, 3, 10, 1, 1, 4, 5, 230, 34, 82, 81, 32, 209, 5, 82, 3, 2, 769, 236, 649, 1, 5, 7, 133, 130, 3, 3, 71, 1, 3, 103, 102, 2, 102, 73, 105, 2, 102, 0, 212, 175, 3, 219, 213, 3, 3, 288, 104, 107, 0, 3, 0, 1, 2, 2, 3, 2, 1, 3, 4, 3, 366, 4, 4, 2, 2, 368, 366, 3, 2, 4, 191, 2, 2, 3, 3, 1, 2, 1, 190, 4, 4, 6, 3, 366, 3, 2, 1, 3, 1, 3, 3, 3, 365, 5, 101, 3, 4, 1, 106, 474, 471, 3, 2, 5, 3, 1, 103, 1, 1, 7, 2, 6, 4, 103, 2, 17, 17, 1, 1, 1, 1, 2, 2]"
