Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,1715,262,12,17,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 4, 3, 1, 1, 2, 1, 3, 1, 3, 1, 3, 4, 3, 4, 2, 3, 5, 3, 0, 2, 3, 3, 5, 1, 2, 2, 5, 4, 3, 3, 1, 4, 4, 1, 2, 1, 4, 3, 3, 4, 4, 4, 2, 3, 5, 3, 4, 3, 3, 2, 3, 1, 2, 4, 3, 2, 2, 3, 3, 3, 1, 4, 1, 2, 3, 3, 2, 2, 3, 3, 3, 1, 3, 4, 2, 0, 3, 3, 0, 2, 5, 3, 2, 2, 3, 5, 1, 2, 2, 1, 3, 1, 3, 3, 4, 4, 1, 2, 1, 1, 4, 3, 2, 2, 3, 3, 0, 2, 2, 1, 0, 2, 2, 1, 0, 2, 2, 2, 2, 3, 3, 2, 1, 2, 1, 1, 0, 0, 2, 2, 3, 2, 1, 1, 1, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,1715,504,9,16,"[0, 3, 1, 1, 1, 2, 1, 0, 1, 2, 2, 2, 2, 4, 3, 4, 2, 2, 1, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 1, 2, 0, 0, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 0, 2, 2, 3, 2, 2, 3, 1, 4, 2, 0, 1, 3, 1, 1, 2, 0, 0, 2, 1, 2, 0, 3, 2, 3, 3, 1, 2, 1, 0, 2, 1, 3, 1, 1, 3, 3, 0, 0, 1, 1, 1, 1, 0, 1, 1, 3, 1, 2, 2, 3, 2, 1, 0, 2, 4, 2, 3, 0, 3, 1, 1, 2, 3, 1, 1, 2, 2, 4, 1, 1, 2, 1, 0, 1, 2, 0, 2, 3, 0, 1, 1, 1, 1, 1, 3, 2, 1, 3, 2, 2, 1, 1, 1, 1, 1, 2, 4, 1, 2, 2, 4, 4, 3, 0, 5, 4, 2, 3, 5, 2, 2, 0, 1, 3, 5, 3, 2, 3, 3, 3, 0, 3, 4, 1, 3, 4, 3, 0, 2, 3, 2, 2, 3, 3, 3, 3, 3, 2, 1, 1, 3, 1, 0, 2, 2, 1, 2]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,1715,334,6,14,"[1, 1, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 0, 2, 3, 1, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 4, 4, 3, 1, 2, 3, 1, 2, 2, 0, 2, 4, 4, 1, 1, 2, 3, 2, 3, 3, 0, 2, 1, 1, 2, 3, 3, 1, 3, 2, 4, 1, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 0, 0, 3, 0, 1, 1, 0, 0, 2, 1, 2, 2, 1, 0, 1, 3, 0, 1, 3, 3, 1, 1, 1, 1, 0, 1, 2, 2, 2, 0, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 3, 0, 1, 2, 2, 0, 1, 0, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 0, 2, 1, 1, 2, 0, 1, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 1, 2, 1, 1, 2, 2, 2, 1, 3, 2, 0, 1, 1, 0, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,1715,890,8,15,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 2, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 2, 1, 1, 2, 0, 1, 1, 2, 0, 2, 1, 1, 2, 0, 1, 1, 2, 2, 2, 0, 2, 2, 2, 3, 1, 1, 0, 1, 2, 1, 2, 1, 1, 2, 2, 3, 1, 0, 1, 0, 3, 3, 3, 2, 3, 0, 1, 2, 4, 2, 1, 2, 1, 2, 2, 3, 3, 4, 1, 3, 4, 0, 1, 4, 2, 4, 0, 2, 2, 1, 4, 4, 1, 2, 1, 2, 1, 3, 5, 3, 3, 4, 5, 2, 5, 4, 2, 2, 1, 3, 2, 1, 2, 2, 1, 3, 2, 3, 3, 2, 2, 3, 3, 2, 3, 2, 2, 2, 1, 0, 1, 2, 2, 1, 2, 1, 1, 0, 1, 4, 1, 2, 3, 1, 3, 3, 3, 1, 3, 2, 0, 3, 3, 3, 1, 2, 2, 2, 1, 3, 1, 1, 2, 2, 2, 1, 1, 3, 3, 3, 2, 1, 3, 3, 3, 0, 2, 2, 3, 1, 0, 1, 1, 2, 0]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,1715,401,8,12,"[0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 1, 2, 3, 2, 2, 2, 1, 2, 2, 3, 0, 1, 2, 2, 2, 1, 2, 0, 1, 1, 1, 2, 0, 2, 2, 2, 0, 1, 2, 1, 3, 2, 2, 2, 0, 0, 1, 1, 1, 2, 1, 1, 1, 0, 1, 3, 1, 0, 0, 2, 3, 1, 3, 1, 3, 1, 3, 1, 0, 1, 2, 0, 2, 1, 2, 4, 2, 3, 2, 1, 2, 2, 2, 0, 1, 3, 2, 2, 1, 3, 2, 1, 2, 3, 1, 2, 2, 4, 3, 2, 2, 2, 1, 2, 0, 1, 3, 3, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 2, 1, 0, 0, 0, 1, 3, 1, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 0, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,1715,217,6,12,"[1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 3, 1, 3, 3, 2, 2, 2, 1, 3, 2, 3, 2, 1, 2, 3, 1, 2, 3, 0, 2, 3, 2, 0, 2, 3, 0, 1, 1, 1, 2, 2, 1, 4, 2, 3, 0, 1, 3, 3, 4, 1, 3, 1, 1, 1, 4, 1, 2, 1, 3, 0, 1, 1, 2, 2, 1, 1, 0, 2, 0, 3, 1, 4, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 2, 0, 2, 0, 1, 1, 1, 3, 2, 2, 1, 1, 1, 0, 2, 1, 1, 3, 0, 1, 1, 3, 1, 1, 2, 2, 0, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 0, 2, 1, 3, 0, 1, 0, 0, 2, 0, 2, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 0, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,1715,704,9,17,"[1, 1, 0, 1, 0, 0, 3, 1, 3, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 2, 2, 2, 2, 1, 3, 1, 2, 2, 3, 1, 0, 2, 0, 1, 3, 3, 3, 1, 4, 2, 2, 1, 2, 1, 3, 2, 2, 2, 1, 3, 1, 3, 2, 1, 2, 3, 3, 3, 2, 1, 2, 2, 0, 1, 2, 0, 2, 1, 1, 2, 3, 4, 1, 1, 1, 1, 1, 3, 1, 1, 2, 4, 3, 1, 4, 1, 3, 3, 1, 3, 0, 3, 2, 6, 2, 2, 2, 2, 1, 4, 6, 3, 3, 5, 4, 3, 3, 1, 4, 7, 3, 4, 4, 3, 3, 2, 7, 4, 2, 3, 3, 1, 1, 4, 4, 3, 0, 5, 4, 0, 2, 1, 0, 3, 1, 6, 2, 3, 2, 4, 2, 1, 4, 1, 2, 4, 2, 1, 2, 0, 0, 6, 1, 0, 1, 2, 1, 2, 6, 3, 2, 1, 1, 3, 2, 2, 1, 2, 3, 1, 2, 1, 1, 2, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 2, 2, 1, 3, 0, 2, 2, 3, 1, 2, 2, 2, 2, 0, 0]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,1715,306,12,22,"[0, 0, 0, 0, 2, 0, 0, 4, 1, 2, 4, 4, 1, 0, 2, 1, 2, 3, 3, 5, 4, 3, 1, 4, 4, 3, 4, 1, 2, 4, 0, 4, 4, 3, 2, 3, 1, 1, 3, 2, 3, 1, 2, 3, 3, 3, 2, 4, 2, 4, 4, 2, 4, 3, 2, 3, 3, 2, 2, 3, 3, 2, 5, 5, 5, 3, 1, 5, 4, 4, 1, 3, 3, 5, 3, 4, 4, 1, 2, 4, 4, 2, 5, 2, 4, 2, 5, 2, 4, 3, 2, 0, 6, 2, 1, 2, 3, 3, 1, 1, 1, 2, 1, 0, 2, 2, 1, 2, 1, 1, 2, 2, 3, 1, 2, 4, 2, 2, 1, 4, 3, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 2, 2, 1, 2, 3, 1, 2, 1, 1, 0, 0, 2, 1, 3, 4, 4, 4, 1, 3, 1, 4, 3, 3, 2, 1, 2, 2, 2, 3, 1, 2, 3, 3, 4, 3, 2, 2, 2, 3, 4, 2, 0, 2, 4, 3, 0, 1, 4, 1, 3, 2, 2, 1, 4, 4, 3, 2, 1, 2, 2, 1, 1, 0, 1, 2, 2]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,1715,403,10,16,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 2, 1, 2, 0, 0, 1, 2, 2, 3, 3, 2, 3, 2, 1, 2, 1, 0, 1, 3, 1, 1, 0, 2, 1, 1, 2, 2, 1, 3, 1, 1, 0, 2, 1, 2, 2, 1, 1, 3, 3, 6, 3, 1, 1, 1, 1, 2, 0, 3, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 3, 1, 2, 3, 1, 3, 2, 1, 2, 0, 3, 2, 2, 1, 1, 2, 1, 3, 1, 2, 1, 1, 2, 1, 1, 2, 2, 3, 1, 3, 2, 4, 3, 2, 2, 2, 2, 1, 1, 2, 3, 4, 1, 0, 1, 1, 3, 1, 1, 1, 2, 4, 2, 1, 1, 5, 2, 0, 2, 1, 4, 2, 1, 3, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 3, 4, 2, 5, 3, 1, 4, 2, 1, 4, 0, 0, 0, 2, 3, 1, 0, 2, 3, 2, 2, 1, 1, 0, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,1715,271,10,18,"[1, 1, 0, 2, 1, 1, 0, 1, 0, 2, 1, 1, 0, 1, 2, 1, 0, 1, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 1, 1, 1, 2, 0, 1, 2, 1, 0, 1, 1, 1, 2, 1, 2, 1, 0, 1, 1, 2, 1, 4, 1, 0, 3, 1, 0, 1, 6, 1, 1, 0, 2, 4, 2, 1, 3, 2, 0, 2, 3, 2, 2, 0, 1, 1, 3, 2, 3, 1, 3, 1, 0, 2, 2, 2, 3, 2, 3, 3, 0, 1, 1, 1, 0, 1, 2, 1, 2, 1, 1, 1, 0, 2, 2, 2, 2, 1, 3, 1, 3, 1, 1, 1, 1, 0, 0, 2, 2, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 2, 1, 1, 2, 0, 0, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 3, 2, 4, 2, 2, 3, 1, 2, 0, 2, 3, 2, 3, 2, 1, 2, 1, 1, 3, 1, 1, 1, 2, 3, 2, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1]"
