GraphSize,CVcalc,AvgOptsPerMin
r1.5k18n12,1726,216.74368643506924
r1.5k24n16,1711,222.20151378747127
r1.5k18n12,1209,464.86763209468023
r1.5k24n16,2667,65.12825012437253
r1.5k18n12,1908,154.48119940299003
r1.5k24n16,2969,39.691401206575726
r1.5k30n20,2000,136.5047677175665
r1.5k30n20,1720,132.0251029254974
r1.5k36n24,1598,71.31361291406202
r1.5k18n12,2221,102.80283742421283
r1.5k36n24,1236,83.98683308617963
r1.5k18n12,2429,69.75948236383228
r1.5k24n16,1908,173.79991243823878
r1.5k18n12,2862,25.284068715784397
r1.5k24n16,2516,75.36429039958341
r1.5k24n16,2189,131.65267844881078
r1.5k30n20,1126,211.39541689090976
r1.5k30n20,1433,144.02384615924282
r1.5k18n12,3331,7.650732958126514
r1.5k18n12,3643,3.554575655867394
r1.5k18n12,2385,72.67947517002261
r1.5k24n16,4453,2.272377200724849
r1.5k24n16,2818,47.295208234384
r1.5k24n16,2428,94.68040202954548
