GraphSize,CVcalc,AvgOptsPerMin
r1.5k18n12,1856,246.61282913997965
r1.5k24n16,1317,364.8929249404049
r1.5k18n12,2219,177.8499256698689
r1.5k30n20,2274,100.44224024419864
r1.5k18n12,2047,200.68601056599368
r1.5k36n24,1587,99.1349805950353
r1.5k24n16,1899,202.23269165940076
r1.5k18n12,1902,249.83015788843545
r1.5k30n20,1223,214.55132937949833
r1.5k18n12,3328,139.78481627061234
r1.5k18n12,3328,138.26031814939734
r1.5k24n16,1605,292.878528792666
r1.5k24n16,2212,127.96006114024037
r1.5k42n28,2105,46.40684353901405
r1.5k30n20,1957,142.08072404153657
r1.5k36n24,1424,107.06097226121251
r1.5k18n12,6102,59.211912188575866
r1.5k18n12,6102,66.57526817716507
r1.5k24n16,2848,60.67702660065642
r1.5k24n16,3318,41.36866922914201
r1.5k18n12,11927,58.462321359293945
r1.5k18n12,11927,65.76703271008017
r1.5k30n20,3411,12.312358474618843
r1.5k24n16,5222,15.131800799778834
r1.5k24n16,2765,67.06425033248496
r1.5k36n24,1814,108.79090770270594
r1.5k18n12,23715,60.757804018800854
r1.5k18n12,23715,81.10436473070519
r1.5k24n16,10207,5.625531713298247
r1.5k24n16,3041,50.34531640100659
r1.5k30n20,6253,2.6174476180455213
r1.5k42n28,1208,66.57911276249547
r1.5k18n12,47361,65.15861220706373
r1.5k18n12,47361,76.35115960702578
r1.5k24n16,7714,9.748501822569466
r1.5k24n16,3179,39.2448419902059
r1.5k30n20,2842,37.905193860958896
r1.5k36n24,2721,56.30782264956564
r1.5k30n20,4832,2.3609469127057685
r1.5k18n12,94688,65.82410935702333
r1.5k18n12,94688,74.16761083434703
r1.5k24n16,6468,12.851612120385363
r1.5k24n16,3110,41.8247843433358
r1.5k36n24,2721,37.74441887783924
r1.5k30n20,2558,51.94924610342523
r1.5k18n12,189360,63.072271942608054
r1.5k30n20,4121,9.31905751088009
r1.5k18n12,189360,76.08428718013688
r1.5k36n24,4988,3.381891115305411
r1.5k24n16,7091,9.388384779512638
r1.5k24n16,3075,47.351338949168955
r1.5k18n12,378712,62.98939033078845
r1.5k18n12,378712,74.54631006644485
r1.5k30n20,2700,37.604864667521554
r1.5k30n20,3766,10.132937742855562
r1.5k42n28,2880,28.98980096448824
r1.5k24n16,6779,9.668075063467949
r1.5k24n16,3058,48.853305242589194
r1.5k36n24,2267,66.1199283732388
r1.5k18n12,757420,62.00484037646739
r1.5k18n12,757420,77.9368638712932
r1.5k36n24,3854,10.02430769078713
r1.5k30n20,2629,52.84888162576452
r1.5k30n20,3943,7.524343709734576
r1.5k24n16,6623,9.266688465266652
r1.5k24n16,3049,50.2565439104436
r1.5k18n12,4715,71.71135946633594
r1.5k24n16,2488,94.70678664459727
r1.5k30n20,3854,9.577724015805735
r1.5k24n16,6545,10.732710767173188
r1.5k30n20,2664,51.28159865818507
r1.5k36n24,2494,57.6040338503395
r1.5k24n16,3053,46.11529935710433
r1.5k18n12,4021,99.25433408539661
r1.5k42n28,2946,22.67069280401586
r1.5k30n20,2416,66.3628349629907
r1.5k36n24,4421,6.969721789808415
r1.5k24n16,2350,109.13520896782559
r1.5k42n28,4320,9.551864449177849
r1.5k18n12,3674,108.79285241407547
r1.5k30n20,3810,5.687346455558132
r1.5k30n20,2682,51.836058605990104
r1.5k24n16,2419,101.79622910902621
r1.5k30n20,2345,89.31103669754032
r1.5k36n24,2607,45.03993324305452
r1.5k36n24,1700,104.64937412853492
r1.5k36n24,4137,6.088384108147339
r1.5k30n20,3788,13.229457538560109
r1.5k30n20,2691,49.57454627736588
r1.5k24n16,2453,105.29523468880662
r1.5k30n20,2309,85.56826077379856
r1.5k30n20,2686,42.34529728926609
r1.5k36n24,2550,50.26691143753463
r1.5k42n28,1656,48.53585607930262
r1.5k36n24,1643,105.23639553178461
r1.5k36n24,3995,12.96448093786768
r1.5k30n20,2291,83.02816360167712
r1.5k42n28,3600,13.295782611825837
r1.5k30n20,2684,38.18496593304666
r1.5k30n20,2282,89.54878067254631
r1.5k36n24,2578,53.139391827105534
r1.5k36n24,1615,107.63935590728889
r1.5k36n24,4066,11.551478041913638
r1.5k42n28,604,58.435405947786194
r1.5k30n20,2278,115.55094351551288
r1.5k42n28,1432,52.517847282054376
r1.5k36n24,1601,105.30281795408942
r1.5k36n24,2592,52.363399280532825
r1.5k36n24,4101,7.826479782040849
r1.5k42n28,3960,11.083534524402662
r1.5k36n24,4083,9.288510015346962
r1.5k36n24,1594,104.00936078643372
r1.5k36n24,2599,59.456050600915546
r1.5k42n28,302,54.252305291243246
r1.5k42n28,4140,8.183922644963543
r1.5k42n28,1544,49.266252401871654
r1.5k36n24,1590,106.12211775379288
r1.5k36n24,2603,46.833186301734585
r1.5k36n24,1588,107.62844930119142
r1.5k42n28,151,54.86839105567462
r1.5k42n28,4050,7.097638665200863
r1.5k42n28,1488,40.988900856939935
r1.5k42n28,75,70.5546969579003
r1.5k42n28,4005,11.455083228432908
r1.5k42n28,1460,41.36333931003181
r1.5k42n28,37,75.22722283177455
r1.5k42n28,4027,9.287759882731093
r1.5k42n28,1446,39.88045701328972
r1.5k42n28,18,75.32125704427447
r1.5k42n28,4016,10.711163457999108
r1.5k42n28,1439,41.946908500978125
r1.5k42n28,9,75.77552633109806
r1.5k42n28,4021,7.661918567040209
r1.5k42n28,1435,40.34740903689658
r1.5k42n28,4,77.054984247638
r1.5k42n28,1433,46.88466543124928
r1.5k42n28,2,80.54051786835119
