GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k18n12,2443,91.19384814013287,10
r1.5k24n16,1957,157.39015083059263,10
r1.5k30n20,1674,153.35626606373145,10
r1.5k18n12,2436,105.94620239177353,10
r1.5k24n16,2493,76.37732009591647,10
r1.5k36n24,2894,51.90937432549786,10
r1.5k30n20,2242,112.2296472682468,10
r1.5k18n12,2377,89.76185722907626,10
r1.5k24n16,2189,120.31551993477623,10
r1.5k36n24,2180,78.10819185778847,10
r1.5k30n20,1322,195.12240068833,10
r1.5k18n12,3664,54.509850373437075,10
r1.5k24n16,3739,17.789064309039066,10
r1.5k42n28,1115,47.74652185207647,10
r1.5k36n24,1871,84.07690838827898,10
r1.5k18n12,6718,30.706644771287472,10
r1.5k30n20,3363,30.714810571897807,10
r1.5k24n16,6855,10.125359606703373,10
r1.5k42n28,1198,47.44635033019493,10
r1.5k18n12,13131,32.901938379248016,10
r1.5k36n24,4341,3.8516870934278815,10
r1.5k24n16,13399,2.8189051306593935,10
r1.5k30n20,6165,2.512014542062458,10
r1.5k18n12,26109,30.62901247314816,10
r1.5k24n16,10127,3.7535784991536394,10
r1.5k30n20,4764,7.511582183002704,10
r1.5k36n24,3617,12.451635262163132,10
r1.5k42n28,1710,47.57647204036075,10
r1.5k18n12,52142,31.638559943779295,10
r1.5k24n16,8491,7.936216275502025,10
r1.5k30n20,4063,13.57397640829509,10
r1.5k36n24,3979,9.567658710827043,10
r1.5k42n28,2565,40.13339621295983,10
r1.5k18n12,104247,31.78220237901013,10
r1.5k24n16,7673,8.514700572178507,10
r1.5k30n20,4413,8.875456026315089,10
r1.5k36n24,3798,8.944120295219035,10
r1.5k18n12,208475,25.164320108437693,10
r1.5k24n16,7264,10.708391662958672,10
r1.5k30n20,4238,17.24061959811895,10
r1.5k42n28,4702,5.989775270631841,10
r1.5k36n24,3707,18.72659491433826,10
r1.5k18n12,416941,31.399641458086933,10
r1.5k24n16,7468,8.517454398794248,10
r1.5k30n20,4325,9.58668167498125,10
r1.5k42n28,3633,22.30089386299765,10
r1.5k18n12,833878,26.845091582862096,10
r1.5k36n24,3752,11.948933641922647,10
r1.5k24n16,7366,9.083894291487324,10
r1.5k30n20,4281,15.867728766359381,10
r1.5k36n24,3775,11.445425504977603,10
r1.5k30n20,4303,17.664819010824065,10
r1.5k42n28,4167,9.241069422311094,10
r1.5k36n24,3786,19.004466081503267,10
r1.5k42n28,3900,11.25780445686751,10
r1.5k36n24,3792,17.829202257671504,10
r1.5k42n28,4033,11.356833572394455,10
r1.5k42n28,4100,12.18373171513856,10
r1.5k18n12,2596,92.95450182626485,50
r1.5k42n28,4133,7.648545248747169,10
r1.5k24n16,2702,50.24179515265585,50
r1.5k30n20,1526,153.7046637308816,50
r1.5k18n12,1615,235.5817760224777,50
r1.5k24n16,1923,172.68519748152136,50
r1.5k42n28,4116,7.976347432980779,10
r1.5k30n20,2729,59.49916219064687,50
r1.5k36n24,2912,48.273434367564235,50
r1.5k18n12,2110,107.26688896721066,50
r1.5k42n28,1714,40.7904720509722,50
r1.5k24n16,1191,412.22937119998477,50
r1.5k30n20,1353,175.51025115640965,50
r1.5k18n12,3894,40.080758508200596,50
r1.5k36n24,1041,98.10206051370594,50
r1.5k24n16,4053,15.314723994662867,50
r1.5k42n28,1318,43.3222117641852,50
r1.5k18n12,3245,71.57538370231097,50
r1.5k30n20,4093,15.7305609726357,50
r1.5k36n24,2752,53.937233801292834,50
r1.5k24n16,3377,21.177757905525308,50
r1.5k18n12,3569,50.9556006837967,50
r1.5k30n20,3411,33.56885792566449,50
r1.5k36n24,2832,48.785456929578444,50
r1.5k42n28,2408,35.272089018569275,50
r1.5k24n16,3039,39.999287691766035,50
r1.5k18n12,3731,52.23343495875357,50
r1.5k30n20,3070,49.047979027132314,50
r1.5k24n16,2870,37.7502891603327,50
r1.5k36n24,2792,54.3724290700963,50
r1.5k18n12,3812,49.43155421860238,50
r1.5k42n28,659,43.53468201563002,50
r1.5k30n20,2899,50.85867456901953,50
r1.5k24n16,2786,41.93702496212976,50
r1.5k36n24,2812,62.687753441625844,50
r1.5k18n12,3771,51.59242010983765,50
r1.5k30n20,2984,46.476703476250115,50
r1.5k24n16,2744,48.56391086767568,50
r1.5k42n28,329,36.43454247170497,50
r1.5k18n12,3791,47.25745208022696,50
r1.5k36n24,2822,55.25373921323982,50
r1.5k30n20,2941,48.64621630213726,50
r1.5k24n16,2723,53.56116249509658,50
r1.5k18n12,3781,51.5621385083111,50
r1.5k36n24,2827,56.282863647667206,50
r1.5k42n28,164,42.79727896519741,50
r1.5k30n20,2920,46.71327869751925,50
r1.5k24n16,2733,53.969789424092426,50
r1.5k18n12,3786,51.715188889565766,50
r1.5k30n20,2909,50.851999216422136,50
r1.5k36n24,2829,53.309674913357924,50
r1.5k24n16,2738,52.636587820129954,50
r1.5k42n28,82,54.888723982819144,50
r1.5k30n20,2914,50.62935247819954,50
r1.5k36n24,2830,57.36425789116513,50
r1.5k42n28,123,44.983204160102005,50
r1.5k36n24,2831,49.91667633503838,50
r1.5k36n24,2830,51.024620567938086,50
r1.5k42n28,102,48.207717780815976,50
r1.5k42n28,92,56.48179872009159,50
r1.5k18n12,1889,171.03896107243742,100
r1.5k24n16,1429,272.9092501164571,100
r1.5k30n20,2005,113.03949681241026,100
r1.5k18n12,2850,82.78907184471497,100
r1.5k36n24,1724,78.37947183272146,100
r1.5k24n16,1913,168.34886982906136,100
r1.5k42n28,97,48.2956934868521,50
r1.5k42n28,1208,40.10198876742534,100
r1.5k30n20,2318,88.73227898293135,100
r1.5k18n12,2120,115.96492544813847,100
r1.5k36n24,1959,79.90063944953815,100
r1.5k24n16,1228,373.7202575843638,100
r1.5k30n20,1785,139.937822231074,100
r1.5k18n12,2485,88.88691571518468,100
r1.5k42n28,94,53.235636241023165,50
r1.5k42n28,2103,43.94502276268382,100
r1.5k24n16,2869,38.68183544607432,100
r1.5k36n24,2017,78.18427188236755,100
r1.5k30n20,2161,120.38820768801077,100
r1.5k18n12,2302,85.57006832310365,100
r1.5k24n16,2391,101.87225689668236,100
r1.5k36n24,862,92.08153469619721,100
r1.5k42n28,1603,52.26661920781402,100
r1.5k30n20,2239,101.8986614931757,100
r1.5k18n12,2211,105.6930881354003,100
r1.5k24n16,2630,51.36440981563676,100
r1.5k36n24,431,83.18740774163766,100
r1.5k18n12,2256,109.2377204956778,100
r1.5k30n20,2278,100.40444347961446,100
r1.5k42n28,604,51.428311101368855,100
r1.5k24n16,2510,59.08468448265218,100
r1.5k18n12,2279,95.16725453306091,100
r1.5k36n24,215,85.39260380277261,100
r1.5k30n20,2298,89.2744706168327,100
r1.5k24n16,2450,70.64160323462092,100
r1.5k42n28,302,41.68807949381145,100
r1.5k18n12,2267,114.10554885778461,100
r1.5k30n20,2288,93.82335936122908,100
r1.5k36n24,107,97.57540863444991,100
r1.5k24n16,2420,71.12728155342103,100
r1.5k18n12,2273,96.71864389843677,100
r1.5k30n20,2283,101.05330719537781,100
r1.5k42n28,151,40.94459325291376,100
r1.5k36n24,53,115.96293506822033,100
r1.5k24n16,2405,99.342900718492,100
r1.5k18n12,2270,96.6256108917845,100
r1.5k30n20,2285,89.76075971314766,100
r1.5k24n16,2398,79.29928705917152,100
r1.5k36n24,80,106.16581058584093,100
r1.5k42n28,75,55.05145033718228,100
r1.5k18n12,2268,108.59104821160463,100
r1.5k30n20,2284,100.40301136539787,100
r1.5k24n16,2394,81.99757800654159,100
r1.5k36n24,93,100.47783211271111,100
r1.5k30n20,2284,95.19547725614375,100
r1.5k42n28,37,62.28058785102591,100
r1.5k36n24,100,91.1926023386508,100
r1.5k42n28,18,68.42869912055062,100
r1.5k36n24,96,91.33612089522168,100
r1.5k42n28,9,71.681694406452,100
r1.5k42n28,4,72.54934734522406,100
r1.5k42n28,2,62.28085606728005,100
