GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k18n12,2835,15.00869895665294,10
r1.5k24n16,1768,173.35461011470107,10
r1.5k30n20,1058,177.91878347683615,10
r1.5k36n24,1607,63.258206049410305,10
r1.5k18n12,2729,17.983644971149992,10
r1.5k24n16,1539,254.299715079622,10
r1.5k42n28,1015,48.68027825278544,10
r1.5k30n20,1765,122.33902976980946,10
r1.5k36n24,1388,67.55128642488596,10
r1.5k18n12,2817,15.03890055728741,10
r1.5k24n16,1991,102.96281501057544,10
r1.5k30n20,2238,79.3649413560494,10
r1.5k42n28,2864,25.344089650016215,10
r1.5k36n24,1894,60.06926844877906,10
r1.5k18n12,4252,0.9604227757146063,10
r1.5k24n16,2986,17.91050393769193,10
r1.5k30n20,3357,15.292033511043513,10
r1.5k18n12,3543,2.9761673378153017,10
r1.5k36n24,2841,33.781034084846084,10
r1.5k24n16,5475,0.5200649567077635,10
r1.5k42n28,1165,49.527737252822476,10
r1.5k30n20,6154,0.28002595069206443,10
r1.5k18n12,3189,4.346820353614367,10
r1.5k24n16,4230,2.6230216939848874,10
r1.5k36n24,5208,0.9252589600197633,10
r1.5k30n20,4755,0.8837484445608966,10
r1.5k42n28,4296,4.423006778805915,10
r1.5k18n12,3012,5.8791026691497,10
r1.5k24n16,3608,6.619446858018279,10
r1.5k36n24,4024,5.76808621136194,10
r1.5k30n20,4056,3.280438845977444,10
r1.5k18n12,2923,12.208825947298049,10
r1.5k24n16,3297,9.088263746246982,10
r1.5k42n28,3580,9.926139001594558,10
r1.5k36n24,3432,10.148448792682263,10
r1.5k30n20,3706,10.686009254267882,10
r1.5k18n12,2967,12.455447794063272,10
r1.5k24n16,3141,13.145000094778425,10
r1.5k30n20,3881,8.529947046218968,10
r1.5k42n28,3222,19.44964640529092,10
r1.5k36n24,3728,5.263778741994868,10
r1.5k18n12,2989,10.525328865862752,10
r1.5k24n16,3219,9.849655737198978,10
r1.5k30n20,3793,6.644623046524916,10
r1.5k18n12,3000,7.735470566761099,10
r1.5k36n24,3580,6.78797880100152,10
r1.5k24n16,3180,12.15883748752701,10
r1.5k42n28,3401,14.031139930613516,10
r1.5k30n20,3749,9.214667384154522,10
r1.5k18n12,2994,8.70651087189734,10
r1.5k24n16,3199,11.527291529103994,10
r1.5k36n24,3506,8.39746191701985,10
r1.5k42n28,3490,10.484847916329443,10
r1.5k30n20,3727,8.73487249598585,10
r1.5k36n24,3469,11.807198160464816,10
r1.5k42n28,3535,13.437154665579815,10
r1.5k36n24,3487,14.742703128653488,10
r1.5k42n28,3557,8.88591097433324,10
r1.5k18n12,2707,20.39390128671688,50
r1.5k24n16,2089,93.5791338616861,50
r1.5k30n20,2656,50.53831339901649,50
r1.5k36n24,1960,85.26617908428686,50
r1.5k18n12,2880,13.22614238857754,50
r1.5k24n16,2963,21.4312108585695,50
r1.5k42n28,3546,11.995293132221299,10
r1.5k42n28,1730,38.04227126535939,50
r1.5k30n20,1269,177.78356772183923,50
r1.5k18n12,2833,13.182290484222715,50
r1.5k36n24,1191,106.39774719017153,50
r1.5k24n16,2465,53.05567938853828,50
r1.5k30n20,2773,45.454625038682266,50
r1.5k42n28,3551,15.305026845948737,10
r1.5k18n12,1353,328.3736728956961,50
r1.5k42n28,1594,38.796985877350735,50
r1.5k36n24,2256,73.5986838780427,50
r1.5k24n16,2714,35.65693756957072,50
r1.5k30n20,2714,50.592039706680836,50
r1.5k18n12,2030,60.54853032085515,50
r1.5k24n16,2589,39.92815498345108,50
r1.5k36n24,3384,17.688206408026932,50
r1.5k42n28,1011,41.327369769781484,50
r1.5k30n20,2743,44.75991177805864,50
r1.5k18n12,2368,37.337220100320465,50
r1.5k24n16,2527,50.27381576542014,50
r1.5k36n24,2820,30.606999027136084,50
r1.5k30n20,2728,38.136166639366465,50
r1.5k18n12,2199,40.455894406229355,50
r1.5k42n28,505,38.86378630308931,50
r1.5k24n16,2558,41.24359072834143,50
r1.5k36n24,2538,56.95378373772737,50
r1.5k18n12,2114,65.59079703470566,50
r1.5k30n20,2721,44.725574253617616,50
r1.5k24n16,2542,44.14373378687791,50
r1.5k42n28,252,33.12571118318267,50
r1.5k18n12,2156,53.04081852216417,50
r1.5k36n24,2679,41.311038792333,50
r1.5k30n20,2717,52.934767579586676,50
r1.5k24n16,2534,47.62470007413783,50
r1.5k18n12,2177,56.348013234616666,50
r1.5k30n20,2719,44.58098509946326,50
r1.5k36n24,2608,46.10606892075927,50
r1.5k24n16,2530,42.90931816371119,50
r1.5k42n28,126,39.1231938126464,50
r1.5k18n12,2188,57.80718182294868,50
r1.5k30n20,2718,32.05542584513477,50
r1.5k36n24,2573,52.69593986479109,50
r1.5k24n16,2528,44.654667399566435,50
r1.5k18n12,2193,49.85258146338199,50
r1.5k42n28,63,42.568725570185805,50
r1.5k30n20,2717,42.71115225087185,50
r1.5k24n16,2527,43.79924159648425,50
r1.5k36n24,2590,46.566997836235934,50
r1.5k30n20,2717,36.144126693174854,50
r1.5k42n28,31,43.93609535789289,50
r1.5k36n24,2581,51.23008233824514,50
r1.5k36n24,2585,38.5654669413323,50
r1.5k42n28,15,42.25982329443224,50
r1.5k42n28,7,42.08859048538155,50
r1.5k18n12,1817,97.23636923243032,100
r1.5k24n16,2902,25.344014664139003,100
r1.5k30n20,1201,160.48580576334376,100
r1.5k18n12,2804,14.921372032166147,100
r1.5k42n28,3,47.254273861343094,50
r1.5k24n16,1497,262.7961592120723,100
r1.5k36n24,1953,79.65359899239661,100
r1.5k30n20,2882,34.3800571849444,100
r1.5k18n12,1870,84.71367775842224,100
r1.5k42n28,1449,42.316014527050434,100
r1.5k24n16,1504,249.38724203434185,100
r1.5k30n20,2368,70.27903853713318,100
r1.5k42n28,1,46.395921982150895,50
r1.5k36n24,2152,72.7261854118654,100
r1.5k18n12,908,797.9553712291656,100
r1.5k24n16,2203,89.55575144321026,100
r1.5k42n28,1612,39.99105325813487,100
r1.5k30n20,1784,123.95206181015162,100
r1.5k18n12,1362,310.4366758933522,100
r1.5k36n24,2884,29.992289320301108,100
r1.5k24n16,1853,155.1602034777967,100
r1.5k18n12,1589,172.95221503149554,100
r1.5k30n20,2076,94.50439558663385,100
r1.5k42n28,2219,29.84825586694928,100
r1.5k36n24,976,103.15415088315956,100
r1.5k24n16,2028,87.44238016450176,100
r1.5k18n12,1703,121.24935387763722,100
r1.5k30n20,1930,113.60729915151983,100
r1.5k24n16,1940,112.41041254230117,100
r1.5k36n24,1464,95.2324858855772,100
r1.5k42n28,724,45.840119198102556,100
r1.5k18n12,1760,117.03624753514995,100
r1.5k30n20,2003,111.28120735288215,100
r1.5k24n16,1984,109.491233812056,100
r1.5k36n24,1220,98.6875536249061,100
r1.5k18n12,1788,106.3010847941612,100
r1.5k30n20,2039,102.74838788468624,100
r1.5k42n28,362,49.216922741360705,100
r1.5k24n16,2006,106.29926234273344,100
r1.5k36n24,1098,101.15258545603812,100
r1.5k18n12,1802,105.6109266366871,100
r1.5k30n20,2057,101.48297471334168,100
r1.5k24n16,2017,107.68322789227872,100
r1.5k42n28,181,42.11847123144081,100
r1.5k18n12,1809,96.2687009735238,100
r1.5k36n24,1159,99.62192474781563,100
r1.5k30n20,2066,97.43375932641347,100
r1.5k24n16,2022,101.68023854793928,100
r1.5k18n12,1805,104.74263189246389,100
r1.5k36n24,1128,98.27132428831871,100
r1.5k30n20,2061,95.54752297594604,100
r1.5k42n28,90,45.65772685395726,100
r1.5k24n16,2025,104.10564617468481,100
r1.5k30n20,2059,105.89216575050118,100
r1.5k36n24,1113,99.58209991258974,100
r1.5k42n28,45,46.886914996092294,100
r1.5k36n24,1105,100.58072485531439,100
r1.5k42n28,22,43.53913437666157,100
r1.5k36n24,1109,99.91414035712782,100
r1.5k42n28,11,47.11423121143022,100
r1.5k42n28,5,43.4480304658573,100
r1.5k42n28,2,48.35391772363571,100
