Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/triangle/r1.5k18n12/graph0.lgbin,48962,102,5,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 2, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 3, 2, 4, 3, 1, 2, 2, 1, 3, 1, 1, 4, 2, 3, 1, 2, 2, 4, 1, 3, 2, 2, 4, 2, 2, 3, 3, 1, 4, 2, 3, 3, 3, 2, 3, 2, 2, 3, 2, 2, 5, 1, 2, 1, 4, 3, 1, 2, 1, 1, 2, 1, 3, 0, 1, 2, 2, 1, 4, 2, 4, 6, 1, 3, 3, 3, 3, 1, 2, 3, 1, 3, 1, 1, 2, 4, 4, 1, 2, 2, 0, 3, 3, 4, 1, 4, 2, 1, 2, 4, 2, 2, 2, 2, 4, 3, 3, 3, 2, 1, 2, 4, 6, 4, 2, 1, 2, 1, 2, 2, 1, 1, 3, 3, 2, 1, 1, 1, 3, 3, 1, 4, 1, 2, 1, 2, 4, 3, 4, 2, 3, 0, 5, 3, 4, 1, 3, 5]"
1,random graphs/triangle/r1.5k18n12/graph1.lgbin,48962,20,7,9,"[0, 2, 2, 3, 4, 2, 1, 3, 3, 3, 4, 2, 1, 2, 1, 2, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 3, 2, 1, 1, 1, 3, 2, 2, 1, 2, 1, 4, 2, 2, 2, 4, 1, 1, 4, 3, 4, 2, 1, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 1, 2, 2, 2, 3, 2, 5, 4, 1, 1, 5, 3, 3, 1, 3, 4, 4, 1, 2, 1, 1, 2, 6, 1, 1, 1, 3, 3, 3, 2, 6, 2, 2, 3, 1, 2, 5, 2, 4, 7, 1, 3, 2, 4, 3, 2, 6, 2, 3, 6, 2, 2, 1, 2, 2, 1, 2, 1, 2, 1, 4, 3, 3, 3, 2, 3, 0, 3, 3, 4, 2, 4, 2, 4, 3, 5, 2, 4, 1, 4, 2, 4, 2, 4, 3, 3, 4, 2, 3, 4, 2, 5, 3, 3, 2, 3, 4, 3, 2, 4, 4, 4, 3, 3, 2, 4, 3, 5, 5, 3, 4, 4, 2, 3, 1, 1, 4, 3, 3, 4, 4, 0, 3, 3, 3, 1]"
2,random graphs/triangle/r1.5k18n12/graph2.lgbin,48962,59,6,6,"[2, 2, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 2, 3, 4, 4, 4, 4, 4, 2, 2, 2, 1, 2, 4, 2, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 1, 3, 2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 4, 3, 2, 4, 3, 2, 2, 2, 4, 3, 2, 3, 3, 4, 3, 4, 1, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 2, 3, 2, 2, 2, 1, 2, 3, 2, 2, 1, 2, 2, 3, 2, 2, 1, 4, 3, 2, 1, 2, 2, 2, 3, 2, 2, 3, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 3, 3, 3, 2, 2, 1, 3, 2, 2, 2, 4, 2, 1, 2, 1, 3, 2, 0, 3, 1, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 1, 3, 1, 4, 2, 3, 5, 3, 2, 1, 3, 1, 2, 2, 0, 1, 1, 3, 1, 2, 1, 2, 1, 1, 3, 1, 3]"
3,random graphs/triangle/r1.5k18n12/graph3.lgbin,48962,169,9,14,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 3, 1, 2, 1, 1, 1, 1, 3, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 1, 3, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 3, 2, 1, 3, 1, 1, 3, 2, 3, 1, 3, 1, 1, 1, 2, 1, 4, 4, 2, 2, 2, 2, 5, 4, 2, 3, 4, 0, 2, 2, 6, 1, 3, 6, 2, 1, 1, 2, 3, 1, 2, 1, 2, 1, 4, 3, 3, 3, 1, 4, 4, 2, 2, 0, 3, 2, 3, 2, 1, 3, 2, 3, 4, 1, 3, 3, 3, 5, 3, 5, 1, 3, 3, 2, 5, 5, 2, 5, 3, 3, 1, 6, 4, 6, 5, 4, 1, 3, 4, 4, 8, 6, 7, 5, 6, 7, 1, 4, 5, 3, 4, 4, 1, 3, 6, 5, 4, 4, 2, 5, 2, 2, 5, 5, 0, 7, 2, 7, 5, 6, 5, 6, 2, 4, 3, 6, 4, 4, 5, 3, 7, 3, 7, 5, 1, 5, 5, 5, 5, 4]"
4,random graphs/triangle/r1.5k18n12/graph4.lgbin,48962,248,4,13,"[0, 3, 3, 4, 2, 3, 3, 3, 3, 3, 4, 3, 2, 3, 3, 3, 3, 3, 4, 4, 0, 1, 1, 1, 1, 1, 3, 4, 3, 1, 2, 2, 3, 1, 4, 3, 3, 3, 2, 3, 1, 4, 3, 3, 4, 3, 2, 4, 4, 3, 5, 3, 3, 3, 3, 2, 2, 1, 3, 5, 3, 3, 4, 4, 3, 3, 4, 3, 4, 4, 3, 2, 3, 2, 2, 1, 3, 2, 5, 5, 3, 3, 4, 2, 6, 4, 3, 3, 5, 3, 2, 4, 3, 4, 4, 4, 3, 6, 3, 4, 5, 3, 3, 6, 3, 6, 4, 3, 2, 3, 2, 4, 5, 4, 2, 5, 4, 8, 0, 3, 4, 0, 1, 0, 5, 5, 5, 5, 2, 3, 3, 7, 2, 5, 1, 5, 1, 4, 1, 4, 4, 6, 3, 5, 1, 2, 4, 4, 5, 4, 7, 3, 1, 5, 6, 2, 5, 5, 2, 2, 1, 6, 4, 1, 1, 4, 3, 2, 3, 2, 1, 5, 2, 3, 4, 2, 2, 1, 2, 5, 2, 2, 1, 3, 3, 3, 2, 0, 3, 1, 5, 4, 1, 3, 3, 0, 4, 3, 1, 0, 3, 4, 3, 5, 5, 1, 4, 6, 2, 1, 2, 4, 2, 3, 3, 3]"
5,random graphs/triangle/r1.5k18n12/graph5.lgbin,48962,185,10,18,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 9, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 3, 1, 4, 3, 2, 5, 5, 5, 3, 4, 2, 2, 4, 2, 5, 5, 2, 5, 3, 3, 5, 3, 4, 5, 3, 2, 3, 5, 2, 5, 3, 7, 3, 6, 4, 8, 4, 3, 3, 3, 2, 7, 6, 3, 6, 6, 6, 3, 10, 3, 6, 5, 2, 3, 6, 4, 2, 5, 3, 4, 1, 7, 3, 2, 7, 7, 4, 2, 5, 2, 3, 6, 6, 5, 7, 2, 7, 4, 7, 6, 5, 4, 7, 3, 5, 3, 2, 5, 3, 5, 4, 5, 6, 4, 4, 5, 4, 4, 3, 2, 4, 4, 4, 5, 5, 5, 2, 6, 4, 5, 8, 4, 7, 4, 4, 5, 4, 5, 5, 3, 5, 3, 5, 4, 2, 2, 2, 3, 2, 8, 2, 4, 2, 4, 3, 4, 4, 1, 1, 4, 3, 3, 5, 3, 3, 1, 3, 5, 3, 2, 6, 1, 1]"
6,random graphs/triangle/r1.5k18n12/graph6.lgbin,48962,290,7,8,"[0, 0, 0, 3, 2, 1, 3, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 3, 0, 1, 1, 0, 1, 3, 0, 1, 1, 2, 1, 0, 1, 1, 1, 3, 5, 4, 5, 4, 4, 4, 1, 4, 5, 4, 1, 2, 3, 5, 3, 4, 3, 1, 4, 4, 1, 3, 1, 3, 2, 3, 2, 1, 1, 2, 1, 1, 1, 3, 3, 3, 1, 1, 0, 1, 1, 1, 2, 4, 4, 1, 2, 1, 3, 2, 2, 4, 4, 4, 5, 3, 1, 2, 1, 3, 1, 2, 4, 2, 4, 3, 5, 4, 5, 5, 1, 3, 4, 2, 4, 1, 1, 5, 1, 1, 4, 4, 3, 4, 4, 2, 3, 3, 5, 5, 3, 3, 4, 5, 2, 2, 3, 1, 2, 2, 4, 4, 2, 3, 4, 2, 1, 2, 5, 2, 2, 3, 2, 4, 0, 2, 4, 3, 3, 4, 0, 2, 2, 3, 2, 1, 2, 4, 4, 3, 3, 2, 4, 3, 3, 2, 2, 4, 3, 2, 4, 2, 3, 5, 2, 3, 3, 3, 2, 3, 4, 1, 4, 1, 2, 0, 1, 2, 4, 0, 3, 4, 3, 5, 4, 2, 6, 2, 4, 0, 6, 3, 1, 0, 1, 0]"
7,random graphs/triangle/r1.5k18n12/graph7.lgbin,48962,603,7,15,"[0, 12, 9, 13, 8, 2, 1, 2, 1, 2, 1, 3, 3, 1, 8, 1, 7, 11, 2, 9, 11, 6, 2, 2, 6, 1, 2, 3, 1, 1, 6, 5, 2, 2, 6, 9, 6, 6, 2, 2, 2, 6, 8, 4, 7, 8, 6, 3, 8, 3, 4, 6, 3, 7, 7, 2, 6, 4, 3, 2, 6, 4, 6, 3, 3, 4, 3, 7, 4, 3, 4, 2, 2, 6, 5, 4, 1, 5, 4, 2, 4, 5, 5, 0, 2, 5, 5, 3, 6, 1, 1, 4, 3, 7, 1, 6, 5, 2, 4, 1, 1, 2, 4, 4, 4, 5, 3, 5, 6, 3, 5, 4, 7, 2, 5, 5, 5, 3, 5, 6, 8, 3, 1, 7, 5, 7, 6, 3, 3, 7, 7, 4, 0, 6, 4, 7, 3, 6, 6, 7, 1, 7, 5, 6, 5, 5, 4, 6, 8, 5, 5, 6, 6, 0, 5, 5, 3, 4, 5, 4, 3, 4, 4, 4, 5, 2, 2, 4, 2, 4, 2, 2, 2, 4, 3, 3, 0, 4, 6, 2, 4, 3, 5, 4, 6, 1, 3, 1, 2, 2, 3, 1, 0, 3, 2, 2, 3, 2, 4]"
8,random graphs/triangle/r1.5k18n12/graph8.lgbin,48962,193,7,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 3, 1, 1, 0, 1, 4, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 2, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 0, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 0, 1, 6, 2, 1, 5, 6, 5, 2, 6, 1, 2, 1, 5, 2, 1, 0, 2, 3, 0, 1, 4, 4, 4, 1, 4, 1, 3, 4, 0, 4, 6, 6, 2, 4, 2, 6, 2, 3, 0, 5, 4, 4, 0, 1, 4, 5, 4, 2, 1, 3, 2, 3, 3, 4, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 3, 2, 3, 1, 1, 3, 1, 3, 3, 3, 3, 5, 3, 2, 4, 1, 3, 3, 4, 3, 3, 3, 1, 1, 3, 4, 3, 3, 4, 5, 2, 3, 2, 2, 3, 4, 5, 4, 2, 5, 2, 2, 3, 2, 4, 3, 3, 3, 3, 5, 2, 4, 4, 2, 4, 5, 4, 3, 4, 3, 5, 3, 0, 2, 1, 2, 1, 0, 4]"
9,random graphs/triangle/r1.5k18n12/graph9.lgbin,48962,180,7,11,"[0, 0, 0, 1, 1, 1, 0, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 4, 2, 1, 1, 1, 1, 1, 1, 1, 3, 0, 3, 3, 4, 1, 2, 3, 3, 3, 1, 4, 2, 2, 1, 2, 2, 3, 2, 2, 2, 3, 3, 3, 2, 2, 1, 1, 2, 3, 2, 1, 2, 2, 2, 1, 2, 2, 3, 3, 1, 0, 0, 1, 0, 3, 2, 2, 3, 5, 0, 3, 2, 3, 3, 3, 1, 1, 4, 2, 2, 2, 4, 2, 2, 2, 2, 3, 4, 3, 4, 3, 0, 4, 3, 4, 2, 5, 6, 3, 3, 6, 5, 4, 2, 6, 2, 1, 3, 3, 2, 2, 1, 3, 4, 1, 3, 3, 3, 4, 1, 3, 2, 2, 3, 2, 2, 4, 4, 3, 2, 1, 2, 4, 2, 4, 6, 2, 2, 4, 3, 4, 4, 2, 4, 5, 0, 1, 1, 3, 1, 1, 4, 1, 5, 3, 2, 1, 2, 4, 5, 3, 5, 1, 1, 1, 4, 2, 2, 2, 5, 1, 3, 3, 2, 2, 1]"
